rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250325000220,11011,2024,00365387,095570,CFS,연결재무제표,BS,재무상태표,유동자산,제 25 기,2024.12.31 현재,"304,434,525,487",제 24 기,2023.12.31 현재,"303,255,111,295",제 23 기,2022.12.31 현재,"301,533,703,715",1,KRW
20250325000220,11011,2024,00365387,095570,CFS,연결재무제표,BS,재무상태표,비유동자산,제 25 기,2024.12.31 현재,"1,381,384,440,192",제 24 기,2023.12.31 현재,"1,318,902,230,583",제 23 기,2022.12.31 현재,"1,153,869,637,949",3,KRW
20250325000220,11011,2024,00365387,095570,CFS,연결재무제표,BS,재무상태표,자산총계,제 25 기,2024.12.31 현재,"1,717,770,434,389",제 24 기,2023.12.31 현재,"1,622,157,341,878",제 23 기,2022.12.31 현재,"1,483,368,740,285",5,KRW
20250325000220,11011,2024,00365387,095570,CFS,연결재무제표,BS,재무상태표,유동부채,제 25 기,2024.12.31 현재,"631,018,876,833",제 24 기,2023.12.31 현재,"675,267,840,653",제 23 기,2022.12.31 현재,"814,364,855,406",7,KRW
20250325000220,11011,2024,00365387,095570,CFS,연결재무제표,BS,재무상태표,비유동부채,제 25 기,2024.12.31 현재,"642,401,812,211",제 24 기,2023.12.31 현재,"527,237,691,535",제 23 기,2022.12.31 현재,"281,730,690,009",9,KRW
20250325000220,11011,2024,00365387,095570,CFS,연결재무제표,BS,재무상태표,부채총계,제 25 기,2024.12.31 현재,"1,274,047,255,964",제 24 기,2023.12.31 현재,"1,202,505,532,188",제 23 기,2022.12.31 현재,"1,119,677,498,878",11,KRW
20250325000220,11011,2024,00365387,095570,CFS,연결재무제표,BS,재무상태표,자본금,제 25 기,2024.12.31 현재,"46,822,295,000",제 24 기,2023.12.31 현재,"46,822,295,000",제 23 기,2022.12.31 현재,"46,822,295,000",13,KRW
20250325000220,11011,2024,00365387,095570,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 25 기,2024.12.31 현재,"254,974,475,763",제 24 기,2023.12.31 현재,"245,359,592,683",제 23 기,2022.12.31 현재,"246,588,278,108",17,KRW
20250325000220,11011,2024,00365387,095570,CFS,연결재무제표,BS,재무상태표,자본총계,제 25 기,2024.12.31 현재,"443,723,178,425",제 24 기,2023.12.31 현재,"419,651,809,690",제 23 기,2022.12.31 현재,"363,691,241,407",21,KRW
20250325000220,11011,2024,00365387,095570,CFS,연결재무제표,IS,손익계산서,매출액,제 25 기,2024.01.01 ~ 2024.12.31,"1,014,156,314,426",제 24 기,2023.01.01 ~ 2023.12.31,"936,525,061,005",제 23 기,2022.01.01 ~ 2022.12.31,"1,128,456,050,159",23,KRW
20250325000220,11011,2024,00365387,095570,CFS,연결재무제표,IS,손익계산서,영업이익,제 25 기,2024.01.01 ~ 2024.12.31,"72,790,207,643",제 24 기,2023.01.01 ~ 2023.12.31,"78,472,288,742",제 23 기,2022.01.01 ~ 2022.12.31,"75,622,965,003",25,KRW
20250325000220,11011,2024,00365387,095570,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 25 기,2024.01.01 ~ 2024.12.31,"27,869,842,632",제 24 기,2023.01.01 ~ 2023.12.31,"28,966,441,393",제 23 기,2022.01.01 ~ 2022.12.31,"26,715,410,061",27,KRW
