rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250317000762,11011,2024,01071041,311690,CFS,연결재무제표,BS,재무상태표,유동자산,제 16 기,2024.12.31 현재,"76,761,523,867",제 15 기,2023.12.31 현재,"65,210,437,330",제 14 기,2022.12.31 현재,"50,931,897,914",1,KRW
20250317000762,11011,2024,01071041,311690,CFS,연결재무제표,BS,재무상태표,비유동자산,제 16 기,2024.12.31 현재,"22,848,232,538",제 15 기,2023.12.31 현재,"25,917,948,426",제 14 기,2022.12.31 현재,"40,457,260,971",3,KRW
20250317000762,11011,2024,01071041,311690,CFS,연결재무제표,BS,재무상태표,자산총계,제 16 기,2024.12.31 현재,"99,609,756,405",제 15 기,2023.12.31 현재,"91,128,385,756",제 14 기,2022.12.31 현재,"91,389,158,885",5,KRW
20250317000762,11011,2024,01071041,311690,CFS,연결재무제표,BS,재무상태표,유동부채,제 16 기,2024.12.31 현재,"18,525,156,441",제 15 기,2023.12.31 현재,"14,722,469,349",제 14 기,2022.12.31 현재,"34,978,585,750",7,KRW
20250317000762,11011,2024,01071041,311690,CFS,연결재무제표,BS,재무상태표,비유동부채,제 16 기,2024.12.31 현재,"3,328,068,270",제 15 기,2023.12.31 현재,"4,910,224,764",제 14 기,2022.12.31 현재,"6,755,161,573",9,KRW
20250317000762,11011,2024,01071041,311690,CFS,연결재무제표,BS,재무상태표,부채총계,제 16 기,2024.12.31 현재,"21,853,224,711",제 15 기,2023.12.31 현재,"19,632,694,113",제 14 기,2022.12.31 현재,"41,733,747,323",11,KRW
20250317000762,11011,2024,01071041,311690,CFS,연결재무제표,BS,재무상태표,자본금,제 16 기,2024.12.31 현재,"6,532,731,000",제 15 기,2023.12.31 현재,"4,556,251,000",제 14 기,2022.12.31 현재,"2,939,336,000",13,KRW
20250317000762,11011,2024,01071041,311690,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 16 기,2024.12.31 현재,"-119,067,209,444",제 15 기,2023.12.31 현재,"-85,951,465,496",제 14 기,2022.12.31 현재,"-62,738,255,624",17,KRW
20250317000762,11011,2024,01071041,311690,CFS,연결재무제표,BS,재무상태표,자본총계,제 16 기,2024.12.31 현재,"77,756,531,694",제 15 기,2023.12.31 현재,"71,495,691,643",제 14 기,2022.12.31 현재,"49,655,411,562",21,KRW
20250317000762,11011,2024,01071041,311690,CFS,연결재무제표,IS,손익계산서,매출액,제 16 기,2024.01.01 ~ 2024.12.31,"3,466,535,834",제 15 기,2023.01.01 ~ 2023.12.31,"5,575,053,720",제 14 기,2022.01.01 ~ 2022.12.31,"4,074,661,697",23,KRW
20250317000762,11011,2024,01071041,311690,CFS,연결재무제표,IS,손익계산서,영업이익,제 16 기,2024.01.01 ~ 2024.12.31,"-34,241,072,033",제 15 기,2023.01.01 ~ 2023.12.31,"-32,056,613,825",제 14 기,2022.01.01 ~ 2022.12.31,"-33,233,168,641",25,KRW
20250317000762,11011,2024,01071041,311690,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 16 기,2024.01.01 ~ 2024.12.31,"-32,837,724,111",제 15 기,2023.01.01 ~ 2023.12.31,"-22,912,847,165",제 14 기,2022.01.01 ~ 2022.12.31,"-34,913,430,985",27,KRW
20250317000762,11011,2024,01071041,311690,CFS,연결재무제표,IS,손익계산서,당기순이익,제 16 기,2024.01.01 ~ 2024.12.31,"-32,837,724,111",제 15 기,2023.01.01 ~ 2023.12.31,"-22,912,847,165",제 14 기,2022.01.01 ~ 2022.12.31,"-34,913,430,985",29,KRW
20250317000762,11011,2024,01071041,311690,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 16 기,2024.01.01 ~ 2024.12.31,"-32,837,724,111",제 15 기,2023.01.01 ~ 2023.12.31,"-22,912,847,165",제 14 기,2022.01.01 ~ 2022.12.31,"-34,913,430,985",61,KRW
20250317000762,11011,2024,01071041,311690,CFS,연결재무제표,IS,손익계산서,총포괄손익,제 16 기,2024.01.01 ~ 2024.12.31,"-33,708,929,089",제 15 기,2023.01.01 ~ 2023.12.31,"-23,202,452,526",제 14 기,2022.01.01 ~ 2022.12.31,"-34,612,078,369",63,KRW
