rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20230321000721,11011,2022,01117246,278990,CFS,연결재무제표,BS,재무상태표,유동자산,제 10 기,2022.12.31 현재,"19,417,071,636",제 9 기,2021.12.31 현재,"19,085,877,130",제 8 기,2020.12.31 현재,"20,538,927,414",1,KRW
20230321000721,11011,2022,01117246,278990,CFS,연결재무제표,BS,재무상태표,비유동자산,제 10 기,2022.12.31 현재,"14,319,209,539",제 9 기,2021.12.31 현재,"14,556,569,832",제 8 기,2020.12.31 현재,"15,876,814,780",3,KRW
20230321000721,11011,2022,01117246,278990,CFS,연결재무제표,BS,재무상태표,자산총계,제 10 기,2022.12.31 현재,"33,736,281,175",제 9 기,2021.12.31 현재,"33,642,446,962",제 8 기,2020.12.31 현재,"36,415,742,194",5,KRW
20230321000721,11011,2022,01117246,278990,CFS,연결재무제표,BS,재무상태표,유동부채,제 10 기,2022.12.31 현재,"13,896,118,908",제 9 기,2021.12.31 현재,"11,642,075,586",제 8 기,2020.12.31 현재,"14,969,500,902",7,KRW
20230321000721,11011,2022,01117246,278990,CFS,연결재무제표,BS,재무상태표,비유동부채,제 10 기,2022.12.31 현재,"6,758,003,483",제 9 기,2021.12.31 현재,"8,569,678,778",제 8 기,2020.12.31 현재,"9,927,317,908",9,KRW
20230321000721,11011,2022,01117246,278990,CFS,연결재무제표,BS,재무상태표,부채총계,제 10 기,2022.12.31 현재,"20,654,122,391",제 9 기,2021.12.31 현재,"20,211,754,364",제 8 기,2020.12.31 현재,"24,896,818,810",11,KRW
20230321000721,11011,2022,01117246,278990,CFS,연결재무제표,BS,재무상태표,자본금,제 10 기,2022.12.31 현재,"1,814,111,000",제 9 기,2021.12.31 현재,"1,814,111,000",제 8 기,2020.12.31 현재,"1,812,111,000",13,KRW
20230321000721,11011,2022,01117246,278990,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 10 기,2022.12.31 현재,"3,569,668,679",제 9 기,2021.12.31 현재,"4,005,722,679",제 8 기,2020.12.31 현재,"2,477,037,008",17,KRW
20230321000721,11011,2022,01117246,278990,CFS,연결재무제표,BS,재무상태표,자본총계,제 10 기,2022.12.31 현재,"13,082,158,784",제 9 기,2021.12.31 현재,"13,430,692,598",제 8 기,2020.12.31 현재,"11,518,923,384",21,KRW
20230321000721,11011,2022,01117246,278990,CFS,연결재무제표,IS,손익계산서,매출액,제 10 기,2022.01.01 ~ 2022.12.31,"24,281,641,358",제 9 기,2021.01.01 ~ 2021.12.31,"23,284,738,690",제 8 기,2020.01.01 ~ 2020.12.31,"24,530,974,873",23,KRW
20230321000721,11011,2022,01117246,278990,CFS,연결재무제표,IS,손익계산서,영업이익,제 10 기,2022.01.01 ~ 2022.12.31,"1,815,836,745",제 9 기,2021.01.01 ~ 2021.12.31,"1,437,513,544",제 8 기,2020.01.01 ~ 2020.12.31,"1,041,792,287",25,KRW
20230321000721,11011,2022,01117246,278990,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 10 기,2022.01.01 ~ 2022.12.31,"1,291,120,008",제 9 기,2021.01.01 ~ 2021.12.31,"2,286,831,272",제 8 기,2020.01.01 ~ 2020.12.31,"181,930,160",27,KRW
20230321000721,11011,2022,01117246,278990,CFS,연결재무제표,IS,손익계산서,당기순이익,제 10 기,2022.01.01 ~ 2022.12.31,"-480,970,331",제 9 기,2021.01.01 ~ 2021.12.31,"1,529,289,858",제 8 기,2020.01.01 ~ 2020.12.31,"856,713,204",29,KRW
20230321000721,11011,2022,01117246,278990,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 10 기,2022.01.01 ~ 2022.12.31,"-480,970,331",제 9 기,2021.01.01 ~ 2021.12.31,"1,529,289,858",제 8 기,2020.01.01 ~ 2020.12.31,"856,713,204",61,KRW
20230321000721,11011,2022,01117246,278990,OFS,재무제표,BS,재무상태표,유동자산,제 10 기,2022.12.31 현재,"17,981,460,933",제 9 기,2021.12.31 현재,"18,426,946,447",제 8 기,2020.12.31 현재,"19,915,001,861",2,KRW
20230321000721,11011,2022,01117246,278990,OFS,재무제표,BS,재무상태표,비유동자산,제 10 기,2022.12.31 현재,"8,086,347,078",제 9 기,2021.12.31 현재,"7,534,297,488",제 8 기,2020.12.31 현재,"8,531,794,907",4,KRW
20230321000721,11011,2022,01117246,278990,OFS,재무제표,BS,재무상태표,자산총계,제 10 기,2022.12.31 현재,"26,067,808,011",제 9 기,2021.12.31 현재,"25,961,243,935",제 8 기,2020.12.31 현재,"28,446,796,768",6,KRW
20230321000721,11011,2022,01117246,278990,OFS,재무제표,BS,재무상태표,유동부채,제 10 기,2022.12.31 현재,"12,780,722,128",제 9 기,2021.12.31 현재,"10,692,761,461",제 8 기,2020.12.31 현재,"14,051,865,850",8,KRW
20230321000721,11011,2022,01117246,278990,OFS,재무제표,BS,재무상태표,비유동부채,제 10 기,2022.12.31 현재,"1,380,711,479",제 9 기,2021.12.31 현재,"2,333,657,005",제 8 기,2020.12.31 현재,"2,800,313,752",10,KRW
20230321000721,11011,2022,01117246,278990,OFS,재무제표,BS,재무상태표,부채총계,제 10 기,2022.12.31 현재,"14,161,433,607",제 9 기,2021.12.31 현재,"13,026,418,466",제 8 기,2020.12.31 현재,"16,852,179,602",12,KRW
20230321000721,11011,2022,01117246,278990,OFS,재무제표,BS,재무상태표,자본금,제 10 기,2022.12.31 현재,"1,814,111,000",제 9 기,2021.12.31 현재,"1,814,111,000",제 8 기,2020.12.31 현재,"1,812,111,000",15,KRW
20230321000721,11011,2022,01117246,278990,OFS,재무제표,BS,재무상태표,이익잉여금,제 10 기,2022.12.31 현재,"2,432,469,470",제 9 기,2021.12.31 현재,"3,663,764,899",제 8 기,2020.12.31 현재,"2,552,730,790",19,KRW
20230321000721,11011,2022,01117246,278990,OFS,재무제표,BS,재무상태표,자본총계,제 10 기,2022.12.31 현재,"11,906,374,404",제 9 기,2021.12.31 현재,"12,934,825,469",제 8 기,2020.12.31 현재,"11,594,617,166",22,KRW
20230321000721,11011,2022,01117246,278990,OFS,재무제표,IS,손익계산서,매출액,제 10 기,2022.01.01 ~ 2022.12.31,"22,552,742,699",제 9 기,2021.01.01 ~ 2021.12.31,"21,935,799,056",제 8 기,2020.01.01 ~ 2020.12.31,"23,303,015,209",24,KRW
20230321000721,11011,2022,01117246,278990,OFS,재무제표,IS,손익계산서,영업이익,제 10 기,2022.01.01 ~ 2022.12.31,"1,090,164,711",제 9 기,2021.01.01 ~ 2021.12.31,"1,130,206,980",제 8 기,2020.01.01 ~ 2020.12.31,"1,024,656,474",26,KRW
20230321000721,11011,2022,01117246,278990,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 10 기,2022.01.01 ~ 2022.12.31,"201,832,044",제 9 기,2021.01.01 ~ 2021.12.31,"1,916,129,188",제 8 기,2020.01.01 ~ 2020.12.31,"609,757,909",28,KRW
20230321000721,11011,2022,01117246,278990,OFS,재무제표,IS,손익계산서,당기순이익,제 10 기,2022.01.01 ~ 2022.12.31,"-1,276,211,760",제 9 기,2021.01.01 ~ 2021.12.31,"1,111,638,296",제 8 기,2020.01.01 ~ 2020.12.31,"1,226,463,199",30,KRW
20230321000721,11011,2022,01117246,278990,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 10 기,2022.01.01 ~ 2022.12.31,"-1,276,211,760",제 9 기,2021.01.01 ~ 2021.12.31,"1,111,638,296",제 8 기,2020.01.01 ~ 2020.12.31,"1,226,463,199",62,KRW
