rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20241031000315,11011,2023,01437186,365550,CFS,연결재무제표,BS,재무상태표,유동자산,제 8 기,2023.11.30 현재,"79,270,403,254",제 7 기,2023.05.31 현재,"52,004,830,358",제 6 기,2022.11.30 현재,"57,488,685,197",1,KRW
20241031000315,11011,2023,01437186,365550,CFS,연결재무제표,BS,재무상태표,비유동자산,제 8 기,2023.11.30 현재,"2,264,647,934,127",제 7 기,2023.05.31 현재,"2,325,648,428,094",제 6 기,2022.11.30 현재,"2,196,393,319,600",3,KRW
20241031000315,11011,2023,01437186,365550,CFS,연결재무제표,BS,재무상태표,자산총계,제 8 기,2023.11.30 현재,"2,343,918,337,381",제 7 기,2023.05.31 현재,"2,377,653,258,452",제 6 기,2022.11.30 현재,"2,253,882,004,797",5,KRW
20241031000315,11011,2023,01437186,365550,CFS,연결재무제표,BS,재무상태표,유동부채,제 8 기,2023.11.30 현재,"270,120,719,345",제 7 기,2023.05.31 현재,"281,750,981,547",제 6 기,2022.11.30 현재,"18,247,844,389",7,KRW
20241031000315,11011,2023,01437186,365550,CFS,연결재무제표,BS,재무상태표,비유동부채,제 8 기,2023.11.30 현재,"956,885,027,835",제 7 기,2023.05.31 현재,"962,075,144,459",제 6 기,2022.11.30 현재,"1,100,840,692,418",9,KRW
20241031000315,11011,2023,01437186,365550,CFS,연결재무제표,BS,재무상태표,부채총계,제 8 기,2023.11.30 현재,"1,227,005,747,180",제 7 기,2023.05.31 현재,"1,243,826,126,006",제 6 기,2022.11.30 현재,"1,119,088,536,807",11,KRW
20241031000315,11011,2023,01437186,365550,CFS,연결재무제표,BS,재무상태표,자본금,제 8 기,2023.11.30 현재,"213,089,000,000",제 7 기,2023.05.31 현재,"213,089,000,000",제 6 기,2022.11.30 현재,"213,089,000,000",13,KRW
20241031000315,11011,2023,01437186,365550,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 8 기,2023.11.30 현재,"3,636,958,595",제 7 기,2023.05.31 현재,"20,551,500,840",제 6 기,2022.11.30 현재,"21,517,836,384",17,KRW
20241031000315,11011,2023,01437186,365550,CFS,연결재무제표,BS,재무상태표,자본총계,제 8 기,2023.11.30 현재,"1,116,912,590,201",제 7 기,2023.05.31 현재,"1,133,827,132,446",제 6 기,2022.11.30 현재,"1,134,793,467,990",21,KRW
20241031000315,11011,2023,01437186,365550,CFS,연결재무제표,IS,손익계산서,매출액,제 8 기,2023.06.01 ~ 2023.11.30,"52,957,789,556",제 7 기,2022.12.01 ~ 2023.05.31,"49,482,601,960",제 6 기,2022.06.01 ~ 2022.11.30,"49,006,142,346",23,KRW
