rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20240320001619,11011,2023,00175623,050120,CFS,연결재무제표,BS,재무상태표,유동자산,제 46 기,2023.12.31 현재,"34,543,555,416",제 45 기,2022.12.31 현재,"41,310,245,855",제 44 기,2021.12.31 현재,"556,635,090,988",1,KRW
20240320001619,11011,2023,00175623,050120,CFS,연결재무제표,BS,재무상태표,비유동자산,제 46 기,2023.12.31 현재,"53,249,441,444",제 45 기,2022.12.31 현재,"80,395,167,627",제 44 기,2021.12.31 현재,"526,096,964,587",3,KRW
20240320001619,11011,2023,00175623,050120,CFS,연결재무제표,BS,재무상태표,자산총계,제 46 기,2023.12.31 현재,"87,792,996,860",제 45 기,2022.12.31 현재,"121,705,413,482",제 44 기,2021.12.31 현재,"1,082,732,055,575",5,KRW
20240320001619,11011,2023,00175623,050120,CFS,연결재무제표,BS,재무상태표,유동부채,제 46 기,2023.12.31 현재,"2,837,401,255",제 45 기,2022.12.31 현재,"8,558,923,877",제 44 기,2021.12.31 현재,"957,088,370,442",7,KRW
20240320001619,11011,2023,00175623,050120,CFS,연결재무제표,BS,재무상태표,비유동부채,제 46 기,2023.12.31 현재,"2,429,621,762",제 45 기,2022.12.31 현재,"2,747,236,339",제 44 기,2021.12.31 현재,"9,788,491,533",9,KRW
20240320001619,11011,2023,00175623,050120,CFS,연결재무제표,BS,재무상태표,부채총계,제 46 기,2023.12.31 현재,"5,267,023,017",제 45 기,2022.12.31 현재,"11,306,160,216",제 44 기,2021.12.31 현재,"966,876,861,975",11,KRW
20240320001619,11011,2023,00175623,050120,CFS,연결재무제표,BS,재무상태표,자본금,제 46 기,2023.12.31 현재,"69,092,015,500",제 45 기,2022.12.31 현재,"69,092,015,500",제 44 기,2021.12.31 현재,"69,092,015,500",13,KRW
20240320001619,11011,2023,00175623,050120,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 46 기,2023.12.31 현재,"-11,685,911,921",제 45 기,2022.12.31 현재,"16,264,211,047",제 44 기,2021.12.31 현재,"-9,499,449,385",17,KRW
20240320001619,11011,2023,00175623,050120,CFS,연결재무제표,BS,재무상태표,자본총계,제 46 기,2023.12.31 현재,"82,525,973,843",제 45 기,2022.12.31 현재,"110,399,253,266",제 44 기,2021.12.31 현재,"115,855,193,600",21,KRW
20240320001619,11011,2023,00175623,050120,CFS,연결재무제표,IS,손익계산서,매출액,제 46 기,2023.01.01 ~ 2023.12.31,"63,333,992,892",제 45 기,2022.01.01 ~ 2022.12.31,"75,213,651,998",제 44 기,2021.01.01 ~ 2021.12.31,"51,701,347,375",23,KRW
20240320001619,11011,2023,00175623,050120,CFS,연결재무제표,IS,손익계산서,영업이익,제 46 기,2023.01.01 ~ 2023.12.31,"10,789,653,339",제 45 기,2022.01.01 ~ 2022.12.31,"15,343,412,140",제 44 기,2021.01.01 ~ 2021.12.31,"6,787,418,727",25,KRW
20240320001619,11011,2023,00175623,050120,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 46 기,2023.01.01 ~ 2023.12.31,"-28,282,788,431",제 45 기,2022.01.01 ~ 2022.12.31,"18,726,222,367",제 44 기,2021.01.01 ~ 2021.12.31,"6,739,537,115",27,KRW
