rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250325001066,11011,2024,00120030,006360,CFS,연결재무제표,BS,재무상태표,유동자산,제 56 기,2024.12.31 현재,"8,666,549,605,548",제 55 기,2023.12.31 현재,"9,482,031,400,336",제 54 기,2022.12.31 현재,"9,411,595,104,509",1,KRW
20250325001066,11011,2024,00120030,006360,CFS,연결재무제표,BS,재무상태표,비유동자산,제 56 기,2024.12.31 현재,"9,136,744,319,008",제 55 기,2023.12.31 현재,"8,225,267,137,677",제 54 기,2022.12.31 현재,"7,535,021,592,389",3,KRW
20250325001066,11011,2024,00120030,006360,CFS,연결재무제표,BS,재무상태표,자산총계,제 56 기,2024.12.31 현재,"17,803,293,924,556",제 55 기,2023.12.31 현재,"17,707,298,538,013",제 54 기,2022.12.31 현재,"16,946,616,696,898",5,KRW
20250325001066,11011,2024,00120030,006360,CFS,연결재무제표,BS,재무상태표,유동부채,제 56 기,2024.12.31 현재,"9,031,905,115,658",제 55 기,2023.12.31 현재,"8,796,223,078,467",제 54 기,2022.12.31 현재,"8,205,470,645,448",7,KRW
20250325001066,11011,2024,00120030,006360,CFS,연결재무제표,BS,재무상태표,비유동부채,제 56 기,2024.12.31 현재,"3,684,264,849,455",제 55 기,2023.12.31 현재,"4,025,915,598,734",제 54 기,2022.12.31 현재,"3,384,943,242,859",9,KRW
20250325001066,11011,2024,00120030,006360,CFS,연결재무제표,BS,재무상태표,부채총계,제 56 기,2024.12.31 현재,"12,716,169,965,113",제 55 기,2023.12.31 현재,"12,822,138,677,201",제 54 기,2022.12.31 현재,"11,590,413,888,307",11,KRW
20250325001066,11011,2024,00120030,006360,CFS,연결재무제표,BS,재무상태표,자본금,제 56 기,2024.12.31 현재,"427,907,450,000",제 55 기,2023.12.31 현재,"427,907,450,000",제 54 기,2022.12.31 현재,"427,907,450,000",13,KRW
20250325001066,11011,2024,00120030,006360,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 56 기,2024.12.31 현재,"3,266,496,166,354",제 55 기,2023.12.31 현재,"3,046,354,212,471",제 54 기,2022.12.31 현재,"3,659,818,016,872",17,KRW
20250325001066,11011,2024,00120030,006360,CFS,연결재무제표,BS,재무상태표,자본총계,제 56 기,2024.12.31 현재,"5,087,123,959,443",제 55 기,2023.12.31 현재,"4,885,159,860,812",제 54 기,2022.12.31 현재,"5,356,202,808,591",21,KRW
20250325001066,11011,2024,00120030,006360,CFS,연결재무제표,IS,손익계산서,매출액,제 56 기,2024.01.01 ~ 2024.12.31,"12,863,811,468,386",제 55 기,2023.01.01 ~ 2023.12.31,"13,436,684,904,471",제 54 기,2022.01.01 ~ 2022.12.31,"12,299,196,214,752",23,KRW
