rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250318001123,11011,2024,00568461,225530,CFS,연결재무제표,BS,재무상태표,유동자산,제 21 기,2024.12.31 현재,"79,894,881,720",제 20 기,2023.12.31 현재,"57,606,625,701",제 19 기,2022.12.31 현재,"53,247,469,023",1,KRW
20250318001123,11011,2024,00568461,225530,CFS,연결재무제표,BS,재무상태표,비유동자산,제 21 기,2024.12.31 현재,"99,250,765,264",제 20 기,2023.12.31 현재,"108,111,349,556",제 19 기,2022.12.31 현재,"92,732,892,627",3,KRW
20250318001123,11011,2024,00568461,225530,CFS,연결재무제표,BS,재무상태표,자산총계,제 21 기,2024.12.31 현재,"179,145,646,984",제 20 기,2023.12.31 현재,"165,717,975,257",제 19 기,2022.12.31 현재,"145,980,361,650",5,KRW
20250318001123,11011,2024,00568461,225530,CFS,연결재무제표,BS,재무상태표,유동부채,제 21 기,2024.12.31 현재,"19,702,195,939",제 20 기,2023.12.31 현재,"22,116,434,588",제 19 기,2022.12.31 현재,"23,429,999,387",7,KRW
20250318001123,11011,2024,00568461,225530,CFS,연결재무제표,BS,재무상태표,비유동부채,제 21 기,2024.12.31 현재,"59,709,985,359",제 20 기,2023.12.31 현재,"48,423,861,645",제 19 기,2022.12.31 현재,"33,625,616,887",9,KRW
20250318001123,11011,2024,00568461,225530,CFS,연결재무제표,BS,재무상태표,부채총계,제 21 기,2024.12.31 현재,"79,412,181,298",제 20 기,2023.12.31 현재,"70,540,296,233",제 19 기,2022.12.31 현재,"57,055,616,274",11,KRW
20250318001123,11011,2024,00568461,225530,CFS,연결재무제표,BS,재무상태표,자본금,제 21 기,2024.12.31 현재,"18,169,363,500",제 20 기,2023.12.31 현재,"18,169,363,500",제 19 기,2022.12.31 현재,"18,169,363,500",13,KRW
20250318001123,11011,2024,00568461,225530,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 21 기,2024.12.31 현재,"66,586,176,756",제 20 기,2023.12.31 현재,"66,686,066,468",제 19 기,2022.12.31 현재,"61,235,166,984",17,KRW
20250318001123,11011,2024,00568461,225530,CFS,연결재무제표,BS,재무상태표,자본총계,제 21 기,2024.12.31 현재,"99,733,465,686",제 20 기,2023.12.31 현재,"95,177,679,024",제 19 기,2022.12.31 현재,"88,924,745,376",21,KRW
20250318001123,11011,2024,00568461,225530,CFS,연결재무제표,IS,손익계산서,매출액,제 21 기,2024.01.01 ~ 2024.12.31,"63,877,146,203",제 20 기,2023.01.01 ~ 2023.12.31,"85,460,172,473",제 19 기,2022.01.01 ~ 2022.12.31,"87,471,227,933",23,KRW
20250318001123,11011,2024,00568461,225530,CFS,연결재무제표,IS,손익계산서,영업이익,제 21 기,2024.01.01 ~ 2024.12.31,"8,863,028,851",제 20 기,2023.01.01 ~ 2023.12.31,"18,912,752,031",제 19 기,2022.01.01 ~ 2022.12.31,"15,372,295,022",25,KRW
20250318001123,11011,2024,00568461,225530,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 21 기,2024.01.01 ~ 2024.12.31,"6,693,458,341",제 20 기,2023.01.01 ~ 2023.12.31,"20,840,742,470",제 19 기,2022.01.01 ~ 2022.12.31,"15,548,689,551",27,KRW
20250318001123,11011,2024,00568461,225530,CFS,연결재무제표,IS,손익계산서,당기순이익,제 21 기,2024.01.01 ~ 2024.12.31,"5,238,946,053",제 20 기,2023.01.01 ~ 2023.12.31,"16,662,368,432",제 19 기,2022.01.01 ~ 2022.12.31,"12,074,741,153",29,KRW
20250318001123,11011,2024,00568461,225530,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 21 기,2024.01.01 ~ 2024.12.31,"5,238,946,053",제 20 기,2023.01.01 ~ 2023.12.31,"16,662,368,432",제 19 기,2022.01.01 ~ 2022.12.31,"12,074,741,153",61,KRW
20250318001123,11011,2024,00568461,225530,CFS,연결재무제표,IS,손익계산서,총포괄손익,제 21 기,2024.01.01 ~ 2024.12.31,"5,156,536,992",제 20 기,2023.01.01 ~ 2023.12.31,"17,154,498,948",제 19 기,2022.01.01 ~ 2022.12.31,"11,348,520,900",63,KRW
20250318001123,11011,2024,00568461,225530,OFS,재무제표,BS,재무상태표,유동자산,제 21 기,2024.12.31 현재,"66,187,534,315",제 20 기,2023.12.31 현재,"43,749,595,761",제 19 기,2022.12.31 현재,"40,719,122,251",2,KRW
20250318001123,11011,2024,00568461,225530,OFS,재무제표,BS,재무상태표,비유동자산,제 21 기,2024.12.31 현재,"111,353,406,924",제 20 기,2023.12.31 현재,"118,492,516,079",제 19 기,2022.12.31 현재,"103,428,374,712",4,KRW
20250318001123,11011,2024,00568461,225530,OFS,재무제표,BS,재무상태표,자산총계,제 21 기,2024.12.31 현재,"177,540,941,239",제 20 기,2023.12.31 현재,"162,242,111,840",제 19 기,2022.12.31 현재,"144,147,496,963",6,KRW
20250318001123,11011,2024,00568461,225530,OFS,재무제표,BS,재무상태표,유동부채,제 21 기,2024.12.31 현재,"19,702,110,999",제 20 기,2023.12.31 현재,"20,251,026,788",제 19 기,2022.12.31 현재,"23,218,334,317",8,KRW
20250318001123,11011,2024,00568461,225530,OFS,재무제표,BS,재무상태표,비유동부채,제 21 기,2024.12.31 현재,"57,703,829,620",제 20 기,2023.12.31 현재,"46,417,705,906",제 19 기,2022.12.31 현재,"31,609,862,317",10,KRW
20250318001123,11011,2024,00568461,225530,OFS,재무제표,BS,재무상태표,부채총계,제 21 기,2024.12.31 현재,"77,405,940,619",제 20 기,2023.12.31 현재,"66,668,732,694",제 19 기,2022.12.31 현재,"54,828,196,634",12,KRW
20250318001123,11011,2024,00568461,225530,OFS,재무제표,BS,재무상태표,자본금,제 21 기,2024.12.31 현재,"18,169,363,500",제 20 기,2023.12.31 현재,"18,169,363,500",제 19 기,2022.12.31 현재,"18,169,363,500",15,KRW
20250318001123,11011,2024,00568461,225530,OFS,재무제표,BS,재무상태표,이익잉여금,제 21 기,2024.12.31 현재,"65,674,616,793",제 20 기,2023.12.31 현재,"65,768,671,693",제 19 기,2022.12.31 현재,"60,316,627,040",19,KRW
20250318001123,11011,2024,00568461,225530,OFS,재무제표,BS,재무상태표,자본총계,제 21 기,2024.12.31 현재,"100,135,000,620",제 20 기,2023.12.31 현재,"95,573,379,146",제 19 기,2022.12.31 현재,"89,319,300,329",22,KRW
20250318001123,11011,2024,00568461,225530,OFS,재무제표,IS,손익계산서,매출액,제 21 기,2024.01.01 ~ 2024.12.31,"63,877,146,203",제 20 기,2023.01.01 ~ 2023.12.31,"85,460,172,473",제 19 기,2022.01.01 ~ 2022.12.31,"87,471,227,933",24,KRW
20250318001123,11011,2024,00568461,225530,OFS,재무제표,IS,손익계산서,영업이익,제 21 기,2024.01.01 ~ 2024.12.31,"9,106,904,071",제 20 기,2023.01.01 ~ 2023.12.31,"19,150,324,041",제 19 기,2022.01.01 ~ 2022.12.31,"15,676,574,322",26,KRW
20250318001123,11011,2024,00568461,225530,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 21 기,2024.01.01 ~ 2024.12.31,"6,700,834,842",제 20 기,2023.01.01 ~ 2023.12.31,"20,854,342,470",제 19 기,2022.01.01 ~ 2022.12.31,"14,791,881,920",28,KRW
