rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250318001151,11011,2024,00164636,012630,CFS,연결재무제표,BS,재무상태표,유동자산,제 48 기,2024.12.31 현재,"7,159,430,992,590",제 47 기,2023.12.31 현재,"6,590,724,166,780",제 46 기,2022.12.31 현재,"6,762,367,303,826",1,KRW
20250318001151,11011,2024,00164636,012630,CFS,연결재무제표,BS,재무상태표,비유동자산,제 48 기,2024.12.31 현재,"5,238,877,049,854",제 47 기,2023.12.31 현재,"4,930,491,243,760",제 46 기,2022.12.31 현재,"4,829,973,934,157",3,KRW
20250318001151,11011,2024,00164636,012630,CFS,연결재무제표,BS,재무상태표,자산총계,제 48 기,2024.12.31 현재,"12,398,308,042,444",제 47 기,2023.12.31 현재,"11,521,215,410,540",제 46 기,2022.12.31 현재,"11,592,341,237,983",5,KRW
20250318001151,11011,2024,00164636,012630,CFS,연결재무제표,BS,재무상태표,유동부채,제 48 기,2024.12.31 현재,"4,829,691,304,933",제 47 기,2023.12.31 현재,"4,179,885,119,650",제 46 기,2022.12.31 현재,"4,356,654,859,253",7,KRW
20250318001151,11011,2024,00164636,012630,CFS,연결재무제표,BS,재무상태표,비유동부채,제 48 기,2024.12.31 현재,"2,469,817,374,986",제 47 기,2023.12.31 현재,"2,426,569,169,036",제 46 기,2022.12.31 현재,"2,402,847,579,608",9,KRW
20250318001151,11011,2024,00164636,012630,CFS,연결재무제표,BS,재무상태표,부채총계,제 48 기,2024.12.31 현재,"7,299,508,679,919",제 47 기,2023.12.31 현재,"6,606,454,288,686",제 46 기,2022.12.31 현재,"6,759,502,438,861",11,KRW
20250318001151,11011,2024,00164636,012630,CFS,연결재무제표,BS,재무상태표,자본금,제 48 기,2024.12.31 현재,"298,708,605,000",제 47 기,2023.12.31 현재,"298,708,605,000",제 46 기,2022.12.31 현재,"298,708,605,000",13,KRW
20250318001151,11011,2024,00164636,012630,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 48 기,2024.12.31 현재,"3,770,530,139,674",제 47 기,2023.12.31 현재,"3,649,880,797,687",제 46 기,2022.12.31 현재,"3,557,870,431,462",17,KRW
20250318001151,11011,2024,00164636,012630,CFS,연결재무제표,BS,재무상태표,자본총계,제 48 기,2024.12.31 현재,"5,098,799,362,525",제 47 기,2023.12.31 현재,"4,914,761,121,854",제 46 기,2022.12.31 현재,"4,832,838,799,122",21,KRW
20250318001151,11011,2024,00164636,012630,CFS,연결재무제표,IS,손익계산서,매출액,제 48 기,2024.01.01 ~ 2024.12.31,"6,200,260,255,330",제 47 기,2023.01.01 ~ 2023.12.31,"5,908,284,632,279",제 46 기,2022.01.01 ~ 2022.12.31,"5,044,944,531,629",23,KRW
20250318001151,11011,2024,00164636,012630,CFS,연결재무제표,IS,손익계산서,영업이익,제 48 기,2024.01.01 ~ 2024.12.31,"344,698,678,103",제 47 기,2023.01.01 ~ 2023.12.31,"312,643,257,338",제 46 기,2022.01.01 ~ 2022.12.31,"158,535,478,442",25,KRW
20250318001151,11011,2024,00164636,012630,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 48 기,2024.01.01 ~ 2024.12.31,"347,435,170,558",제 47 기,2023.01.01 ~ 2023.12.31,"344,899,192,850",제 46 기,2022.01.01 ~ 2022.12.31,"133,502,475,796",27,KRW
20250318001151,11011,2024,00164636,012630,CFS,연결재무제표,IS,손익계산서,당기순이익,제 48 기,2024.01.01 ~ 2024.12.31,"260,301,619,623",제 47 기,2023.01.01 ~ 2023.12.31,"212,938,887,004",제 46 기,2022.01.01 ~ 2022.12.31,"36,958,373,233",29,KRW
20250318001151,11011,2024,00164636,012630,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 48 기,2024.01.01 ~ 2024.12.31,"260,301,619,623",제 47 기,2023.01.01 ~ 2023.12.31,"212,938,887,004",제 46 기,2022.01.01 ~ 2022.12.31,"36,958,373,233",61,KRW
20250318001151,11011,2024,00164636,012630,CFS,연결재무제표,IS,손익계산서,총포괄손익,제 48 기,2024.01.01 ~ 2024.12.31,"239,974,303,644",제 47 기,2023.01.01 ~ 2023.12.31,"188,000,628,226",제 46 기,2022.01.01 ~ 2022.12.31,"69,529,599,248",63,KRW
20250318001151,11011,2024,00164636,012630,OFS,재무제표,BS,재무상태표,유동자산,제 48 기,2024.12.31 현재,"318,246,116,476",제 47 기,2023.12.31 현재,"336,570,868,051",제 46 기,2022.12.31 현재,"94,843,744,797",2,KRW
