rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250318001459,11011,2024,00299002,060980,CFS,연결재무제표,BS,재무상태표,유동자산,제 26 기,2024.12.31 현재,"519,050,174,611",제 25 기,2023.12.31 현재,"543,390,903,442",제 24 기,2022.12.31 현재,"566,303,125,531",1,KRW
20250318001459,11011,2024,00299002,060980,CFS,연결재무제표,BS,재무상태표,비유동자산,제 26 기,2024.12.31 현재,"1,851,713,704,796",제 25 기,2023.12.31 현재,"1,754,527,319,726",제 24 기,2022.12.31 현재,"1,705,652,539,813",3,KRW
20250318001459,11011,2024,00299002,060980,CFS,연결재무제표,BS,재무상태표,자산총계,제 26 기,2024.12.31 현재,"2,370,763,879,407",제 25 기,2023.12.31 현재,"2,298,229,319,032",제 24 기,2022.12.31 현재,"2,279,864,889,843",5,KRW
20250318001459,11011,2024,00299002,060980,CFS,연결재무제표,BS,재무상태표,유동부채,제 26 기,2024.12.31 현재,"793,893,999,174",제 25 기,2023.12.31 현재,"699,611,678,298",제 24 기,2022.12.31 현재,"585,559,869,059",7,KRW
20250318001459,11011,2024,00299002,060980,CFS,연결재무제표,BS,재무상태표,비유동부채,제 26 기,2024.12.31 현재,"512,289,795,844",제 25 기,2023.12.31 현재,"588,304,351,865",제 24 기,2022.12.31 현재,"689,107,890,234",9,KRW
20250318001459,11011,2024,00299002,060980,CFS,연결재무제표,BS,재무상태표,부채총계,제 26 기,2024.12.31 현재,"1,306,183,795,018",제 25 기,2023.12.31 현재,"1,287,916,030,163",제 24 기,2022.12.31 현재,"1,274,667,759,293",11,KRW
20250318001459,11011,2024,00299002,060980,CFS,연결재무제표,BS,재무상태표,자본금,제 26 기,2024.12.31 현재,"55,086,180,000",제 25 기,2023.12.31 현재,"55,086,180,000",제 24 기,2022.12.31 현재,"55,086,180,000",13,KRW
20250318001459,11011,2024,00299002,060980,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 26 기,2024.12.31 현재,"833,172,067,519",제 25 기,2023.12.31 현재,"852,293,805,811",제 24 기,2022.12.31 현재,"739,855,045,615",17,KRW
20250318001459,11011,2024,00299002,060980,CFS,연결재무제표,BS,재무상태표,자본총계,제 26 기,2024.12.31 현재,"1,064,580,084,389",제 25 기,2023.12.31 현재,"1,010,313,288,869",제 24 기,2022.12.31 현재,"1,005,197,130,550",21,KRW
20250318001459,11011,2024,00299002,060980,CFS,연결재무제표,IS,손익계산서,매출액,제 26 기,2024.01.01 ~ 2024.12.31,"1,371,086,204,119",제 25 기,2023.01.01 ~ 2023.12.31,"1,285,533,416,647",제 24 기,2022.01.01 ~ 2022.12.31,"1,277,106,070,054",23,KRW
20250318001459,11011,2024,00299002,060980,CFS,연결재무제표,IS,손익계산서,영업이익,제 26 기,2024.01.01 ~ 2024.12.31,"90,442,516,250",제 25 기,2023.01.01 ~ 2023.12.31,"92,173,966,184",제 24 기,2022.01.01 ~ 2022.12.31,"85,846,922,824",25,KRW
