rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20240320000470,11011,2023,00105101,015360,CFS,연결재무제표,BS,재무상태표,유동자산,제 43 기,2023.12.31 현재,"490,272,111,000",제 42 기,2022.12.31 현재,"600,113,682,000",제 41 기,2021.12.31 현재,"554,965,102,000",1,KRW
20240320000470,11011,2023,00105101,015360,CFS,연결재무제표,BS,재무상태표,비유동자산,제 43 기,2023.12.31 현재,"867,767,370,000",제 42 기,2022.12.31 현재,"891,280,119,000",제 41 기,2021.12.31 현재,"868,037,436,000",3,KRW
20240320000470,11011,2023,00105101,015360,CFS,연결재무제표,BS,재무상태표,자산총계,제 43 기,2023.12.31 현재,"1,358,039,481,000",제 42 기,2022.12.31 현재,"1,491,393,801,000",제 41 기,2021.12.31 현재,"1,423,002,538,000",5,KRW
20240320000470,11011,2023,00105101,015360,CFS,연결재무제표,BS,재무상태표,유동부채,제 43 기,2023.12.31 현재,"533,767,322,000",제 42 기,2022.12.31 현재,"670,344,420,000",제 41 기,2021.12.31 현재,"422,155,970,000",7,KRW
20240320000470,11011,2023,00105101,015360,CFS,연결재무제표,BS,재무상태표,비유동부채,제 43 기,2023.12.31 현재,"321,262,906,000",제 42 기,2022.12.31 현재,"301,510,720,000",제 41 기,2021.12.31 현재,"467,288,550,000",9,KRW
20240320000470,11011,2023,00105101,015360,CFS,연결재무제표,BS,재무상태표,부채총계,제 43 기,2023.12.31 현재,"855,030,228,000",제 42 기,2022.12.31 현재,"971,855,140,000",제 41 기,2021.12.31 현재,"889,444,520,000",11,KRW
20240320000470,11011,2023,00105101,015360,CFS,연결재무제표,BS,재무상태표,자본금,제 43 기,2023.12.31 현재,"30,000,000,000",제 42 기,2022.12.31 현재,"30,000,000,000",제 41 기,2021.12.31 현재,"30,000,000,000",13,KRW
20240320000470,11011,2023,00105101,015360,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 43 기,2023.12.31 현재,"436,940,360,000",제 42 기,2022.12.31 현재,"451,001,175,000",제 41 기,2021.12.31 현재,"463,846,489,000",17,KRW
20240320000470,11011,2023,00105101,015360,CFS,연결재무제표,BS,재무상태표,자본총계,제 43 기,2023.12.31 현재,"503,009,253,000",제 42 기,2022.12.31 현재,"519,538,661,000",제 41 기,2021.12.31 현재,"533,558,018,000",21,KRW
20240320000470,11011,2023,00105101,015360,CFS,연결재무제표,IS,손익계산서,매출액,제 43 기,2023.01.01 ~ 2023.12.31,"1,430,505,844,000",제 42 기,2022.01.01 ~ 2022.12.31,"1,470,167,011,000",제 41 기,2021.01.01 ~ 2021.12.31,"1,290,005,562,000",23,KRW
20240320000470,11011,2023,00105101,015360,CFS,연결재무제표,IS,손익계산서,영업이익,제 43 기,2023.01.01 ~ 2023.12.31,"57,486,508,000",제 42 기,2022.01.01 ~ 2022.12.31,"1,459,528,000",제 41 기,2021.01.01 ~ 2021.12.31,"66,156,826,000",25,KRW
20240320000470,11011,2023,00105101,015360,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 43 기,2023.01.01 ~ 2023.12.31,"52,887,397,000",제 42 기,2022.01.01 ~ 2022.12.31,"-5,837,372,000",제 41 기,2021.01.01 ~ 2021.12.31,"56,943,558,000",27,KRW
20240320000470,11011,2023,00105101,015360,CFS,연결재무제표,IS,손익계산서,당기순이익,제 43 기,2023.01.01 ~ 2023.12.31,"34,053,372,000",제 42 기,2022.01.01 ~ 2022.12.31,"-2,469,725,000",제 41 기,2021.01.01 ~ 2021.12.31,"26,557,568,000",29,KRW
20240320000470,11011,2023,00105101,015360,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 43 기,2023.01.01 ~ 2023.12.31,"34,053,372,000",제 42 기,2022.01.01 ~ 2022.12.31,"-2,469,725,000",제 41 기,2021.01.01 ~ 2021.12.31,"26,557,568,000",61,KRW
20240320000470,11011,2023,00105101,015360,OFS,재무제표,BS,재무상태표,유동자산,제 43 기,2023.12.31 현재,"84,798,332,000",제 42 기,2022.12.31 현재,"39,080,856,000",제 41 기,2021.12.31 현재,"88,731,159,000",2,KRW
20240320000470,11011,2023,00105101,015360,OFS,재무제표,BS,재무상태표,비유동자산,제 43 기,2023.12.31 현재,"449,478,221,000",제 42 기,2022.12.31 현재,"516,380,436,000",제 41 기,2021.12.31 현재,"510,923,719,000",4,KRW
20240320000470,11011,2023,00105101,015360,OFS,재무제표,BS,재무상태표,자산총계,제 43 기,2023.12.31 현재,"534,276,553,000",제 42 기,2022.12.31 현재,"555,461,292,000",제 41 기,2021.12.31 현재,"599,654,878,000",6,KRW
20240320000470,11011,2023,00105101,015360,OFS,재무제표,BS,재무상태표,유동부채,제 43 기,2023.12.31 현재,"7,303,295,000",제 42 기,2022.12.31 현재,"11,991,229,000",제 41 기,2021.12.31 현재,"75,943,502,000",8,KRW
20240320000470,11011,2023,00105101,015360,OFS,재무제표,BS,재무상태표,비유동부채,제 43 기,2023.12.31 현재,"99,714,864,000",제 42 기,2022.12.31 현재,"101,582,509,000",제 41 기,2021.12.31 현재,"62,396,708,000",10,KRW
