rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20230321001152,11011,2022,00110431,067290,CFS,연결재무제표,BS,재무상태표,유동자산,제 42 기,2022.12.31 현재,"33,866,545,789",제 41 기,2021.12.31 현재,"32,108,697,777",제 40 기,2020.12.31 현재,"33,747,772,627",1,KRW
20230321001152,11011,2022,00110431,067290,CFS,연결재무제표,BS,재무상태표,비유동자산,제 42 기,2022.12.31 현재,"60,227,401,562",제 41 기,2021.12.31 현재,"59,895,498,686",제 40 기,2020.12.31 현재,"62,579,409,777",3,KRW
20230321001152,11011,2022,00110431,067290,CFS,연결재무제표,BS,재무상태표,자산총계,제 42 기,2022.12.31 현재,"94,093,947,351",제 41 기,2021.12.31 현재,"92,004,196,463",제 40 기,2020.12.31 현재,"96,327,182,404",5,KRW
20230321001152,11011,2022,00110431,067290,CFS,연결재무제표,BS,재무상태표,유동부채,제 42 기,2022.12.31 현재,"37,896,791,771",제 41 기,2021.12.31 현재,"21,326,540,072",제 40 기,2020.12.31 현재,"38,804,542,283",7,KRW
20230321001152,11011,2022,00110431,067290,CFS,연결재무제표,BS,재무상태표,비유동부채,제 42 기,2022.12.31 현재,"504,944,893",제 41 기,2021.12.31 현재,"15,494,439,508",제 40 기,2020.12.31 현재,"1,180,677,974",9,KRW
20230321001152,11011,2022,00110431,067290,CFS,연결재무제표,BS,재무상태표,부채총계,제 42 기,2022.12.31 현재,"38,401,736,664",제 41 기,2021.12.31 현재,"36,820,979,580",제 40 기,2020.12.31 현재,"39,985,220,257",11,KRW
20230321001152,11011,2022,00110431,067290,CFS,연결재무제표,BS,재무상태표,자본금,제 42 기,2022.12.31 현재,"23,063,718,500",제 41 기,2021.12.31 현재,"21,968,429,000",제 40 기,2020.12.31 현재,"20,925,158,000",13,KRW
20230321001152,11011,2022,00110431,067290,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 42 기,2022.12.31 현재,"-31,359,876,295",제 41 기,2021.12.31 현재,"-31,921,833,166",제 40 기,2020.12.31 현재,"-31,536,104,403",17,KRW
20230321001152,11011,2022,00110431,067290,CFS,연결재무제표,BS,재무상태표,자본총계,제 42 기,2022.12.31 현재,"55,692,210,687",제 41 기,2021.12.31 현재,"55,183,216,883",제 40 기,2020.12.31 현재,"56,341,962,147",21,KRW
20230321001152,11011,2022,00110431,067290,CFS,연결재무제표,IS,손익계산서,매출액,제 42 기,2022.01.01 ~ 2022.12.31,"102,710,439,010",제 41 기,2021.01.01 ~ 2021.12.31,"100,966,106,272",제 40 기,2020.01.01 ~ 2020.12.31,"103,802,657,003",23,KRW
