rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250331004034,11011,2024,00120216,002550,CFS,연결재무제표,BS,재무상태표,자산총계,제 67 기,2024.12.31 현재,"40,845,318,000,000",제 66 기,2023.12.31 현재,"37,787,735,000,000",제 65 기,2022.12.31 현재,"34,804,690,000,000",5,KRW
20250331004034,11011,2024,00120216,002550,CFS,연결재무제표,BS,재무상태표,부채총계,제 67 기,2024.12.31 현재,"35,000,552,000,000",제 66 기,2023.12.31 현재,"31,489,457,000,000",제 65 기,2022.12.31 현재,"29,033,963,000,000",11,KRW
20250331004034,11011,2024,00120216,002550,CFS,연결재무제표,BS,재무상태표,자본금,제 67 기,2024.12.31 현재,"33,250,000,000",제 66 기,2023.12.31 현재,"33,250,000,000",제 65 기,2022.12.31 현재,"33,250,000,000",13,KRW
20250331004034,11011,2024,00120216,002550,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 67 기,2024.12.31 현재,"6,133,591,000,000",제 66 기,2023.12.31 현재,"5,547,755,000,000",제 65 기,2022.12.31 현재,"5,171,165,000,000",17,KRW
20250331004034,11011,2024,00120216,002550,CFS,연결재무제표,BS,재무상태표,자본총계,제 67 기,2024.12.31 현재,"5,844,766,000,000",제 66 기,2023.12.31 현재,"6,298,278,000,000",제 65 기,2022.12.31 현재,"5,770,727,000,000",21,KRW
20250331004034,11011,2024,00120216,002550,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 67 기,2024.01.01 ~ 2024.12.31,"1,120,902,000,000",제 66 기,2023.01.01 ~ 2023.12.31,"981,548,000,000",제 65 기,2022.01.01 ~ 2022.12.31,"646,687,000,000",27,KRW
20250331004034,11011,2024,00120216,002550,CFS,연결재무제표,IS,손익계산서,당기순이익,제 67 기,2024.01.01 ~ 2024.12.31,"835,884,000,000",제 66 기,2023.01.01 ~ 2023.12.31,"726,869,000,000",제 65 기,2022.01.01 ~ 2022.12.31,"508,484,000,000",29,KRW
20250331004034,11011,2024,00120216,002550,CFS,연결재무제표,BS,재무상태표,차입부채,제 67 기,2024.12.31 현재,0,제 66 기,2023.12.31 현재,0,제 65 기,2022.12.31 현재,"29,732,000,000",33,KRW
20250331004034,11011,2024,00120216,002550,CFS,연결재무제표,BS,재무상태표,당기손익-공정가치측정금융자산,제 67 기,2024.12.31 현재,"9,481,611,000,000",제 66 기,2023.12.31 현재,"9,195,920,000,000",제 65 기,2022.12.31 현재,"8,994,629,000,000",35,KRW
20250331004034,11011,2024,00120216,002550,CFS,연결재무제표,BS,재무상태표,기타포괄손익-공정가치측정금융자산,제 67 기,2024.12.31 현재,"20,523,003,000,000",제 66 기,2023.12.31 현재,"18,035,111,000,000",제 65 기,2022.12.31 현재,"15,741,249,000,000",37,KRW
20250331004034,11011,2024,00120216,002550,CFS,연결재무제표,BS,재무상태표,보험계약자산,제 67 기,2024.12.31 현재,"276,191,000,000",제 66 기,2023.12.31 현재,"229,640,000,000",제 65 기,2022.12.31 현재,"83,304,000,000",41,KRW
20250331004034,11011,2024,00120216,002550,CFS,연결재무제표,BS,재무상태표,보험계약부채,제 67 기,2024.12.31 현재,"26,542,801,000,000",제 66 기,2023.12.31 현재,"24,441,747,000,000",제 65 기,2022.12.31 현재,"22,079,065,000,000",43,KRW
20250331004034,11011,2024,00120216,002550,CFS,연결재무제표,IS,손익계산서,이자수익,제 67 기,2024.01.01 ~ 2024.12.31,"889,356,000,000",제 66 기,2023.01.01 ~ 2023.12.31,"831,271,000,000",제 65 기,2022.01.01 ~ 2022.12.31,"761,011,000,000",53,KRW
20250331004034,11011,2024,00120216,002550,CFS,연결재무제표,IS,손익계산서,이자비용,제 67 기,2024.01.01 ~ 2024.12.31,"192,191,000,000",제 66 기,2023.01.01 ~ 2023.12.31,"239,602,000,000",제 65 기,2022.01.01 ~ 2022.12.31,"97,180,000,000",55,KRW
20250331004034,11011,2024,00120216,002550,CFS,연결재무제표,IS,손익계산서,영업이익(손실),제 67 기,2024.01.01 ~ 2024.12.31,"1,132,732,000,000",제 66 기,2023.01.01 ~ 2023.12.31,"967,302,000,000",제 65 기,2022.01.01 ~ 2022.12.31,"472,349,000,000",59,KRW
20250331004034,11011,2024,00120216,002550,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 67 기,2024.01.01 ~ 2024.12.31,"835,884,000,000",제 66 기,2023.01.01 ~ 2023.12.31,"726,869,000,000",제 65 기,2022.01.01 ~ 2022.12.31,"508,484,000,000",61,KRW
20250331004034,11011,2024,00120216,002550,CFS,연결재무제표,IS,손익계산서,총포괄손익,제 67 기,2024.01.01 ~ 2024.12.31,"-203,538,000,000",제 66 기,2023.01.01 ~ 2023.12.31,"877,551,000,000",제 65 기,2022.01.01 ~ 2022.12.31,"1,088,764,000,000",63,KRW
20250331004034,11011,2024,00120216,002550,OFS,재무제표,BS,재무상태표,자산총계,제 67 기,2024.12.31 현재,"40,710,844,000,000",제 66 기,2023.12.31 현재,"37,648,092,000,000",제 65 기,2022.12.31 현재,"34,647,934,000,000",6,KRW
20250331004034,11011,2024,00120216,002550,OFS,재무제표,BS,재무상태표,부채총계,제 67 기,2024.12.31 현재,"34,854,403,000,000",제 66 기,2023.12.31 현재,"31,350,276,000,000",제 65 기,2022.12.31 현재,"28,887,569,000,000",12,KRW
20250331004034,11011,2024,00120216,002550,OFS,재무제표,BS,재무상태표,자본금,제 67 기,2024.12.31 현재,"33,250,000,000",제 66 기,2023.12.31 현재,"33,250,000,000",제 65 기,2022.12.31 현재,"33,250,000,000",15,KRW
20250331004034,11011,2024,00120216,002550,OFS,재무제표,BS,재무상태표,이익잉여금,제 67 기,2024.12.31 현재,"6,158,762,000,000",제 66 기,2023.12.31 현재,"5,551,986,000,000",제 65 기,2022.12.31 현재,"5,165,220,000,000",19,KRW
20250331004034,11011,2024,00120216,002550,OFS,재무제표,BS,재무상태표,자본총계,제 67 기,2024.12.31 현재,"5,856,441,000,000",제 66 기,2023.12.31 현재,"6,297,816,000,000",제 65 기,2022.12.31 현재,"5,760,365,000,000",22,KRW
20250331004034,11011,2024,00120216,002550,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 67 기,2024.01.01 ~ 2024.12.31,"1,137,955,000,000",제 66 기,2023.01.01 ~ 2023.12.31,"988,630,000,000",제 65 기,2022.01.01 ~ 2022.12.31,"648,197,000,000",28,KRW
20250331004034,11011,2024,00120216,002550,OFS,재무제표,IS,손익계산서,당기순이익,제 67 기,2024.01.01 ~ 2024.12.31,"856,749,000,000",제 66 기,2023.01.01 ~ 2023.12.31,"736,766,000,000",제 65 기,2022.01.01 ~ 2022.12.31,"515,376,000,000",30,KRW
20250331004034,11011,2024,00120216,002550,OFS,재무제표,BS,재무상태표,당기손익-공정가치측정금융자산,제 67 기,2024.12.31 현재,"9,431,766,000,000",제 66 기,2023.12.31 현재,"9,142,251,000,000",제 65 기,2022.12.31 현재,"8,934,505,000,000",36,KRW
20250331004034,11011,2024,00120216,002550,OFS,재무제표,BS,재무상태표,기타포괄손익-공정가치측정금융자산,제 67 기,2024.12.31 현재,"20,523,003,000,000",제 66 기,2023.12.31 현재,"18,035,012,000,000",제 65 기,2022.12.31 현재,"15,741,249,000,000",38,KRW
20250331004034,11011,2024,00120216,002550,OFS,재무제표,BS,재무상태표,보험계약자산,제 67 기,2024.12.31 현재,"276,191,000,000",제 66 기,2023.12.31 현재,"229,640,000,000",제 65 기,2022.12.31 현재,"83,304,000,000",42,KRW
20250331004034,11011,2024,00120216,002550,OFS,재무제표,BS,재무상태표,보험계약부채,제 67 기,2024.12.31 현재,"26,451,376,000,000",제 66 기,2023.12.31 현재,"24,338,726,000,000",제 65 기,2022.12.31 현재,"22,041,595,000,000",44,KRW
20250331004034,11011,2024,00120216,002550,OFS,재무제표,IS,손익계산서,이자수익,제 67 기,2024.01.01 ~ 2024.12.31,"872,022,000,000",제 66 기,2023.01.01 ~ 2023.12.31,"813,322,000,000",제 65 기,2022.01.01 ~ 2022.12.31,"708,755,000,000",54,KRW
20250331004034,11011,2024,00120216,002550,OFS,재무제표,IS,손익계산서,이자비용,제 67 기,2024.01.01 ~ 2024.12.31,"190,638,000,000",제 66 기,2023.01.01 ~ 2023.12.31,"236,630,000,000",제 65 기,2022.01.01 ~ 2022.12.31,"94,857,000,000",56,KRW
20250331004034,11011,2024,00120216,002550,OFS,재무제표,IS,손익계산서,영업이익(손실),제 67 기,2024.01.01 ~ 2024.12.31,"1,155,570,000,000",제 66 기,2023.01.01 ~ 2023.12.31,"989,697,000,000",제 65 기,2022.01.01 ~ 2022.12.31,"475,060,000,000",60,KRW
20250331004034,11011,2024,00120216,002550,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 67 기,2024.01.01 ~ 2024.12.31,"856,749,000,000",제 66 기,2023.01.01 ~ 2023.12.31,"736,766,000,000",제 65 기,2022.01.01 ~ 2022.12.31,"515,376,000,000",62,KRW
20250331004034,11011,2024,00120216,002550,OFS,재무제표,IS,손익계산서,총포괄손익,제 67 기,2024.01.01 ~ 2024.12.31,"-191,401,000,000",제 66 기,2023.01.01 ~ 2023.12.31,"887,451,000,000",제 65 기,2022.01.01 ~ 2022.12.31,"1,093,648,000,000",64,KRW
