rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20240626000112,11011,2023,01097906,226360,CFS,연결재무제표,BS,재무상태표,유동자산,제 9 기,2023.12.31 현재,"45,270,990,460",제 8 기,2022.12.31 현재,"71,982,850,462",제 7 기,2021.12.31 현재,"74,062,633,799",1,KRW
20240626000112,11011,2023,01097906,226360,CFS,연결재무제표,BS,재무상태표,비유동자산,제 9 기,2023.12.31 현재,"100,156,888,737",제 8 기,2022.12.31 현재,"128,194,434,884",제 7 기,2021.12.31 현재,"160,407,332,585",3,KRW
20240626000112,11011,2023,01097906,226360,CFS,연결재무제표,BS,재무상태표,자산총계,제 9 기,2023.12.31 현재,"145,427,879,197",제 8 기,2022.12.31 현재,"200,177,285,346",제 7 기,2021.12.31 현재,"234,469,966,384",5,KRW
20240626000112,11011,2023,01097906,226360,CFS,연결재무제표,BS,재무상태표,유동부채,제 9 기,2023.12.31 현재,"19,196,671,304",제 8 기,2022.12.31 현재,"87,252,099,692",제 7 기,2021.12.31 현재,"101,935,304,704",7,KRW
20240626000112,11011,2023,01097906,226360,CFS,연결재무제표,BS,재무상태표,비유동부채,제 9 기,2023.12.31 현재,"3,622,608,981",제 8 기,2022.12.31 현재,"414,146,301",제 7 기,2021.12.31 현재,"384,860,408",9,KRW
20240626000112,11011,2023,01097906,226360,CFS,연결재무제표,BS,재무상태표,부채총계,제 9 기,2023.12.31 현재,"22,819,280,285",제 8 기,2022.12.31 현재,"87,666,245,993",제 7 기,2021.12.31 현재,"102,320,165,112",11,KRW
20240626000112,11011,2023,01097906,226360,CFS,연결재무제표,BS,재무상태표,자본총계,제 9 기,2023.12.31 현재,"122,608,598,912",제 8 기,2022.12.31 현재,"112,511,039,353",제 7 기,2021.12.31 현재,"132,149,801,272",21,KRW
20240626000112,11011,2023,01097906,226360,CFS,연결재무제표,IS,손익계산서,매출액,제 9 기,2023.01.01 ~ 2023.12.31,"37,388,366,846",제 8 기,2022.01.01 ~ 2022.12.31,"56,082,241,851",제 7 기,2021.01.01 ~ 2021.12.31,"49,141,456,397",23,KRW
20240626000112,11011,2023,01097906,226360,CFS,연결재무제표,IS,손익계산서,영업이익,제 9 기,2023.01.01 ~ 2023.12.31,"-7,170,501,111",제 8 기,2022.01.01 ~ 2022.12.31,"2,009,204,896",제 7 기,2021.01.01 ~ 2021.12.31,"511,496,373",25,KRW
20240626000112,11011,2023,01097906,226360,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 9 기,2023.01.01 ~ 2023.12.31,"4,715,290,906",제 8 기,2022.01.01 ~ 2022.12.31,"-77,029,633,732",제 7 기,2021.01.01 ~ 2021.12.31,"-42,100,445,355",27,KRW
20240626000112,11011,2023,01097906,226360,OFS,재무제표,BS,재무상태표,유동자산,제 9 기,2023.12.31 현재,"57,535,921,527",제 8 기,2022.12.31 현재,"44,493,200,578",제 7 기,2021.12.31 현재,"41,424,606,492",2,KRW
20240626000112,11011,2023,01097906,226360,OFS,재무제표,BS,재무상태표,비유동자산,제 9 기,2023.12.31 현재,"83,689,065,255",제 8 기,2022.12.31 현재,"114,205,610,248",제 7 기,2021.12.31 현재,"147,884,881,157",4,KRW
20240626000112,11011,2023,01097906,226360,OFS,재무제표,BS,재무상태표,자산총계,제 9 기,2023.12.31 현재,"141,224,986,782",제 8 기,2022.12.31 현재,"158,698,810,826",제 7 기,2021.12.31 현재,"189,309,487,649",6,KRW
20240626000112,11011,2023,01097906,226360,OFS,재무제표,BS,재무상태표,유동부채,제 9 기,2023.12.31 현재,"17,124,704,872",제 8 기,2022.12.31 현재,"41,572,984,807",제 7 기,2021.12.31 현재,"66,644,094,176",8,KRW
20240626000112,11011,2023,01097906,226360,OFS,재무제표,BS,재무상태표,비유동부채,제 9 기,2023.12.31 현재,"371,454,668",제 8 기,2022.12.31 현재,"414,146,301",제 7 기,2021.12.31 현재,"384,860,408",10,KRW
20240626000112,11011,2023,01097906,226360,OFS,재무제표,BS,재무상태표,부채총계,제 9 기,2023.12.31 현재,"17,496,159,540",제 8 기,2022.12.31 현재,"41,987,131,108",제 7 기,2021.12.31 현재,"67,028,954,584",12,KRW
20240626000112,11011,2023,01097906,226360,OFS,재무제표,BS,재무상태표,자본금,제 9 기,2023.12.31 현재,"17,650,984,200",제 8 기,2022.12.31 현재,"12,362,053,100",제 7 기,2021.12.31 현재,"7,399,692,600",15,KRW
20240626000112,11011,2023,01097906,226360,OFS,재무제표,BS,재무상태표,이익잉여금,제 9 기,2023.12.31 현재,"-97,102,258,869",제 8 기,2022.12.31 현재,"-84,443,111,222",제 7 기,2021.12.31 현재,"-11,040,326,430",19,KRW
20240626000112,11011,2023,01097906,226360,OFS,재무제표,BS,재무상태표,자본총계,제 9 기,2023.12.31 현재,"123,728,827,242",제 8 기,2022.12.31 현재,"116,711,679,718",제 7 기,2021.12.31 현재,"122,280,533,065",22,KRW
20240626000112,11011,2023,01097906,226360,OFS,재무제표,IS,손익계산서,매출액,제 9 기,2023.01.01 ~ 2023.12.31,"37,355,486,846",제 8 기,2022.01.01 ~ 2022.12.31,"55,832,175,521",제 7 기,2021.01.01 ~ 2021.12.31,"49,141,456,397",24,KRW
20240626000112,11011,2023,01097906,226360,OFS,재무제표,IS,손익계산서,영업이익,제 9 기,2023.01.01 ~ 2023.12.31,"-6,548,403,653",제 8 기,2022.01.01 ~ 2022.12.31,"2,964,785,302",제 7 기,2021.01.01 ~ 2021.12.31,"3,827,854,292",26,KRW
20240626000112,11011,2023,01097906,226360,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 9 기,2023.01.01 ~ 2023.12.31,"-4,472,970,011",제 8 기,2022.01.01 ~ 2022.12.31,"-67,662,989,472",제 7 기,2021.01.01 ~ 2021.12.31,"-1,873,306,476",28,KRW
