rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250313001218,11011,2024,00587466,092230,CFS,연결재무제표,BS,재무상태표,유동자산,제 19 기,2024.12.31 현재,"988,080,702,820",제 18 기,2023.12.31 현재,"850,600,644,892",제 17 기,2022.12.31 현재,"712,440,592,151",1,KRW
20250313001218,11011,2024,00587466,092230,CFS,연결재무제표,BS,재무상태표,비유동자산,제 19 기,2024.12.31 현재,"1,030,073,582,864",제 18 기,2023.12.31 현재,"1,078,046,005,089",제 17 기,2022.12.31 현재,"1,107,453,210,503",3,KRW
20250313001218,11011,2024,00587466,092230,CFS,연결재무제표,BS,재무상태표,자산총계,제 19 기,2024.12.31 현재,"2,018,154,285,684",제 18 기,2023.12.31 현재,"1,928,646,649,981",제 17 기,2022.12.31 현재,"1,819,893,802,654",5,KRW
20250313001218,11011,2024,00587466,092230,CFS,연결재무제표,BS,재무상태표,유동부채,제 19 기,2024.12.31 현재,"373,733,225,985",제 18 기,2023.12.31 현재,"375,113,159,809",제 17 기,2022.12.31 현재,"385,145,633,327",7,KRW
20250313001218,11011,2024,00587466,092230,CFS,연결재무제표,BS,재무상태표,비유동부채,제 19 기,2024.12.31 현재,"94,094,467,548",제 18 기,2023.12.31 현재,"90,521,299,367",제 17 기,2022.12.31 현재,"63,834,768,590",9,KRW
20250313001218,11011,2024,00587466,092230,CFS,연결재무제표,BS,재무상태표,부채총계,제 19 기,2024.12.31 현재,"467,827,693,533",제 18 기,2023.12.31 현재,"465,634,459,176",제 17 기,2022.12.31 현재,"448,980,401,917",11,KRW
20250313001218,11011,2024,00587466,092230,CFS,연결재무제표,BS,재무상태표,자본금,제 19 기,2024.12.31 현재,"21,123,230,000",제 18 기,2023.12.31 현재,"21,123,230,000",제 17 기,2022.12.31 현재,"21,123,230,000",13,KRW
20250313001218,11011,2024,00587466,092230,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 19 기,2024.12.31 현재,"683,746,791,423",제 18 기,2023.12.31 현재,"623,322,482,830",제 17 기,2022.12.31 현재,"552,140,358,755",17,KRW
20250313001218,11011,2024,00587466,092230,CFS,연결재무제표,BS,재무상태표,자본총계,제 19 기,2024.12.31 현재,"1,550,326,592,151",제 18 기,2023.12.31 현재,"1,463,012,190,805",제 17 기,2022.12.31 현재,"1,370,913,400,737",21,KRW
20250313001218,11011,2024,00587466,092230,CFS,연결재무제표,IS,손익계산서,매출액,제 19 기,2024.01.01 ~ 2024.12.31,"1,223,942,110,308",제 18 기,2023.01.01 ~ 2023.12.31,"1,207,010,159,501",제 17 기,2022.01.01 ~ 2022.12.31,"1,240,447,444,718",23,KRW
20250313001218,11011,2024,00587466,092230,CFS,연결재무제표,IS,손익계산서,영업이익,제 19 기,2024.01.01 ~ 2024.12.31,"51,133,047,274",제 18 기,2023.01.01 ~ 2023.12.31,"65,375,088,832",제 17 기,2022.01.01 ~ 2022.12.31,"55,528,882,649",25,KRW
20250313001218,11011,2024,00587466,092230,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 19 기,2024.01.01 ~ 2024.12.31,"152,665,293,359",제 18 기,2023.01.01 ~ 2023.12.31,"178,296,902,591",제 17 기,2022.01.01 ~ 2022.12.31,"47,202,821,846",27,KRW
20250313001218,11011,2024,00587466,092230,CFS,연결재무제표,IS,손익계산서,당기순이익,제 19 기,2024.01.01 ~ 2024.12.31,"118,779,477,894",제 18 기,2023.01.01 ~ 2023.12.31,"137,402,456,691",제 17 기,2022.01.01 ~ 2022.12.31,"37,511,313,045",29,KRW
20250313001218,11011,2024,00587466,092230,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 19 기,2024.01.01 ~ 2024.12.31,"118,779,477,894",제 18 기,2023.01.01 ~ 2023.12.31,"137,402,456,691",제 17 기,2022.01.01 ~ 2022.12.31,"37,511,313,045",61,KRW
20250313001218,11011,2024,00587466,092230,CFS,연결재무제표,IS,손익계산서,총포괄손익,제 19 기,2024.01.01 ~ 2024.12.31,"124,790,764,750",제 18 기,2023.01.01 ~ 2023.12.31,"143,075,715,637",제 17 기,2022.01.01 ~ 2022.12.31,"37,648,636,296",63,KRW
