rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250312000405,11011,2024,01515323,373220,CFS,연결재무제표,BS,재무상태표,유동자산,제 5 기,2024.12.31 현재,"15,327,395,000,000",제 4 기,2023.12.31 현재,"17,208,396,000,000",제 3 기,2022.12.31 현재,"18,804,269,000,000",1,KRW
20250312000405,11011,2024,01515323,373220,CFS,연결재무제표,BS,재무상태표,비유동자산,제 5 기,2024.12.31 현재,"44,979,396,000,000",제 4 기,2023.12.31 현재,"28,228,748,000,000",제 3 기,2022.12.31 현재,"19,495,176,000,000",3,KRW
20250312000405,11011,2024,01515323,373220,CFS,연결재무제표,BS,재무상태표,자산총계,제 5 기,2024.12.31 현재,"60,306,791,000,000",제 4 기,2023.12.31 현재,"45,437,144,000,000",제 3 기,2022.12.31 현재,"38,299,445,000,000",5,KRW
20250312000405,11011,2024,01515323,373220,CFS,연결재무제표,BS,재무상태표,유동부채,제 5 기,2024.12.31 현재,"12,054,922,000,000",제 4 기,2023.12.31 현재,"10,937,185,000,000",제 3 기,2022.12.31 현재,"11,444,923,000,000",7,KRW
20250312000405,11011,2024,01515323,373220,CFS,연결재무제표,BS,재무상태표,비유동부채,제 5 기,2024.12.31 현재,"17,285,326,000,000",제 4 기,2023.12.31 현재,"10,126,450,000,000",제 3 기,2022.12.31 현재,"6,260,760,000,000",9,KRW
20250312000405,11011,2024,01515323,373220,CFS,연결재무제표,BS,재무상태표,부채총계,제 5 기,2024.12.31 현재,"29,340,248,000,000",제 4 기,2023.12.31 현재,"21,063,635,000,000",제 3 기,2022.12.31 현재,"17,705,683,000,000",11,KRW
20250312000405,11011,2024,01515323,373220,CFS,연결재무제표,BS,재무상태표,자본금,제 5 기,2024.12.31 현재,"117,000,000,000",제 4 기,2023.12.31 현재,"117,000,000,000",제 3 기,2022.12.31 현재,"117,000,000,000",13,KRW
20250312000405,11011,2024,01515323,373220,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 5 기,2024.12.31 현재,"1,397,211,000,000",제 4 기,2023.12.31 현재,"2,364,496,000,000",제 3 기,2022.12.31 현재,"1,154,518,000,000",17,KRW
20250312000405,11011,2024,01515323,373220,CFS,연결재무제표,BS,재무상태표,자본총계,제 5 기,2024.12.31 현재,"30,966,543,000,000",제 4 기,2023.12.31 현재,"24,373,509,000,000",제 3 기,2022.12.31 현재,"20,593,762,000,000",21,KRW
20250312000405,11011,2024,01515323,373220,CFS,연결재무제표,IS,손익계산서,매출액,제 5 기,2024.01.01 ~ 2024.12.31,"25,619,585,000,000",제 4 기,2023.01.01 ~ 2023.12.31,"33,745,470,000,000",제 3 기,2022.01.01 ~ 2022.12.31,"25,598,609,000,000",23,KRW
