rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20230315000084,11011,2022,00767460,178920,OFS,재무제표,BS,재무상태표,유동자산,제 15 기,2022.12.31 현재,"131,677,920,752",제 14 기,2021.12.31 현재,"196,376,308,245",제 13 기,2020.12.31 현재,"144,032,299,089",2,KRW
20230315000084,11011,2022,00767460,178920,OFS,재무제표,BS,재무상태표,비유동자산,제 15 기,2022.12.31 현재,"367,318,694,965",제 14 기,2021.12.31 현재,"276,583,313,513",제 13 기,2020.12.31 현재,"259,999,159,803",4,KRW
20230315000084,11011,2022,00767460,178920,OFS,재무제표,BS,재무상태표,자산총계,제 15 기,2022.12.31 현재,"498,996,615,717",제 14 기,2021.12.31 현재,"472,959,621,758",제 13 기,2020.12.31 현재,"404,031,458,892",6,KRW
20230315000084,11011,2022,00767460,178920,OFS,재무제표,BS,재무상태표,유동부채,제 15 기,2022.12.31 현재,"64,535,885,197",제 14 기,2021.12.31 현재,"108,648,085,476",제 13 기,2020.12.31 현재,"80,855,078,799",8,KRW
20230315000084,11011,2022,00767460,178920,OFS,재무제표,BS,재무상태표,비유동부채,제 15 기,2022.12.31 현재,"93,007,514,001",제 14 기,2021.12.31 현재,"38,422,600,332",제 13 기,2020.12.31 현재,"40,289,690,736",10,KRW
20230315000084,11011,2022,00767460,178920,OFS,재무제표,BS,재무상태표,부채총계,제 15 기,2022.12.31 현재,"157,543,399,198",제 14 기,2021.12.31 현재,"147,070,685,808",제 13 기,2020.12.31 현재,"121,144,769,535",12,KRW
20230315000084,11011,2022,00767460,178920,OFS,재무제표,BS,재무상태표,자본금,제 15 기,2022.12.31 현재,"14,683,161,000",제 14 기,2021.12.31 현재,"14,683,161,000",제 13 기,2020.12.31 현재,"14,683,161,000",15,KRW
20230315000084,11011,2022,00767460,178920,OFS,재무제표,BS,재무상태표,이익잉여금,제 15 기,2022.12.31 현재,"217,361,233,786",제 14 기,2021.12.31 현재,"201,796,953,217",제 13 기,2020.12.31 현재,"158,794,706,624",19,KRW
20230315000084,11011,2022,00767460,178920,OFS,재무제표,BS,재무상태표,자본총계,제 15 기,2022.12.31 현재,"341,453,216,519",제 14 기,2021.12.31 현재,"325,888,935,950",제 13 기,2020.12.31 현재,"282,886,689,357",22,KRW
20230315000084,11011,2022,00767460,178920,OFS,재무제표,IS,손익계산서,매출액,제 15 기,2022.01.01 ~ 2022.12.31,"276,440,430,491",제 14 기,2021.01.01 ~ 2021.12.31,"301,868,719,484",제 13 기,2020.01.01 ~ 2020.12.31,"261,788,779,258",24,KRW
20230315000084,11011,2022,00767460,178920,OFS,재무제표,IS,손익계산서,영업이익,제 15 기,2022.01.01 ~ 2022.12.31,"52,135,089,760",제 14 기,2021.01.01 ~ 2021.12.31,"75,857,968,702",제 13 기,2020.01.01 ~ 2020.12.31,"60,009,434,293",26,KRW
20230315000084,11011,2022,00767460,178920,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 15 기,2022.01.01 ~ 2022.12.31,"53,978,399,180",제 14 기,2021.01.01 ~ 2021.12.31,"83,314,150,615",제 13 기,2020.01.01 ~ 2020.12.31,"52,741,434,344",28,KRW
20230315000084,11011,2022,00767460,178920,OFS,재무제표,IS,손익계산서,당기순이익,제 15 기,2022.01.01 ~ 2022.12.31,"45,710,485,555",제 14 기,2021.01.01 ~ 2021.12.31,"64,000,019,268",제 13 기,2020.01.01 ~ 2020.12.31,"41,723,872,018",30,KRW
20230315000084,11011,2022,00767460,178920,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 15 기,2022.01.01 ~ 2022.12.31,"45,710,485,555",제 14 기,2021.01.01 ~ 2021.12.31,"64,000,019,268",제 13 기,2020.01.01 ~ 2020.12.31,"41,723,872,018",62,KRW
