rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250318001396,11011,2024,01286476,474610,OFS,재무제표,BS,재무상태표,유동자산,제 25 기,2024.12.31 현재,"49,832,213,315",제 24 기,2023.12.31 현재,"29,776,358,856",제 23 기,2022.12.31 현재,"27,195,494,332",2,KRW
20250318001396,11011,2024,01286476,474610,OFS,재무제표,BS,재무상태표,비유동자산,제 25 기,2024.12.31 현재,"19,058,787,623",제 24 기,2023.12.31 현재,"18,770,520,317",제 23 기,2022.12.31 현재,"18,187,290,829",4,KRW
20250318001396,11011,2024,01286476,474610,OFS,재무제표,BS,재무상태표,자산총계,제 25 기,2024.12.31 현재,"68,891,000,938",제 24 기,2023.12.31 현재,"48,546,879,173",제 23 기,2022.12.31 현재,"45,382,785,161",6,KRW
20250318001396,11011,2024,01286476,474610,OFS,재무제표,BS,재무상태표,유동부채,제 25 기,2024.12.31 현재,"20,975,099,239",제 24 기,2023.12.31 현재,"18,567,858,055",제 23 기,2022.12.31 현재,"19,967,623,883",8,KRW
20250318001396,11011,2024,01286476,474610,OFS,재무제표,BS,재무상태표,비유동부채,제 25 기,2024.12.31 현재,"5,932,323,672",제 24 기,2023.12.31 현재,"3,186,906,029",제 23 기,2022.12.31 현재,"7,631,315,710",10,KRW
20250318001396,11011,2024,01286476,474610,OFS,재무제표,BS,재무상태표,부채총계,제 25 기,2024.12.31 현재,"26,907,422,911",제 24 기,2023.12.31 현재,"21,754,764,084",제 23 기,2022.12.31 현재,"27,598,939,593",12,KRW
20250318001396,11011,2024,01286476,474610,OFS,재무제표,BS,재무상태표,자본금,제 25 기,2024.12.31 현재,"1,258,206,300",제 24 기,2023.12.31 현재,"1,006,810,000",제 23 기,2022.12.31 현재,"861,790,000",15,KRW
20250318001396,11011,2024,01286476,474610,OFS,재무제표,BS,재무상태표,이익잉여금,제 25 기,2024.12.31 현재,"6,162,903,459",제 24 기,2023.12.31 현재,"10,267,675,158",제 23 기,2022.12.31 현재,"6,360,190,963",19,KRW
20250318001396,11011,2024,01286476,474610,OFS,재무제표,BS,재무상태표,자본총계,제 25 기,2024.12.31 현재,"41,983,578,027",제 24 기,2023.12.31 현재,"26,792,115,089",제 23 기,2022.12.31 현재,"17,783,845,568",22,KRW
20250318001396,11011,2024,01286476,474610,OFS,재무제표,IS,손익계산서,매출액,제 25 기,2024.01.01 ~ 2024.12.31,"32,672,118,780",제 24 기,2023.01.01 ~ 2023.12.31,"32,787,110,783",제 23 기,2022.01.01 ~ 2022.12.31,"30,965,806,595",24,KRW
20250318001396,11011,2024,01286476,474610,OFS,재무제표,IS,손익계산서,영업이익,제 25 기,2024.01.01 ~ 2024.12.31,"1,685,721,027",제 24 기,2023.01.01 ~ 2023.12.31,"1,787,123,897",제 23 기,2022.01.01 ~ 2022.12.31,"760,862,252",26,KRW
20250318001396,11011,2024,01286476,474610,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 25 기,2024.01.01 ~ 2024.12.31,"-4,244,802,239",제 24 기,2023.01.01 ~ 2023.12.31,"4,017,141,589",제 23 기,2022.01.01 ~ 2022.12.31,"667,247,997",28,KRW
20250318001396,11011,2024,01286476,474610,OFS,재무제표,IS,손익계산서,당기순이익,제 25 기,2024.01.01 ~ 2024.12.31,"-4,104,771,699",제 24 기,2023.01.01 ~ 2023.12.31,"3,907,484,195",제 23 기,2022.01.01 ~ 2022.12.31,"598,416,705",30,KRW
20250318001396,11011,2024,01286476,474610,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 25 기,2024.01.01 ~ 2024.12.31,"-4,104,771,699",제 24 기,2023.01.01 ~ 2023.12.31,"3,907,484,195",제 23 기,2022.01.01 ~ 2022.12.31,"598,416,705",62,KRW
20250318001396,11011,2024,01286476,474610,OFS,재무제표,IS,손익계산서,총포괄손익,제 25 기,2024.01.01 ~ 2024.12.31,"-4,104,771,699",제 24 기,2023.01.01 ~ 2023.12.31,"3,907,484,195",제 23 기,2022.01.01 ~ 2022.12.31,"598,416,705",64,KRW
