rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20240320000890,11011,2023,00132725,003080,CFS,연결재무제표,BS,재무상태표,유동자산,제 63 기,2023.12.31 현재,"82,853,943,711",제 62 기,2022.12.31 현재,"87,306,335,639",제 61 기,2021.12.31 현재,"90,108,115,517",1,KRW
20240320000890,11011,2023,00132725,003080,CFS,연결재무제표,BS,재무상태표,비유동자산,제 63 기,2023.12.31 현재,"82,773,428,201",제 62 기,2022.12.31 현재,"83,478,951,698",제 61 기,2021.12.31 현재,"82,048,758,752",3,KRW
20240320000890,11011,2023,00132725,003080,CFS,연결재무제표,BS,재무상태표,자산총계,제 63 기,2023.12.31 현재,"165,627,371,912",제 62 기,2022.12.31 현재,"170,785,287,337",제 61 기,2021.12.31 현재,"172,156,874,269",5,KRW
20240320000890,11011,2023,00132725,003080,CFS,연결재무제표,BS,재무상태표,유동부채,제 63 기,2023.12.31 현재,"24,800,605,964",제 62 기,2022.12.31 현재,"24,401,347,807",제 61 기,2021.12.31 현재,"26,951,186,263",7,KRW
20240320000890,11011,2023,00132725,003080,CFS,연결재무제표,BS,재무상태표,비유동부채,제 63 기,2023.12.31 현재,"8,309,684,094",제 62 기,2022.12.31 현재,"8,981,864,289",제 61 기,2021.12.31 현재,"9,473,648,915",9,KRW
20240320000890,11011,2023,00132725,003080,CFS,연결재무제표,BS,재무상태표,부채총계,제 63 기,2023.12.31 현재,"33,110,290,058",제 62 기,2022.12.31 현재,"33,383,212,096",제 61 기,2021.12.31 현재,"36,424,835,178",11,KRW
20240320000890,11011,2023,00132725,003080,CFS,연결재무제표,BS,재무상태표,자본금,제 63 기,2023.12.31 현재,"10,010,000,000",제 62 기,2022.12.31 현재,"10,010,000,000",제 61 기,2021.12.31 현재,"10,010,000,000",13,KRW
20240320000890,11011,2023,00132725,003080,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 63 기,2023.12.31 현재,"81,090,097,720",제 62 기,2022.12.31 현재,"82,467,713,349",제 61 기,2021.12.31 현재,"80,800,974,474",17,KRW
20240320000890,11011,2023,00132725,003080,CFS,연결재무제표,BS,재무상태표,자본총계,제 63 기,2023.12.31 현재,"132,517,081,854",제 62 기,2022.12.31 현재,"137,402,075,241",제 61 기,2021.12.31 현재,"135,732,039,091",21,KRW
20240320000890,11011,2023,00132725,003080,CFS,연결재무제표,IS,손익계산서,매출액,제 63 기,2023.01.01 ~ 2023.12.31,"62,612,439,874",제 62 기,2022.01.01 ~ 2022.12.31,"66,379,257,981",제 61 기,2021.01.01 ~ 2021.12.31,"57,675,736,223",23,KRW
20240320000890,11011,2023,00132725,003080,CFS,연결재무제표,IS,손익계산서,영업이익,제 63 기,2023.01.01 ~ 2023.12.31,"201,041,362",제 62 기,2022.01.01 ~ 2022.12.31,"1,904,947,045",제 61 기,2021.01.01 ~ 2021.12.31,"1,038,402,940",25,KRW
20240320000890,11011,2023,00132725,003080,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 63 기,2023.01.01 ~ 2023.12.31,"1,591,661,431",제 62 기,2022.01.01 ~ 2022.12.31,"2,530,076,201",제 61 기,2021.01.01 ~ 2021.12.31,"1,794,597,045",27,KRW
20240320000890,11011,2023,00132725,003080,CFS,연결재무제표,IS,손익계산서,당기순이익,제 63 기,2023.01.01 ~ 2023.12.31,"1,163,430,847",제 62 기,2022.01.01 ~ 2022.12.31,"3,936,366,206",제 61 기,2021.01.01 ~ 2021.12.31,"1,280,616,310",29,KRW
20240320000890,11011,2023,00132725,003080,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 63 기,2023.01.01 ~ 2023.12.31,"1,163,430,847",제 62 기,2022.01.01 ~ 2022.12.31,"3,936,366,206",제 61 기,2021.01.01 ~ 2021.12.31,"1,280,616,310",61,KRW
20240320000890,11011,2023,00132725,003080,CFS,연결재무제표,IS,손익계산서,총포괄손익,제 63 기,2023.01.01 ~ 2023.12.31,"-1,992,452,567",제 62 기,2022.01.01 ~ 2022.12.31,"4,016,509,479",제 61 기,2021.01.01 ~ 2021.12.31,"534,131,796",63,KRW
20240320000890,11011,2023,00132725,003080,OFS,재무제표,BS,재무상태표,유동자산,제 63 기,2023.12.31 현재,"83,652,651,445",제 62 기,2022.12.31 현재,"86,176,702,329",제 61 기,2021.12.31 현재,"89,355,169,010",2,KRW
20240320000890,11011,2023,00132725,003080,OFS,재무제표,BS,재무상태표,비유동자산,제 63 기,2023.12.31 현재,"82,562,391,630",제 62 기,2022.12.31 현재,"84,025,011,925",제 61 기,2021.12.31 현재,"82,592,151,771",4,KRW
20240320000890,11011,2023,00132725,003080,OFS,재무제표,BS,재무상태표,자산총계,제 63 기,2023.12.31 현재,"166,215,043,075",제 62 기,2022.12.31 현재,"170,201,714,254",제 61 기,2021.12.31 현재,"171,947,320,781",6,KRW
