rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250319001128,11011,2024,00574611,099220,CFS,연결재무제표,BS,재무상태표,유동자산,제 31 기,2024.12.31 현재,"62,137,421,559",제 30 기,2023.12.31 현재,"84,277,625,067",제 29 기,2022.12.31 현재,"82,508,951,988",1,KRW
20250319001128,11011,2024,00574611,099220,CFS,연결재무제표,BS,재무상태표,비유동자산,제 31 기,2024.12.31 현재,"93,456,873,020",제 30 기,2023.12.31 현재,"102,086,336,664",제 29 기,2022.12.31 현재,"95,112,948,347",3,KRW
20250319001128,11011,2024,00574611,099220,CFS,연결재무제표,BS,재무상태표,자산총계,제 31 기,2024.12.31 현재,"155,594,294,579",제 30 기,2023.12.31 현재,"186,363,961,731",제 29 기,2022.12.31 현재,"177,621,900,335",5,KRW
20250319001128,11011,2024,00574611,099220,CFS,연결재무제표,BS,재무상태표,유동부채,제 31 기,2024.12.31 현재,"69,015,832,851",제 30 기,2023.12.31 현재,"55,040,420,146",제 29 기,2022.12.31 현재,"57,252,466,311",7,KRW
20250319001128,11011,2024,00574611,099220,CFS,연결재무제표,BS,재무상태표,비유동부채,제 31 기,2024.12.31 현재,"24,135,668,956",제 30 기,2023.12.31 현재,"38,121,523,143",제 29 기,2022.12.31 현재,"18,205,428,569",9,KRW
20250319001128,11011,2024,00574611,099220,CFS,연결재무제표,BS,재무상태표,부채총계,제 31 기,2024.12.31 현재,"93,151,501,807",제 30 기,2023.12.31 현재,"93,161,943,289",제 29 기,2022.12.31 현재,"75,457,894,880",11,KRW
20250319001128,11011,2024,00574611,099220,CFS,연결재무제표,BS,재무상태표,자본금,제 31 기,2024.12.31 현재,"28,085,905,500",제 30 기,2023.12.31 현재,"28,085,905,500",제 29 기,2022.12.31 현재,"28,085,905,500",13,KRW
20250319001128,11011,2024,00574611,099220,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 31 기,2024.12.31 현재,"-21,362,842,709",제 30 기,2023.12.31 현재,"7,937,059,377",제 29 기,2022.12.31 현재,"16,669,117,539",17,KRW
20250319001128,11011,2024,00574611,099220,CFS,연결재무제표,BS,재무상태표,자본총계,제 31 기,2024.12.31 현재,"62,442,792,772",제 30 기,2023.12.31 현재,"93,202,018,442",제 29 기,2022.12.31 현재,"102,164,005,455",21,KRW
20250319001128,11011,2024,00574611,099220,CFS,연결재무제표,IS,손익계산서,매출액,제 31 기,2024.01.01 ~ 2024.12.31,"84,360,674,220",제 30 기,2023.01.01 ~ 2023.12.31,"75,692,041,591",제 29 기,2022.01.01 ~ 2022.12.31,"104,471,108,041",23,KRW
20250319001128,11011,2024,00574611,099220,CFS,연결재무제표,IS,손익계산서,영업이익,제 31 기,2024.01.01 ~ 2024.12.31,"-6,504,940,998",제 30 기,2023.01.01 ~ 2023.12.31,"-7,646,386,868",제 29 기,2022.01.01 ~ 2022.12.31,"281,747,384",25,KRW
20250319001128,11011,2024,00574611,099220,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 31 기,2024.01.01 ~ 2024.12.31,"-28,449,326,567",제 30 기,2023.01.01 ~ 2023.12.31,"-11,591,127,024",제 29 기,2022.01.01 ~ 2022.12.31,"2,922,593,043",27,KRW
20250319001128,11011,2024,00574611,099220,CFS,연결재무제표,IS,손익계산서,당기순이익,제 31 기,2024.01.01 ~ 2024.12.31,"-28,472,977,351",제 30 기,2023.01.01 ~ 2023.12.31,"-8,692,189,897",제 29 기,2022.01.01 ~ 2022.12.31,"760,743,530",29,KRW
20250319001128,11011,2024,00574611,099220,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 31 기,2024.01.01 ~ 2024.12.31,"-28,472,977,351",제 30 기,2023.01.01 ~ 2023.12.31,"-8,692,189,897",제 29 기,2022.01.01 ~ 2022.12.31,"760,743,530",61,KRW
