rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250328001694,11011,2024,00138260,009160,CFS,연결재무제표,BS,재무상태표,유동자산,제 52 기,2024.12.31 현재,"584,417,406,000",제 51 기,2023.12.31 현재,"643,820,011,000",제 50 기,2022.12.31 현재,"576,766,848,000",1,KRW
20250328001694,11011,2024,00138260,009160,CFS,연결재무제표,BS,재무상태표,비유동자산,제 52 기,2024.12.31 현재,"495,187,282,000",제 51 기,2023.12.31 현재,"414,093,459,000",제 50 기,2022.12.31 현재,"388,331,591,000",3,KRW
20250328001694,11011,2024,00138260,009160,CFS,연결재무제표,BS,재무상태표,자산총계,제 52 기,2024.12.31 현재,"1,079,604,688,000",제 51 기,2023.12.31 현재,"1,057,913,470,000",제 50 기,2022.12.31 현재,"965,098,439,000",5,KRW
20250328001694,11011,2024,00138260,009160,CFS,연결재무제표,BS,재무상태표,유동부채,제 52 기,2024.12.31 현재,"437,888,404,000",제 51 기,2023.12.31 현재,"453,802,895,000",제 50 기,2022.12.31 현재,"339,349,817,000",7,KRW
20250328001694,11011,2024,00138260,009160,CFS,연결재무제표,BS,재무상태표,비유동부채,제 52 기,2024.12.31 현재,"36,460,162,000",제 51 기,2023.12.31 현재,"21,532,163,000",제 50 기,2022.12.31 현재,"26,065,865,000",9,KRW
20250328001694,11011,2024,00138260,009160,CFS,연결재무제표,BS,재무상태표,부채총계,제 52 기,2024.12.31 현재,"474,348,566,000",제 51 기,2023.12.31 현재,"475,335,058,000",제 50 기,2022.12.31 현재,"365,415,682,000",11,KRW
20250328001694,11011,2024,00138260,009160,CFS,연결재무제표,BS,재무상태표,자본금,제 52 기,2024.12.31 현재,"32,714,758,000",제 51 기,2023.12.31 현재,"32,714,758,000",제 50 기,2022.12.31 현재,"32,714,758,000",13,KRW
20250328001694,11011,2024,00138260,009160,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 52 기,2024.12.31 현재,"467,470,280,000",제 51 기,2023.12.31 현재,"445,490,001,000",제 50 기,2022.12.31 현재,"462,807,758,000",17,KRW
20250328001694,11011,2024,00138260,009160,CFS,연결재무제표,BS,재무상태표,자본총계,제 52 기,2024.12.31 현재,"605,256,122,000",제 51 기,2023.12.31 현재,"582,578,412,000",제 50 기,2022.12.31 현재,"599,682,757,000",21,KRW
20250328001694,11011,2024,00138260,009160,CFS,연결재무제표,IS,손익계산서,매출액,제 52 기,2024.01.01 ~ 2024.12.31,"785,061,758,000",제 51 기,2023.01.01 ~ 2023.12.31,"609,449,638,000",제 50 기,2022.01.01 ~ 2022.12.31,"672,228,713,000",23,KRW
20250328001694,11011,2024,00138260,009160,CFS,연결재무제표,IS,손익계산서,영업이익,제 52 기,2024.01.01 ~ 2024.12.31,"24,452,879,000",제 51 기,2023.01.01 ~ 2023.12.31,"17,502,288,000",제 50 기,2022.01.01 ~ 2022.12.31,"118,946,231,000",25,KRW
20250328001694,11011,2024,00138260,009160,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 52 기,2024.01.01 ~ 2024.12.31,"37,950,882,000",제 51 기,2023.01.01 ~ 2023.12.31,"-6,415,435,000",제 50 기,2022.01.01 ~ 2022.12.31,"95,618,434,000",27,KRW
20250328001694,11011,2024,00138260,009160,CFS,연결재무제표,IS,손익계산서,당기순이익,제 52 기,2024.01.01 ~ 2024.12.31,"27,454,726,000",제 51 기,2023.01.01 ~ 2023.12.31,"-6,463,854,000",제 50 기,2022.01.01 ~ 2022.12.31,"76,137,344,000",29,KRW
20250328001694,11011,2024,00138260,009160,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 52 기,2024.01.01 ~ 2024.12.31,"27,454,726,000",제 51 기,2023.01.01 ~ 2023.12.31,"-6,463,854,000",제 50 기,2022.01.01 ~ 2022.12.31,"76,137,344,000",61,KRW
20250328001694,11011,2024,00138260,009160,CFS,연결재무제표,IS,손익계산서,총포괄손익,제 52 기,2024.01.01 ~ 2024.12.31,"28,104,662,000",제 51 기,2023.01.01 ~ 2023.12.31,"-6,266,053,000",제 50 기,2022.01.01 ~ 2022.12.31,"75,826,430,000",63,KRW
20250328001694,11011,2024,00138260,009160,OFS,재무제표,BS,재무상태표,유동자산,제 52 기,2024.12.31 현재,"421,345,267,000",제 51 기,2023.12.31 현재,"496,138,790,000",제 50 기,2022.12.31 현재,"391,601,116,000",2,KRW
20250328001694,11011,2024,00138260,009160,OFS,재무제표,BS,재무상태표,비유동자산,제 52 기,2024.12.31 현재,"478,024,827,000",제 51 기,2023.12.31 현재,"384,362,162,000",제 50 기,2022.12.31 현재,"392,408,939,000",4,KRW
20250328001694,11011,2024,00138260,009160,OFS,재무제표,BS,재무상태표,자산총계,제 52 기,2024.12.31 현재,"899,370,094,000",제 51 기,2023.12.31 현재,"880,500,952,000",제 50 기,2022.12.31 현재,"784,010,055,000",6,KRW
20250328001694,11011,2024,00138260,009160,OFS,재무제표,BS,재무상태표,유동부채,제 52 기,2024.12.31 현재,"340,884,821,000",제 51 기,2023.12.31 현재,"350,770,432,000",제 50 기,2022.12.31 현재,"257,498,660,000",8,KRW
