rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250317000694,11011,2024,00185046,048550,CFS,연결재무제표,BS,재무상태표,유동자산,제 45 기,2024.12.31 현재,"198,556,138,228",제 44 기,2023.12.31 현재,"252,919,654,241",제 43 기,2022.12.31 현재,"250,660,528,634",1,KRW
20250317000694,11011,2024,00185046,048550,CFS,연결재무제표,BS,재무상태표,비유동자산,제 45 기,2024.12.31 현재,"34,775,836,658",제 44 기,2023.12.31 현재,"66,753,593,507",제 43 기,2022.12.31 현재,"82,679,976,518",3,KRW
20250317000694,11011,2024,00185046,048550,CFS,연결재무제표,BS,재무상태표,자산총계,제 45 기,2024.12.31 현재,"233,331,974,886",제 44 기,2023.12.31 현재,"319,673,247,748",제 43 기,2022.12.31 현재,"333,340,505,152",5,KRW
20250317000694,11011,2024,00185046,048550,CFS,연결재무제표,BS,재무상태표,유동부채,제 45 기,2024.12.31 현재,"138,441,286,006",제 44 기,2023.12.31 현재,"208,623,440,278",제 43 기,2022.12.31 현재,"213,177,980,162",7,KRW
20250317000694,11011,2024,00185046,048550,CFS,연결재무제표,BS,재무상태표,비유동부채,제 45 기,2024.12.31 현재,"11,550,329,614",제 44 기,2023.12.31 현재,"12,858,511,428",제 43 기,2022.12.31 현재,"13,593,503,059",9,KRW
20250317000694,11011,2024,00185046,048550,CFS,연결재무제표,BS,재무상태표,부채총계,제 45 기,2024.12.31 현재,"149,991,615,620",제 44 기,2023.12.31 현재,"221,481,951,706",제 43 기,2022.12.31 현재,"226,771,483,221",11,KRW
20250317000694,11011,2024,00185046,048550,CFS,연결재무제표,BS,재무상태표,자본금,제 45 기,2024.12.31 현재,"48,357,310,000",제 44 기,2023.12.31 현재,"48,353,310,000",제 43 기,2022.12.31 현재,"47,812,560,000",13,KRW
20250317000694,11011,2024,00185046,048550,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 45 기,2024.12.31 현재,"-81,266,728,310",제 44 기,2023.12.31 현재,"-66,446,790,378",제 43 기,2022.12.31 현재,"-55,853,459,275",17,KRW
20250317000694,11011,2024,00185046,048550,CFS,연결재무제표,BS,재무상태표,자본총계,제 45 기,2024.12.31 현재,"83,340,359,266",제 44 기,2023.12.31 현재,"98,191,296,042",제 43 기,2022.12.31 현재,"106,569,021,931",21,KRW
20250317000694,11011,2024,00185046,048550,CFS,연결재무제표,IS,손익계산서,매출액,제 45 기,2024.01.01 ~ 2024.12.31,"109,940,386,684",제 44 기,2023.01.01 ~ 2023.12.31,"127,310,867,881",제 43 기,2022.01.01 ~ 2022.12.31,"157,913,247,222",23,KRW
20250317000694,11011,2024,00185046,048550,CFS,연결재무제표,IS,손익계산서,영업이익,제 45 기,2024.01.01 ~ 2024.12.31,"1,585,436,954",제 44 기,2023.01.01 ~ 2023.12.31,"2,085,732,506",제 43 기,2022.01.01 ~ 2022.12.31,"2,004,857,058",25,KRW
20250317000694,11011,2024,00185046,048550,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 45 기,2024.01.01 ~ 2024.12.31,"-13,468,134,930",제 44 기,2023.01.01 ~ 2023.12.31,"-8,357,403,935",제 43 기,2022.01.01 ~ 2022.12.31,"6,195,206,207",27,KRW
20250317000694,11011,2024,00185046,048550,CFS,연결재무제표,IS,손익계산서,당기순이익,제 45 기,2024.01.01 ~ 2024.12.31,"-14,192,685,943",제 44 기,2023.01.01 ~ 2023.12.31,"-9,915,368,209",제 43 기,2022.01.01 ~ 2022.12.31,"5,328,118,277",29,KRW
20250317000694,11011,2024,00185046,048550,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 45 기,2024.01.01 ~ 2024.12.31,"-14,192,685,943",제 44 기,2023.01.01 ~ 2023.12.31,"-9,915,368,209",제 43 기,2022.01.01 ~ 2022.12.31,"5,328,118,277",61,KRW
