rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250321001205,11011,2024,00132211,002820,CFS,연결재무제표,BS,재무상태표,유동자산,제 67 기,2024.12.31 현재,"133,411,086,490",제 66 기,2023.12.31 현재,"183,637,309,706",제 65 기,2022.12.31 현재,"231,592,368,174",1,KRW
20250321001205,11011,2024,00132211,002820,CFS,연결재무제표,BS,재무상태표,비유동자산,제 67 기,2024.12.31 현재,"369,370,200,548",제 66 기,2023.12.31 현재,"364,463,337,546",제 65 기,2022.12.31 현재,"292,841,951,530",3,KRW
20250321001205,11011,2024,00132211,002820,CFS,연결재무제표,BS,재무상태표,자산총계,제 67 기,2024.12.31 현재,"502,781,287,038",제 66 기,2023.12.31 현재,"628,100,647,252",제 65 기,2022.12.31 현재,"524,434,319,704",5,KRW
20250321001205,11011,2024,00132211,002820,CFS,연결재무제표,BS,재무상태표,유동부채,제 67 기,2024.12.31 현재,"248,998,953,121",제 66 기,2023.12.31 현재,"343,191,449,807",제 65 기,2022.12.31 현재,"278,933,732,249",7,KRW
20250321001205,11011,2024,00132211,002820,CFS,연결재무제표,BS,재무상태표,비유동부채,제 67 기,2024.12.31 현재,"28,691,658,674",제 66 기,2023.12.31 현재,"53,520,256,218",제 65 기,2022.12.31 현재,"95,054,450,039",9,KRW
20250321001205,11011,2024,00132211,002820,CFS,연결재무제표,BS,재무상태표,부채총계,제 67 기,2024.12.31 현재,"277,690,611,795",제 66 기,2023.12.31 현재,"396,711,706,025",제 65 기,2022.12.31 현재,"373,988,182,288",11,KRW
20250321001205,11011,2024,00132211,002820,CFS,연결재무제표,BS,재무상태표,자본금,제 67 기,2024.12.31 현재,"12,607,989,000",제 66 기,2023.12.31 현재,"12,607,989,000",제 65 기,2022.12.31 현재,"12,607,989,000",13,KRW
20250321001205,11011,2024,00132211,002820,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 67 기,2024.12.31 현재,"-78,436,930,379",제 66 기,2023.12.31 현재,"-129,751,536,316",제 65 기,2022.12.31 현재,"32,686,124,229",17,KRW
20250321001205,11011,2024,00132211,002820,CFS,연결재무제표,BS,재무상태표,자본총계,제 67 기,2024.12.31 현재,"225,090,675,243",제 66 기,2023.12.31 현재,"231,388,941,227",제 65 기,2022.12.31 현재,"150,446,137,416",21,KRW
20250321001205,11011,2024,00132211,002820,CFS,연결재무제표,IS,손익계산서,매출액,제 67 기,2024.01.01 ~ 2024.12.31,"339,342,203,215",제 66 기,2023.01.01 ~ 2023.12.31,"441,061,876,743",제 65 기,2022.01.01 ~ 2022.12.31,"506,691,214,360",23,KRW
20250321001205,11011,2024,00132211,002820,CFS,연결재무제표,IS,손익계산서,영업이익,제 67 기,2024.01.01 ~ 2024.12.31,"-5,864,106,894",제 66 기,2023.01.01 ~ 2023.12.31,"-30,185,394,857",제 65 기,2022.01.01 ~ 2022.12.31,"-17,708,726,754",25,KRW
20250321001205,11011,2024,00132211,002820,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 67 기,2024.01.01 ~ 2024.12.31,"-8,556,009,629",제 66 기,2023.01.01 ~ 2023.12.31,"-203,285,460,014",제 65 기,2022.01.01 ~ 2022.12.31,"-17,208,554,984",27,KRW
20250321001205,11011,2024,00132211,002820,CFS,연결재무제표,IS,손익계산서,당기순이익,제 67 기,2024.01.01 ~ 2024.12.31,"-10,573,710,008",제 66 기,2023.01.01 ~ 2023.12.31,"-159,209,216,493",제 65 기,2022.01.01 ~ 2022.12.31,"-19,156,598,108",29,KRW
20250321001205,11011,2024,00132211,002820,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 67 기,2024.01.01 ~ 2024.12.31,"-10,573,710,008",제 66 기,2023.01.01 ~ 2023.12.31,"-159,209,216,493",제 65 기,2022.01.01 ~ 2022.12.31,"-19,156,598,108",61,KRW
20250321001205,11011,2024,00132211,002820,CFS,연결재무제표,IS,손익계산서,총포괄손익,제 67 기,2024.01.01 ~ 2024.12.31,"-7,433,390,043",제 66 기,2023.01.01 ~ 2023.12.31,"81,700,986,487",제 65 기,2022.01.01 ~ 2022.12.31,"-16,890,321,964",63,KRW
20250321001205,11011,2024,00132211,002820,OFS,재무제표,BS,재무상태표,유동자산,제 67 기,2024.12.31 현재,"55,263,417,875",제 66 기,2023.12.31 현재,"102,226,379,300",제 65 기,2022.12.31 현재,"144,026,586,282",2,KRW
20250321001205,11011,2024,00132211,002820,OFS,재무제표,BS,재무상태표,비유동자산,제 67 기,2024.12.31 현재,"379,679,929,351",제 66 기,2023.12.31 현재,"390,399,211,301",제 65 기,2022.12.31 현재,"335,144,171,218",4,KRW
20250321001205,11011,2024,00132211,002820,OFS,재무제표,BS,재무상태표,자산총계,제 67 기,2024.12.31 현재,"434,943,347,226",제 66 기,2023.12.31 현재,"492,625,590,601",제 65 기,2022.12.31 현재,"479,170,757,500",6,KRW
20250321001205,11011,2024,00132211,002820,OFS,재무제표,BS,재무상태표,유동부채,제 67 기,2024.12.31 현재,"198,183,215,972",제 66 기,2023.12.31 현재,"222,270,220,475",제 65 기,2022.12.31 현재,"180,434,936,353",8,KRW
20250321001205,11011,2024,00132211,002820,OFS,재무제표,BS,재무상태표,비유동부채,제 67 기,2024.12.31 현재,"17,675,322,195",제 66 기,2023.12.31 현재,"42,083,952,554",제 65 기,2022.12.31 현재,"81,585,650,551",10,KRW
20250321001205,11011,2024,00132211,002820,OFS,재무제표,BS,재무상태표,부채총계,제 67 기,2024.12.31 현재,"215,858,538,167",제 66 기,2023.12.31 현재,"264,354,173,029",제 65 기,2022.12.31 현재,"262,020,586,904",12,KRW
20250321001205,11011,2024,00132211,002820,OFS,재무제표,BS,재무상태표,자본금,제 67 기,2024.12.31 현재,"12,607,989,000",제 66 기,2023.12.31 현재,"12,607,989,000",제 65 기,2022.12.31 현재,"12,607,989,000",15,KRW
20250321001205,11011,2024,00132211,002820,OFS,재무제표,BS,재무상태표,이익잉여금,제 67 기,2024.12.31 현재,"-94,706,612,984",제 66 기,2023.12.31 현재,"-94,022,720,477",제 65 기,2022.12.31 현재,"74,905,643,582",19,KRW
20250321001205,11011,2024,00132211,002820,OFS,재무제표,BS,재무상태표,자본총계,제 67 기,2024.12.31 현재,"219,084,809,059",제 66 기,2023.12.31 현재,"228,271,417,572",제 65 기,2022.12.31 현재,"217,150,170,596",22,KRW
20250321001205,11011,2024,00132211,002820,OFS,재무제표,IS,손익계산서,매출액,제 67 기,2024.01.01 ~ 2024.12.31,"137,419,849,929",제 66 기,2023.01.01 ~ 2023.12.31,"243,049,618,205",제 65 기,2022.01.01 ~ 2022.12.31,"312,133,745,736",24,KRW
20250321001205,11011,2024,00132211,002820,OFS,재무제표,IS,손익계산서,영업이익,제 67 기,2024.01.01 ~ 2024.12.31,"-6,683,054,748",제 66 기,2023.01.01 ~ 2023.12.31,"-28,597,582,903",제 65 기,2022.01.01 ~ 2022.12.31,"-5,536,320,640",26,KRW
20250321001205,11011,2024,00132211,002820,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 67 기,2024.01.01 ~ 2024.12.31,"-10,488,008,923",제 66 기,2023.01.01 ~ 2023.12.31,"-207,358,409,605",제 65 기,2022.01.01 ~ 2022.12.31,"702,575,247",28,KRW
20250321001205,11011,2024,00132211,002820,OFS,재무제표,IS,손익계산서,당기순이익,제 67 기,2024.01.01 ~ 2024.12.31,"-8,144,075,044",제 66 기,2023.01.01 ~ 2023.12.31,"-167,831,081,878",제 65 기,2022.01.01 ~ 2022.12.31,"-713,011,702",30,KRW
