rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250320000299,11011,2024,00104768,000500,CFS,연결재무제표,BS,재무상태표,유동자산,제 77 기,2024.12.31 현재,"654,804,752,000",제 76 기,2023.12.31 현재,"545,333,237,000",제 75 기,2022.12.31 현재,"491,767,370,000",1,KRW
20250320000299,11011,2024,00104768,000500,CFS,연결재무제표,BS,재무상태표,비유동자산,제 77 기,2024.12.31 현재,"388,079,674,000",제 76 기,2023.12.31 현재,"256,472,295,000",제 75 기,2022.12.31 현재,"260,565,075,000",3,KRW
20250320000299,11011,2024,00104768,000500,CFS,연결재무제표,BS,재무상태표,자산총계,제 77 기,2024.12.31 현재,"1,042,884,426,000",제 76 기,2023.12.31 현재,"801,805,532,000",제 75 기,2022.12.31 현재,"752,332,445,000",5,KRW
20250320000299,11011,2024,00104768,000500,CFS,연결재무제표,BS,재무상태표,유동부채,제 77 기,2024.12.31 현재,"518,334,366,000",제 76 기,2023.12.31 현재,"376,758,134,000",제 75 기,2022.12.31 현재,"319,323,694,000",7,KRW
20250320000299,11011,2024,00104768,000500,CFS,연결재무제표,BS,재무상태표,비유동부채,제 77 기,2024.12.31 현재,"70,845,017,000",제 76 기,2023.12.31 현재,"94,035,955,000",제 75 기,2022.12.31 현재,"129,938,195,000",9,KRW
20250320000299,11011,2024,00104768,000500,CFS,연결재무제표,BS,재무상태표,부채총계,제 77 기,2024.12.31 현재,"589,179,383,000",제 76 기,2023.12.31 현재,"470,794,089,000",제 75 기,2022.12.31 현재,"449,261,889,000",11,KRW
20250320000299,11011,2024,00104768,000500,CFS,연결재무제표,BS,재무상태표,자본금,제 77 기,2024.12.31 현재,"49,291,895,000",제 76 기,2023.12.31 현재,"36,789,730,000",제 75 기,2022.12.31 현재,"31,794,630,000",13,KRW
20250320000299,11011,2024,00104768,000500,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 77 기,2024.12.31 현재,"279,089,145,000",제 76 기,2023.12.31 현재,"255,284,071,000",제 75 기,2022.12.31 현재,"240,157,354,000",17,KRW
20250320000299,11011,2024,00104768,000500,CFS,연결재무제표,BS,재무상태표,자본총계,제 77 기,2024.12.31 현재,"453,705,043,000",제 76 기,2023.12.31 현재,"331,011,443,000",제 75 기,2022.12.31 현재,"303,070,556,000",21,KRW
20250320000299,11011,2024,00104768,000500,CFS,연결재무제표,IS,손익계산서,매출액,제 77 기,2024.01.01 ~ 2024.12.31,"1,727,103,680,000",제 76 기,2023.01.01 ~ 2023.12.31,"1,498,606,544,000",제 75 기,2022.01.01 ~ 2022.12.31,"1,416,454,404,000",23,KRW
20250320000299,11011,2024,00104768,000500,CFS,연결재무제표,IS,손익계산서,영업이익,제 77 기,2024.01.01 ~ 2024.12.31,"45,011,778,000",제 76 기,2023.01.01 ~ 2023.12.31,"43,720,039,000",제 75 기,2022.01.01 ~ 2022.12.31,"28,462,569,000",25,KRW
20250320000299,11011,2024,00104768,000500,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 77 기,2024.01.01 ~ 2024.12.31,"35,556,012,000",제 76 기,2023.01.01 ~ 2023.12.31,"28,393,054,000",제 75 기,2022.01.01 ~ 2022.12.31,"13,296,875,000",27,KRW
20250320000299,11011,2024,00104768,000500,CFS,연결재무제표,IS,손익계산서,당기순이익,제 77 기,2024.01.01 ~ 2024.12.31,"25,355,195,000",제 76 기,2023.01.01 ~ 2023.12.31,"17,898,342,000",제 75 기,2022.01.01 ~ 2022.12.31,"10,463,889,000",29,KRW
20250320000299,11011,2024,00104768,000500,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 77 기,2024.01.01 ~ 2024.12.31,"25,355,195,000",제 76 기,2023.01.01 ~ 2023.12.31,"17,898,342,000",제 75 기,2022.01.01 ~ 2022.12.31,"10,463,889,000",61,KRW
20250320000299,11011,2024,00104768,000500,CFS,연결재무제표,IS,손익계산서,총포괄손익,제 77 기,2024.01.01 ~ 2024.12.31,"63,443,781,000",제 76 기,2023.01.01 ~ 2023.12.31,"15,460,780,000",제 75 기,2022.01.01 ~ 2022.12.31,"13,390,877,000",63,KRW
