rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20240320000197,11011,2023,00101628,000050,CFS,연결재무제표,BS,재무상태표,유동자산,제 139 기,2023.12.31 현재,"147,155,592,912",제 138 기,2022.12.31 현재,"149,882,373,163",제 137 기,2021.12.31 현재,"125,501,061,907",1,KRW
20240320000197,11011,2023,00101628,000050,CFS,연결재무제표,BS,재무상태표,비유동자산,제 139 기,2023.12.31 현재,"1,059,705,358,028",제 138 기,2022.12.31 현재,"1,098,435,940,372",제 137 기,2021.12.31 현재,"1,145,304,056,322",3,KRW
20240320000197,11011,2023,00101628,000050,CFS,연결재무제표,BS,재무상태표,자산총계,제 139 기,2023.12.31 현재,"1,206,860,950,940",제 138 기,2022.12.31 현재,"1,248,318,313,535",제 137 기,2021.12.31 현재,"1,270,805,118,229",5,KRW
20240320000197,11011,2023,00101628,000050,CFS,연결재무제표,BS,재무상태표,유동부채,제 139 기,2023.12.31 현재,"284,315,938,413",제 138 기,2022.12.31 현재,"199,537,522,037",제 137 기,2021.12.31 현재,"230,716,413,570",7,KRW
20240320000197,11011,2023,00101628,000050,CFS,연결재무제표,BS,재무상태표,비유동부채,제 139 기,2023.12.31 현재,"184,499,468,592",제 138 기,2022.12.31 현재,"293,772,332,141",제 137 기,2021.12.31 현재,"287,942,284,597",9,KRW
20240320000197,11011,2023,00101628,000050,CFS,연결재무제표,BS,재무상태표,부채총계,제 139 기,2023.12.31 현재,"468,815,407,005",제 138 기,2022.12.31 현재,"493,309,854,178",제 137 기,2021.12.31 현재,"518,658,698,167",11,KRW
20240320000197,11011,2023,00101628,000050,CFS,연결재무제표,BS,재무상태표,자본금,제 139 기,2023.12.31 현재,"13,707,635,000",제 138 기,2022.12.31 현재,"13,707,635,000",제 137 기,2021.12.31 현재,"13,707,635,000",13,KRW
20240320000197,11011,2023,00101628,000050,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 139 기,2023.12.31 현재,"755,673,053,675",제 138 기,2022.12.31 현재,"772,242,870,662",제 137 기,2021.12.31 현재,"770,958,449,957",17,KRW
20240320000197,11011,2023,00101628,000050,CFS,연결재무제표,BS,재무상태표,자본총계,제 139 기,2023.12.31 현재,"738,045,543,935",제 138 기,2022.12.31 현재,"755,008,459,357",제 137 기,2021.12.31 현재,"752,146,420,062",21,KRW
20240320000197,11011,2023,00101628,000050,CFS,연결재무제표,IS,손익계산서,매출액,제 139 기,2023.01.01 ~ 2023.12.31,"393,518,958,996",제 138 기,2022.01.01 ~ 2022.12.31,"389,227,582,838",제 137 기,2021.01.01 ~ 2021.12.31,"383,357,144,805",23,KRW
20240320000197,11011,2023,00101628,000050,CFS,연결재무제표,IS,손익계산서,영업이익,제 139 기,2023.01.01 ~ 2023.12.31,"15,968,826,403",제 138 기,2022.01.01 ~ 2022.12.31,"31,895,306,272",제 137 기,2021.01.01 ~ 2021.12.31,"53,796,815,200",25,KRW
20240320000197,11011,2023,00101628,000050,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 139 기,2023.01.01 ~ 2023.12.31,"-2,573,932,228",제 138 기,2022.01.01 ~ 2022.12.31,"1,648,315,655",제 137 기,2021.01.01 ~ 2021.12.31,"31,144,150,126",27,KRW
20240320000197,11011,2023,00101628,000050,CFS,연결재무제표,IS,손익계산서,당기순이익,제 139 기,2023.01.01 ~ 2023.12.31,"-13,452,219,151",제 138 기,2022.01.01 ~ 2022.12.31,"4,415,249,761",제 137 기,2021.01.01 ~ 2021.12.31,"22,281,879,937",29,KRW
20240320000197,11011,2023,00101628,000050,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 139 기,2023.01.01 ~ 2023.12.31,"-13,452,219,151",제 138 기,2022.01.01 ~ 2022.12.31,"4,415,249,761",제 137 기,2021.01.01 ~ 2021.12.31,"22,281,879,937",61,KRW
20240320000197,11011,2023,00101628,000050,CFS,연결재무제표,IS,손익계산서,총포괄손익,제 139 기,2023.01.01 ~ 2023.12.31,"-13,848,506,672",제 138 기,2022.01.01 ~ 2022.12.31,"7,738,267,195",제 137 기,2021.01.01 ~ 2021.12.31,"26,779,161,215",63,KRW
