rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20240314001432,11011,2023,00102113,012610,CFS,연결재무제표,BS,재무상태표,유동자산,제 47 기,2023.12.31 현재,"262,302,066,636",제 46 기,2022.12.31 현재,"263,604,207,552",제 45 기,2021.12.31 현재,"325,579,208,757",1,KRW
20240314001432,11011,2023,00102113,012610,CFS,연결재무제표,BS,재무상태표,비유동자산,제 47 기,2023.12.31 현재,"276,653,905,792",제 46 기,2022.12.31 현재,"284,648,791,511",제 45 기,2021.12.31 현재,"253,913,256,341",3,KRW
20240314001432,11011,2023,00102113,012610,CFS,연결재무제표,BS,재무상태표,자산총계,제 47 기,2023.12.31 현재,"538,955,972,428",제 46 기,2022.12.31 현재,"548,252,999,063",제 45 기,2021.12.31 현재,"579,492,465,098",5,KRW
20240314001432,11011,2023,00102113,012610,CFS,연결재무제표,BS,재무상태표,유동부채,제 47 기,2023.12.31 현재,"234,716,376,014",제 46 기,2022.12.31 현재,"214,042,008,855",제 45 기,2021.12.31 현재,"269,212,053,516",7,KRW
20240314001432,11011,2023,00102113,012610,CFS,연결재무제표,BS,재무상태표,비유동부채,제 47 기,2023.12.31 현재,"52,546,291,567",제 46 기,2022.12.31 현재,"68,056,486,852",제 45 기,2021.12.31 현재,"58,410,496,832",9,KRW
20240314001432,11011,2023,00102113,012610,CFS,연결재무제표,BS,재무상태표,부채총계,제 47 기,2023.12.31 현재,"287,262,667,581",제 46 기,2022.12.31 현재,"282,098,495,707",제 45 기,2021.12.31 현재,"327,622,550,348",11,KRW
20240314001432,11011,2023,00102113,012610,CFS,연결재무제표,BS,재무상태표,자본금,제 47 기,2023.12.31 현재,"20,808,182,500",제 46 기,2022.12.31 현재,"20,808,182,500",제 45 기,2021.12.31 현재,"20,788,182,500",13,KRW
20240314001432,11011,2023,00102113,012610,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 47 기,2023.12.31 현재,"169,425,736,829",제 46 기,2022.12.31 현재,"182,849,513,805",제 45 기,2021.12.31 현재,"170,037,724,801",17,KRW
20240314001432,11011,2023,00102113,012610,CFS,연결재무제표,BS,재무상태표,자본총계,제 47 기,2023.12.31 현재,"251,693,304,847",제 46 기,2022.12.31 현재,"266,154,503,356",제 45 기,2021.12.31 현재,"251,869,914,750",21,KRW
20240314001432,11011,2023,00102113,012610,CFS,연결재무제표,IS,손익계산서,매출액,제 47 기,2023.01.01 ~ 2023.12.31,"345,408,240,080",제 46 기,2022.01.01 ~ 2022.12.31,"402,637,341,238",제 45 기,2021.01.01 ~ 2021.12.31,"403,325,658,612",23,KRW
20240314001432,11011,2023,00102113,012610,CFS,연결재무제표,IS,손익계산서,영업이익,제 47 기,2023.01.01 ~ 2023.12.31,"-2,247,161,467",제 46 기,2022.01.01 ~ 2022.12.31,"28,060,459,106",제 45 기,2021.01.01 ~ 2021.12.31,"28,354,678,017",25,KRW
20240314001432,11011,2023,00102113,012610,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 47 기,2023.01.01 ~ 2023.12.31,"-19,140,115,518",제 46 기,2022.01.01 ~ 2022.12.31,"24,223,836,860",제 45 기,2021.01.01 ~ 2021.12.31,"32,231,103,061",27,KRW
20240314001432,11011,2023,00102113,012610,CFS,연결재무제표,IS,손익계산서,당기순이익,제 47 기,2023.01.01 ~ 2023.12.31,"-9,742,504,993",제 46 기,2022.01.01 ~ 2022.12.31,"17,240,723,264",제 45 기,2021.01.01 ~ 2021.12.31,"27,210,074,941",29,KRW
20240314001432,11011,2023,00102113,012610,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 47 기,2023.01.01 ~ 2023.12.31,"-9,742,504,993",제 46 기,2022.01.01 ~ 2022.12.31,"17,240,723,264",제 45 기,2021.01.01 ~ 2021.12.31,"27,210,074,941",61,KRW
20240314001432,11011,2023,00102113,012610,CFS,연결재무제표,IS,손익계산서,총포괄손익,제 47 기,2023.01.01 ~ 2023.12.31,"-11,669,092,453",제 46 기,2022.01.01 ~ 2022.12.31,"16,642,939,043",제 45 기,2021.01.01 ~ 2021.12.31,"25,207,028,630",63,KRW
20240314001432,11011,2023,00102113,012610,OFS,재무제표,BS,재무상태표,유동자산,제 47 기,2023.12.31 현재,"171,817,318,163",제 46 기,2022.12.31 현재,"166,951,935,030",제 45 기,2021.12.31 현재,"234,748,519,987",2,KRW
20240314001432,11011,2023,00102113,012610,OFS,재무제표,BS,재무상태표,비유동자산,제 47 기,2023.12.31 현재,"206,858,520,013",제 46 기,2022.12.31 현재,"230,759,578,442",제 45 기,2021.12.31 현재,"227,365,610,108",4,KRW
20240314001432,11011,2023,00102113,012610,OFS,재무제표,BS,재무상태표,자산총계,제 47 기,2023.12.31 현재,"378,675,838,176",제 46 기,2022.12.31 현재,"397,711,513,472",제 45 기,2021.12.31 현재,"462,114,130,095",6,KRW
20240314001432,11011,2023,00102113,012610,OFS,재무제표,BS,재무상태표,유동부채,제 47 기,2023.12.31 현재,"168,010,952,619",제 46 기,2022.12.31 현재,"160,954,449,240",제 45 기,2021.12.31 현재,"224,636,033,150",8,KRW
20240314001432,11011,2023,00102113,012610,OFS,재무제표,BS,재무상태표,비유동부채,제 47 기,2023.12.31 현재,"17,582,686,975",제 46 기,2022.12.31 현재,"23,519,044,504",제 45 기,2021.12.31 현재,"29,167,610,825",10,KRW
