rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20240328001400,11011,2023,00102858,010130,CFS,연결재무제표,BS,재무상태표,유동자산,제 50 기,2023.12.31 현재,"5,571,656,932,735",제 49 기,2022.12.31 현재,"6,071,090,869,900",제 48 기,2021.12.31 현재,"5,689,044,210,643",1,KRW
20240328001400,11011,2023,00102858,010130,CFS,연결재무제표,BS,재무상태표,비유동자산,제 50 기,2023.12.31 현재,"6,474,414,378,915",제 49 기,2022.12.31 현재,"6,026,827,489,074",제 48 기,2021.12.31 현재,"4,275,004,424,006",3,KRW
20240328001400,11011,2023,00102858,010130,CFS,연결재무제표,BS,재무상태표,자산총계,제 50 기,2023.12.31 현재,"12,046,071,311,650",제 49 기,2022.12.31 현재,"12,097,918,358,974",제 48 기,2021.12.31 현재,"9,964,048,634,649",5,KRW
20240328001400,11011,2023,00102858,010130,CFS,연결재무제표,BS,재무상태표,유동부채,제 50 기,2023.12.31 현재,"1,902,819,300,929",제 49 기,2022.12.31 현재,"2,319,116,608,598",제 48 기,2021.12.31 현재,"1,770,527,531,625",7,KRW
20240328001400,11011,2023,00102858,010130,CFS,연결재무제표,BS,재무상태표,비유동부채,제 50 기,2023.12.31 현재,"501,249,141,851",제 49 기,2022.12.31 현재,"547,069,633,828",제 48 기,2021.12.31 현재,"459,286,640,200",9,KRW
20240328001400,11011,2023,00102858,010130,CFS,연결재무제표,BS,재무상태표,부채총계,제 50 기,2023.12.31 현재,"2,404,068,442,780",제 49 기,2022.12.31 현재,"2,866,186,242,426",제 48 기,2021.12.31 현재,"2,229,814,171,825",11,KRW
20240328001400,11011,2023,00102858,010130,CFS,연결재무제표,BS,재무상태표,자본금,제 50 기,2023.12.31 현재,"104,542,940,000",제 49 기,2022.12.31 현재,"99,315,790,000",제 48 기,2021.12.31 현재,"94,350,000,000",13,KRW
20240328001400,11011,2023,00102858,010130,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 50 기,2023.12.31 현재,"7,843,381,808,493",제 49 기,2022.12.31 현재,"7,953,409,019,052",제 48 기,2021.12.31 현재,"7,518,367,793,855",17,KRW
20240328001400,11011,2023,00102858,010130,CFS,연결재무제표,BS,재무상태표,자본총계,제 50 기,2023.12.31 현재,"9,642,002,868,870",제 49 기,2022.12.31 현재,"9,231,732,116,548",제 48 기,2021.12.31 현재,"7,734,234,462,824",21,KRW
20240328001400,11011,2023,00102858,010130,CFS,연결재무제표,IS,손익계산서,매출액,제 50 기,2023.01.01 ~ 2023.12.31,"9,704,521,343,024",제 49 기,2022.01.01 ~ 2022.12.31,"11,219,358,600,107",제 48 기,2021.01.01 ~ 2021.12.31,"9,976,776,443,636",23,KRW
20240328001400,11011,2023,00102858,010130,CFS,연결재무제표,IS,손익계산서,영업이익,제 50 기,2023.01.01 ~ 2023.12.31,"659,935,424,598",제 49 기,2022.01.01 ~ 2022.12.31,"919,171,130,822",제 48 기,2021.01.01 ~ 2021.12.31,"1,096,146,343,693",25,KRW
20240328001400,11011,2023,00102858,010130,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 50 기,2023.01.01 ~ 2023.12.31,"728,073,261,478",제 49 기,2022.01.01 ~ 2022.12.31,"881,480,750,499",제 48 기,2021.01.01 ~ 2021.12.31,"1,139,080,147,683",27,KRW
20240328001400,11011,2023,00102858,010130,CFS,연결재무제표,IS,손익계산서,당기순이익,제 50 기,2023.01.01 ~ 2023.12.31,"533,378,688,122",제 49 기,2022.01.01 ~ 2022.12.31,"798,264,387,415",제 48 기,2021.01.01 ~ 2021.12.31,"811,106,029,144",29,KRW
20240328001400,11011,2023,00102858,010130,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 50 기,2023.01.01 ~ 2023.12.31,"533,378,688,122",제 49 기,2022.01.01 ~ 2022.12.31,"798,264,387,415",제 48 기,2021.01.01 ~ 2021.12.31,"811,106,029,144",61,KRW
20240328001400,11011,2023,00102858,010130,CFS,연결재무제표,IS,손익계산서,총포괄손익,제 50 기,2023.01.01 ~ 2023.12.31,"459,960,414,380",제 49 기,2022.01.01 ~ 2022.12.31,"733,528,259,114",제 48 기,2021.01.01 ~ 2021.12.31,"907,578,355,539",63,KRW
20240328001400,11011,2023,00102858,010130,OFS,재무제표,BS,재무상태표,유동자산,제 50 기,2023.12.31 현재,"4,223,804,225,522",제 49 기,2022.12.31 현재,"4,685,834,531,698",제 48 기,2021.12.31 현재,"4,444,333,507,426",2,KRW
20240328001400,11011,2023,00102858,010130,OFS,재무제표,BS,재무상태표,비유동자산,제 50 기,2023.12.31 현재,"5,953,891,567,061",제 49 기,2022.12.31 현재,"5,405,400,812,916",제 48 기,2021.12.31 현재,"3,876,895,987,632",4,KRW
20240328001400,11011,2023,00102858,010130,OFS,재무제표,BS,재무상태표,자산총계,제 50 기,2023.12.31 현재,"10,177,695,792,583",제 49 기,2022.12.31 현재,"10,091,235,344,614",제 48 기,2021.12.31 현재,"8,321,229,495,058",6,KRW
20240328001400,11011,2023,00102858,010130,OFS,재무제표,BS,재무상태표,유동부채,제 50 기,2023.12.31 현재,"1,354,938,343,062",제 49 기,2022.12.31 현재,"1,675,608,941,646",제 48 기,2021.12.31 현재,"1,078,792,942,084",8,KRW
