rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250318000849,11011,2024,00103635,014200,OFS,재무제표,BS,재무상태표,유동자산,제 46 기,2024.12.31 현재,"94,165,750,558",제 45 기,2023.12.31 현재,"165,577,121,269",제 44 기,2022.12.31 현재,"136,554,482,743",2,KRW
20250318000849,11011,2024,00103635,014200,OFS,재무제표,BS,재무상태표,비유동자산,제 46 기,2024.12.31 현재,"69,452,664,286",제 45 기,2023.12.31 현재,"108,154,490,514",제 44 기,2022.12.31 현재,"141,529,258,098",4,KRW
20250318000849,11011,2024,00103635,014200,OFS,재무제표,BS,재무상태표,자산총계,제 46 기,2024.12.31 현재,"163,618,414,844",제 45 기,2023.12.31 현재,"273,731,611,783",제 44 기,2022.12.31 현재,"278,083,740,841",6,KRW
20250318000849,11011,2024,00103635,014200,OFS,재무제표,BS,재무상태표,유동부채,제 46 기,2024.12.31 현재,"12,918,297,271",제 45 기,2023.12.31 현재,"88,415,026,682",제 44 기,2022.12.31 현재,"94,439,355,628",8,KRW
20250318000849,11011,2024,00103635,014200,OFS,재무제표,BS,재무상태표,비유동부채,제 46 기,2024.12.31 현재,"328,691,074",제 45 기,2023.12.31 현재,"5,545,833,140",제 44 기,2022.12.31 현재,"21,667,612,552",10,KRW
20250318000849,11011,2024,00103635,014200,OFS,재무제표,BS,재무상태표,부채총계,제 46 기,2024.12.31 현재,"13,246,988,345",제 45 기,2023.12.31 현재,"93,960,859,822",제 44 기,2022.12.31 현재,"116,106,968,180",12,KRW
20250318000849,11011,2024,00103635,014200,OFS,재무제표,BS,재무상태표,자본금,제 46 기,2024.12.31 현재,"1,511,778,000",제 45 기,2023.12.31 현재,"45,353,348,000",제 44 기,2022.12.31 현재,"45,353,348,000",15,KRW
20250318000849,11011,2024,00103635,014200,OFS,재무제표,BS,재무상태표,이익잉여금,제 46 기,2024.12.31 현재,"-58,037,325,798",제 45 기,2023.12.31 현재,"-42,457,851,905",제 44 기,2022.12.31 현재,"-60,322,687,446",19,KRW
20250318000849,11011,2024,00103635,014200,OFS,재무제표,BS,재무상태표,자본총계,제 46 기,2024.12.31 현재,"150,371,426,499",제 45 기,2023.12.31 현재,"179,770,751,961",제 44 기,2022.12.31 현재,"161,976,772,661",22,KRW
20250318000849,11011,2024,00103635,014200,OFS,재무제표,IS,손익계산서,매출액,제 46 기,2024.01.01 ~ 2024.12.31,"92,187,272,245",제 45 기,2023.01.01 ~ 2023.12.31,"133,831,380,993",제 44 기,2022.01.01 ~ 2022.12.31,"206,957,469,626",24,KRW
20250318000849,11011,2024,00103635,014200,OFS,재무제표,IS,손익계산서,영업이익,제 46 기,2024.01.01 ~ 2024.12.31,"6,043,715,799",제 45 기,2023.01.01 ~ 2023.12.31,"13,288,158,296",제 44 기,2022.01.01 ~ 2022.12.31,"22,030,179,468",26,KRW
20250318000849,11011,2024,00103635,014200,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 46 기,2024.01.01 ~ 2024.12.31,"-50,839,449",제 45 기,2023.01.01 ~ 2023.12.31,"34,678,963,628",제 44 기,2022.01.01 ~ 2022.12.31,"-14,855,864,754",28,KRW
20250318000849,11011,2024,00103635,014200,OFS,재무제표,IS,손익계산서,당기순이익,제 46 기,2024.01.01 ~ 2024.12.31,"-14,463,195,629",제 45 기,2023.01.01 ~ 2023.12.31,"12,304,650,219",제 44 기,2022.01.01 ~ 2022.12.31,"-26,780,781,811",30,KRW
20250318000849,11011,2024,00103635,014200,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 46 기,2024.01.01 ~ 2024.12.31,"-14,463,195,629",제 45 기,2023.01.01 ~ 2023.12.31,"12,304,650,219",제 44 기,2022.01.01 ~ 2022.12.31,"-26,780,781,811",62,KRW
