rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250320000952,11011,2024,00152729,017900,CFS,연결재무제표,BS,재무상태표,유동자산,제 41 기,2024.12.31 현재,"142,959,298,884",제 40 기,2023.12.31 현재,"126,015,835,164",제 39 기,2022.12.31 현재,"124,433,720,602",1,KRW
20250320000952,11011,2024,00152729,017900,CFS,연결재무제표,BS,재무상태표,비유동자산,제 41 기,2024.12.31 현재,"117,872,622,344",제 40 기,2023.12.31 현재,"125,164,636,959",제 39 기,2022.12.31 현재,"123,421,586,096",3,KRW
20250320000952,11011,2024,00152729,017900,CFS,연결재무제표,BS,재무상태표,자산총계,제 41 기,2024.12.31 현재,"260,831,921,228",제 40 기,2023.12.31 현재,"251,180,472,123",제 39 기,2022.12.31 현재,"247,855,306,698",5,KRW
20250320000952,11011,2024,00152729,017900,CFS,연결재무제표,BS,재무상태표,유동부채,제 41 기,2024.12.31 현재,"21,364,960,611",제 40 기,2023.12.31 현재,"16,582,702,684",제 39 기,2022.12.31 현재,"16,592,154,606",7,KRW
20250320000952,11011,2024,00152729,017900,CFS,연결재무제표,BS,재무상태표,비유동부채,제 41 기,2024.12.31 현재,"224,760,244",제 40 기,2023.12.31 현재,"3,072,841,620",제 39 기,2022.12.31 현재,"3,642,551,412",9,KRW
20250320000952,11011,2024,00152729,017900,CFS,연결재무제표,BS,재무상태표,부채총계,제 41 기,2024.12.31 현재,"21,589,720,855",제 40 기,2023.12.31 현재,"19,655,544,304",제 39 기,2022.12.31 현재,"20,234,706,018",11,KRW
20250320000952,11011,2024,00152729,017900,CFS,연결재무제표,BS,재무상태표,자본금,제 41 기,2024.12.31 현재,"28,971,881,500",제 40 기,2023.12.31 현재,"28,971,881,500",제 39 기,2022.12.31 현재,"28,971,881,500",13,KRW
20250320000952,11011,2024,00152729,017900,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 41 기,2024.12.31 현재,"62,054,593,532",제 40 기,2023.12.31 현재,"54,373,572,265",제 39 기,2022.12.31 현재,"58,464,549,227",17,KRW
20250320000952,11011,2024,00152729,017900,CFS,연결재무제표,BS,재무상태표,자본총계,제 41 기,2024.12.31 현재,"239,242,200,373",제 40 기,2023.12.31 현재,"231,524,927,819",제 39 기,2022.12.31 현재,"227,620,600,680",21,KRW
20250320000952,11011,2024,00152729,017900,CFS,연결재무제표,IS,손익계산서,매출액,제 41 기,2024.01.01 ~ 2024.12.31,"130,189,190,329",제 40 기,2023.01.01 ~ 2023.12.31,"125,705,279,635",제 39 기,2022.01.01 ~ 2022.12.31,"152,201,072,028",23,KRW
20250320000952,11011,2024,00152729,017900,CFS,연결재무제표,IS,손익계산서,영업이익,제 41 기,2024.01.01 ~ 2024.12.31,"1,473,042,384",제 40 기,2023.01.01 ~ 2023.12.31,"-4,405,094,540",제 39 기,2022.01.01 ~ 2022.12.31,"5,837,058,369",25,KRW
20250320000952,11011,2024,00152729,017900,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 41 기,2024.01.01 ~ 2024.12.31,"13,452,218,192",제 40 기,2023.01.01 ~ 2023.12.31,"-690,578,277",제 39 기,2022.01.01 ~ 2022.12.31,"9,576,480,512",27,KRW
20250320000952,11011,2024,00152729,017900,CFS,연결재무제표,IS,손익계산서,당기순이익,제 41 기,2024.01.01 ~ 2024.12.31,"10,620,128,567",제 40 기,2023.01.01 ~ 2023.12.31,"-1,063,414,462",제 39 기,2022.01.01 ~ 2022.12.31,"13,137,606,608",29,KRW
20250320000952,11011,2024,00152729,017900,CFS,연결재무제표,IS,손익계산서,이자수익,제 41 기,2024.01.01 ~ 2024.12.31,"4,354,010,619",제 40 기,2023.01.01 ~ 2023.12.31,"2,801,274,328",제 39 기,2022.01.01 ~ 2022.12.31,"633,642,721",53,KRW
20250320000952,11011,2024,00152729,017900,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 41 기,2024.01.01 ~ 2024.12.31,"10,620,128,567",제 40 기,2023.01.01 ~ 2023.12.31,"-1,063,414,462",제 39 기,2022.01.01 ~ 2022.12.31,"13,137,606,608",61,KRW
20250320000952,11011,2024,00152729,017900,CFS,연결재무제표,IS,손익계산서,총포괄손익,제 41 기,2024.01.01 ~ 2024.12.31,"10,289,055,704",제 40 기,2023.01.01 ~ 2023.12.31,"5,112,394,718",제 39 기,2022.01.01 ~ 2022.12.31,"19,430,769,093",63,KRW
20250320000952,11011,2024,00152729,017900,OFS,재무제표,BS,재무상태표,유동자산,제 41 기,2024.12.31 현재,"143,190,249,750",제 40 기,2023.12.31 현재,"125,643,146,808",제 39 기,2022.12.31 현재,"124,326,511,648",2,KRW
20250320000952,11011,2024,00152729,017900,OFS,재무제표,BS,재무상태표,비유동자산,제 41 기,2024.12.31 현재,"117,076,513,803",제 40 기,2023.12.31 현재,"124,804,531,981",제 39 기,2022.12.31 현재,"122,669,863,540",4,KRW
20250320000952,11011,2024,00152729,017900,OFS,재무제표,BS,재무상태표,자산총계,제 41 기,2024.12.31 현재,"260,266,763,553",제 40 기,2023.12.31 현재,"250,447,678,789",제 39 기,2022.12.31 현재,"246,996,375,188",6,KRW
20250320000952,11011,2024,00152729,017900,OFS,재무제표,BS,재무상태표,유동부채,제 41 기,2024.12.31 현재,"21,742,623,837",제 40 기,2023.12.31 현재,"16,979,601,380",제 39 기,2022.12.31 현재,"16,893,776,488",8,KRW
20250320000952,11011,2024,00152729,017900,OFS,재무제표,BS,재무상태표,비유동부채,제 41 기,2024.12.31 현재,"45,170,000",제 40 기,2023.12.31 현재,"3,053,016,416",제 39 기,2022.12.31 현재,"3,535,146,185",10,KRW
20250320000952,11011,2024,00152729,017900,OFS,재무제표,BS,재무상태표,부채총계,제 41 기,2024.12.31 현재,"21,787,793,837",제 40 기,2023.12.31 현재,"20,032,617,796",제 39 기,2022.12.31 현재,"20,428,922,673",12,KRW
20250320000952,11011,2024,00152729,017900,OFS,재무제표,BS,재무상태표,자본금,제 41 기,2024.12.31 현재,"28,971,881,500",제 40 기,2023.12.31 현재,"28,971,881,500",제 39 기,2022.12.31 현재,"28,971,881,500",15,KRW
