rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250320000687,11011,2024,00297095,051490,CFS,연결재무제표,BS,재무상태표,유동자산,제 26 기,2024.12.31 현재,"156,216,261,019",제 25 기,2023.12.31 현재,"160,266,158,988",제 24 기,2022.12.31 현재,"151,639,211,589",1,KRW
20250320000687,11011,2024,00297095,051490,CFS,연결재무제표,BS,재무상태표,비유동자산,제 26 기,2024.12.31 현재,"99,882,079,192",제 25 기,2023.12.31 현재,"88,918,735,366",제 24 기,2022.12.31 현재,"84,272,120,204",3,KRW
20250320000687,11011,2024,00297095,051490,CFS,연결재무제표,BS,재무상태표,자산총계,제 26 기,2024.12.31 현재,"256,098,340,211",제 25 기,2023.12.31 현재,"249,184,894,354",제 24 기,2022.12.31 현재,"235,911,331,793",5,KRW
20250320000687,11011,2024,00297095,051490,CFS,연결재무제표,BS,재무상태표,유동부채,제 26 기,2024.12.31 현재,"129,166,229,612",제 25 기,2023.12.31 현재,"141,842,152,478",제 24 기,2022.12.31 현재,"136,253,927,789",7,KRW
20250320000687,11011,2024,00297095,051490,CFS,연결재무제표,BS,재무상태표,비유동부채,제 26 기,2024.12.31 현재,"21,362,351,612",제 25 기,2023.12.31 현재,"2,217,712,714",제 24 기,2022.12.31 현재,"3,101,274,329",9,KRW
20250320000687,11011,2024,00297095,051490,CFS,연결재무제표,BS,재무상태표,부채총계,제 26 기,2024.12.31 현재,"150,528,581,224",제 25 기,2023.12.31 현재,"144,059,865,192",제 24 기,2022.12.31 현재,"139,355,202,118",11,KRW
20250320000687,11011,2024,00297095,051490,CFS,연결재무제표,BS,재무상태표,자본금,제 26 기,2024.12.31 현재,"7,230,000,000",제 25 기,2023.12.31 현재,"7,230,000,000",제 24 기,2022.12.31 현재,"7,230,000,000",13,KRW
20250320000687,11011,2024,00297095,051490,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 26 기,2024.12.31 현재,"82,382,483,437",제 25 기,2023.12.31 현재,"80,384,351,711",제 24 기,2022.12.31 현재,"72,657,234,250",17,KRW
20250320000687,11011,2024,00297095,051490,CFS,연결재무제표,BS,재무상태표,자본총계,제 26 기,2024.12.31 현재,"105,569,758,987",제 25 기,2023.12.31 현재,"105,125,029,162",제 24 기,2022.12.31 현재,"96,556,129,675",21,KRW
20250320000687,11011,2024,00297095,051490,CFS,연결재무제표,IS,손익계산서,매출액,제 26 기,2024.01.01 ~ 2024.12.31,"203,815,719,224",제 25 기,2023.01.01 ~ 2023.12.31,"231,000,548,728",제 24 기,2022.01.01 ~ 2022.12.31,"218,222,444,013",23,KRW
20250320000687,11011,2024,00297095,051490,CFS,연결재무제표,IS,손익계산서,영업이익,제 26 기,2024.01.01 ~ 2024.12.31,"4,980,741,468",제 25 기,2023.01.01 ~ 2023.12.31,"10,711,609,456",제 24 기,2022.01.01 ~ 2022.12.31,"10,540,207,687",25,KRW
20250320000687,11011,2024,00297095,051490,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 26 기,2024.01.01 ~ 2024.12.31,"4,342,818,222",제 25 기,2023.01.01 ~ 2023.12.31,"9,572,880,841",제 24 기,2022.01.01 ~ 2022.12.31,"12,414,837,932",27,KRW
20250320000687,11011,2024,00297095,051490,CFS,연결재무제표,IS,손익계산서,당기순이익,제 26 기,2024.01.01 ~ 2024.12.31,"1,995,484,499",제 25 기,2023.01.01 ~ 2023.12.31,"8,917,757,016",제 24 기,2022.01.01 ~ 2022.12.31,"9,527,611,854",29,KRW
20250320000687,11011,2024,00297095,051490,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 26 기,2024.01.01 ~ 2024.12.31,"1,995,484,499",제 25 기,2023.01.01 ~ 2023.12.31,"8,917,757,016",제 24 기,2022.01.01 ~ 2022.12.31,"9,527,611,854",61,KRW
20250320000687,11011,2024,00297095,051490,CFS,연결재무제표,IS,손익계산서,총포괄손익,제 26 기,2024.01.01 ~ 2024.12.31,"4,193,463,880",제 25 기,2023.01.01 ~ 2023.12.31,"9,535,414,332",제 24 기,2022.01.01 ~ 2022.12.31,"8,934,064,673",63,KRW
20250320000687,11011,2024,00297095,051490,OFS,재무제표,BS,재무상태표,유동자산,제 26 기,2024.12.31 현재,"83,349,397,198",제 25 기,2023.12.31 현재,"94,876,969,537",제 24 기,2022.12.31 현재,"74,724,614,352",2,KRW
20250320000687,11011,2024,00297095,051490,OFS,재무제표,BS,재무상태표,비유동자산,제 26 기,2024.12.31 현재,"72,361,610,348",제 25 기,2023.12.31 현재,"66,236,938,722",제 24 기,2022.12.31 현재,"69,788,418,036",4,KRW
20250320000687,11011,2024,00297095,051490,OFS,재무제표,BS,재무상태표,자산총계,제 26 기,2024.12.31 현재,"155,711,007,546",제 25 기,2023.12.31 현재,"161,113,908,259",제 24 기,2022.12.31 현재,"144,513,032,388",6,KRW
20250320000687,11011,2024,00297095,051490,OFS,재무제표,BS,재무상태표,유동부채,제 26 기,2024.12.31 현재,"69,189,869,417",제 25 기,2023.12.31 현재,"80,220,331,607",제 24 기,2022.12.31 현재,"69,254,849,006",8,KRW
20250320000687,11011,2024,00297095,051490,OFS,재무제표,BS,재무상태표,비유동부채,제 26 기,2024.12.31 현재,"1,663,567,059",제 25 기,2023.12.31 현재,"684,615,690",제 24 기,2022.12.31 현재,"659,508,563",10,KRW
20250320000687,11011,2024,00297095,051490,OFS,재무제표,BS,재무상태표,부채총계,제 26 기,2024.12.31 현재,"70,853,436,476",제 25 기,2023.12.31 현재,"80,904,947,297",제 24 기,2022.12.31 현재,"69,914,357,569",12,KRW
