rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20240320000806,11011,2023,00108001,091590,CFS,연결재무제표,BS,재무상태표,유동자산,제 65 기,2023.12.31 현재,"45,233,585,374",제 64 기,2022.12.31 현재,"86,482,574,553",제 63 기,2021.12.31 현재,"67,459,596,506",1,KRW
20240320000806,11011,2023,00108001,091590,CFS,연결재무제표,BS,재무상태표,비유동자산,제 65 기,2023.12.31 현재,"140,068,769,388",제 64 기,2022.12.31 현재,"118,784,711,977",제 63 기,2021.12.31 현재,"116,434,488,274",3,KRW
20240320000806,11011,2023,00108001,091590,CFS,연결재무제표,BS,재무상태표,자산총계,제 65 기,2023.12.31 현재,"185,302,354,762",제 64 기,2022.12.31 현재,"205,267,286,530",제 63 기,2021.12.31 현재,"183,894,084,780",5,KRW
20240320000806,11011,2023,00108001,091590,CFS,연결재무제표,BS,재무상태표,유동부채,제 65 기,2023.12.31 현재,"21,446,778,749",제 64 기,2022.12.31 현재,"18,370,076,355",제 63 기,2021.12.31 현재,"16,029,208,656",7,KRW
20240320000806,11011,2023,00108001,091590,CFS,연결재무제표,BS,재무상태표,비유동부채,제 65 기,2023.12.31 현재,"3,867,236,355",제 64 기,2022.12.31 현재,"12,955,813,006",제 63 기,2021.12.31 현재,"12,995,135,761",9,KRW
20240320000806,11011,2023,00108001,091590,CFS,연결재무제표,BS,재무상태표,부채총계,제 65 기,2023.12.31 현재,"25,314,015,104",제 64 기,2022.12.31 현재,"31,325,889,361",제 63 기,2021.12.31 현재,"29,024,344,417",11,KRW
20240320000806,11011,2023,00108001,091590,CFS,연결재무제표,BS,재무상태표,자본금,제 65 기,2023.12.31 현재,"5,870,000,000",제 64 기,2022.12.31 현재,"5,870,000,000",제 63 기,2021.12.31 현재,"5,870,000,000",13,KRW
20240320000806,11011,2023,00108001,091590,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 65 기,2023.12.31 현재,"141,043,229,489",제 64 기,2022.12.31 현재,"155,195,466,160",제 63 기,2021.12.31 현재,"136,776,376,884",17,KRW
20240320000806,11011,2023,00108001,091590,CFS,연결재무제표,BS,재무상태표,자본총계,제 65 기,2023.12.31 현재,"159,988,339,658",제 64 기,2022.12.31 현재,"173,941,397,169",제 63 기,2021.12.31 현재,"154,869,740,363",21,KRW
20240320000806,11011,2023,00108001,091590,CFS,연결재무제표,IS,손익계산서,매출액,제 65 기,2023.01.01 ~ 2023.12.31,"71,796,422,978",제 64 기,2022.01.01 ~ 2022.12.31,"90,791,512,388",제 63 기,2021.01.01 ~ 2021.12.31,"109,139,618,545",23,KRW
20240320000806,11011,2023,00108001,091590,CFS,연결재무제표,IS,손익계산서,영업이익,제 65 기,2023.01.01 ~ 2023.12.31,"-4,374,625,832",제 64 기,2022.01.01 ~ 2022.12.31,"4,468,708,150",제 63 기,2021.01.01 ~ 2021.12.31,"8,825,826,352",25,KRW
20240320000806,11011,2023,00108001,091590,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 65 기,2023.01.01 ~ 2023.12.31,"-21,222,740,038",제 64 기,2022.01.01 ~ 2022.12.31,"27,288,008,767",제 63 기,2021.01.01 ~ 2021.12.31,"16,867,643,748",27,KRW
20240320000806,11011,2023,00108001,091590,CFS,연결재무제표,IS,손익계산서,당기순이익,제 65 기,2023.01.01 ~ 2023.12.31,"-11,231,268,787",제 64 기,2022.01.01 ~ 2022.12.31,"20,750,055,300",제 63 기,2021.01.01 ~ 2021.12.31,"13,103,492,362",29,KRW
20240320000806,11011,2023,00108001,091590,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 65 기,2023.01.01 ~ 2023.12.31,"-11,231,268,787",제 64 기,2022.01.01 ~ 2022.12.31,"20,750,055,300",제 63 기,2021.01.01 ~ 2021.12.31,"13,103,492,362",61,KRW
20240320000806,11011,2023,00108001,091590,CFS,연결재무제표,IS,손익계산서,총포괄손익,제 65 기,2023.01.01 ~ 2023.12.31,"-11,301,457,511",제 64 기,2022.01.01 ~ 2022.12.31,"20,832,656,806",제 63 기,2021.01.01 ~ 2021.12.31,"13,023,934,633",63,KRW
20240320000806,11011,2023,00108001,091590,OFS,재무제표,BS,재무상태표,유동자산,제 65 기,2023.12.31 현재,"41,093,888,969",제 64 기,2022.12.31 현재,"83,633,948,611",제 63 기,2021.12.31 현재,"64,647,038,197",2,KRW
20240320000806,11011,2023,00108001,091590,OFS,재무제표,BS,재무상태표,비유동자산,제 65 기,2023.12.31 현재,"96,685,210,061",제 64 기,2022.12.31 현재,"74,213,265,377",제 63 기,2021.12.31 현재,"77,985,433,679",4,KRW
20240320000806,11011,2023,00108001,091590,OFS,재무제표,BS,재무상태표,자산총계,제 65 기,2023.12.31 현재,"137,779,099,030",제 64 기,2022.12.31 현재,"157,847,213,988",제 63 기,2021.12.31 현재,"142,632,471,876",6,KRW
20240320000806,11011,2023,00108001,091590,OFS,재무제표,BS,재무상태표,유동부채,제 65 기,2023.12.31 현재,"21,153,906,449",제 64 기,2022.12.31 현재,"18,236,971,395",제 63 기,2021.12.31 현재,"15,634,047,449",8,KRW
20240320000806,11011,2023,00108001,091590,OFS,재무제표,BS,재무상태표,비유동부채,제 65 기,2023.12.31 현재,"3,922,236,355",제 64 기,2022.12.31 현재,"5,865,403,981",제 63 기,2021.12.31 현재,"6,096,530,954",10,KRW
20240320000806,11011,2023,00108001,091590,OFS,재무제표,BS,재무상태표,부채총계,제 65 기,2023.12.31 현재,"25,076,142,804",제 64 기,2022.12.31 현재,"24,102,375,376",제 63 기,2021.12.31 현재,"21,730,578,403",12,KRW
20240320000806,11011,2023,00108001,091590,OFS,재무제표,BS,재무상태표,자본금,제 65 기,2023.12.31 현재,"5,870,000,000",제 64 기,2022.12.31 현재,"5,870,000,000",제 63 기,2021.12.31 현재,"5,870,000,000",15,KRW
20240320000806,11011,2023,00108001,091590,OFS,재무제표,BS,재무상태표,이익잉여금,제 65 기,2023.12.31 현재,"99,704,059,726",제 64 기,2022.12.31 현재,"120,745,942,112",제 63 기,2021.12.31 현재,"107,902,996,973",19,KRW
20240320000806,11011,2023,00108001,091590,OFS,재무제표,BS,재무상태표,자본총계,제 65 기,2023.12.31 현재,"112,702,956,226",제 64 기,2022.12.31 현재,"133,744,838,612",제 63 기,2021.12.31 현재,"120,901,893,473",22,KRW
20240320000806,11011,2023,00108001,091590,OFS,재무제표,IS,손익계산서,매출액,제 65 기,2023.01.01 ~ 2023.12.31,"70,634,356,330",제 64 기,2022.01.01 ~ 2022.12.31,"88,690,796,481",제 63 기,2021.01.01 ~ 2021.12.31,"105,370,876,327",24,KRW
20240320000806,11011,2023,00108001,091590,OFS,재무제표,IS,손익계산서,영업이익,제 65 기,2023.01.01 ~ 2023.12.31,"-3,726,535,932",제 64 기,2022.01.01 ~ 2022.12.31,"4,656,630,229",제 63 기,2021.01.01 ~ 2021.12.31,"8,669,011,766",26,KRW
20240320000806,11011,2023,00108001,091590,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 65 기,2023.01.01 ~ 2023.12.31,"-26,278,277,940",제 64 기,2022.01.01 ~ 2022.12.31,"20,894,354,542",제 63 기,2021.01.01 ~ 2021.12.31,"11,607,223,645",28,KRW
20240320000806,11011,2023,00108001,091590,OFS,재무제표,IS,손익계산서,당기순이익,제 65 기,2023.01.01 ~ 2023.12.31,"-18,693,882,386",제 64 기,2022.01.01 ~ 2022.12.31,"14,603,945,139",제 63 기,2021.01.01 ~ 2021.12.31,"8,600,075,125",30,KRW
20240320000806,11011,2023,00108001,091590,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 65 기,2023.01.01 ~ 2023.12.31,"-18,693,882,386",제 64 기,2022.01.01 ~ 2022.12.31,"14,603,945,139",제 63 기,2021.01.01 ~ 2021.12.31,"8,600,075,125",62,KRW
