rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20230322001024,11011,2022,01246034,290660,CFS,연결재무제표,BS,재무상태표,유동자산,제 13 기,2022.12.31 현재,"12,736,862,844",제 12 기,2021.12.31 현재,"15,349,381,697",제 11 기,2020.12.31 현재,"23,093,138,649",1,KRW
20230322001024,11011,2022,01246034,290660,CFS,연결재무제표,BS,재무상태표,비유동자산,제 13 기,2022.12.31 현재,"37,633,708,193",제 12 기,2021.12.31 현재,"37,190,975,898",제 11 기,2020.12.31 현재,"34,813,785,127",3,KRW
20230322001024,11011,2022,01246034,290660,CFS,연결재무제표,BS,재무상태표,자산총계,제 13 기,2022.12.31 현재,"50,370,571,037",제 12 기,2021.12.31 현재,"52,540,357,595",제 11 기,2020.12.31 현재,"57,906,923,776",5,KRW
20230322001024,11011,2022,01246034,290660,CFS,연결재무제표,BS,재무상태표,유동부채,제 13 기,2022.12.31 현재,"28,908,318,850",제 12 기,2021.12.31 현재,"24,665,907,251",제 11 기,2020.12.31 현재,"26,823,106,107",7,KRW
20230322001024,11011,2022,01246034,290660,CFS,연결재무제표,BS,재무상태표,비유동부채,제 13 기,2022.12.31 현재,"11,888,425,089",제 12 기,2021.12.31 현재,"12,528,546,175",제 11 기,2020.12.31 현재,"13,219,252,821",9,KRW
20230322001024,11011,2022,01246034,290660,CFS,연결재무제표,BS,재무상태표,부채총계,제 13 기,2022.12.31 현재,"40,796,743,939",제 12 기,2021.12.31 현재,"37,194,453,426",제 11 기,2020.12.31 현재,"40,042,358,928",11,KRW
20230322001024,11011,2022,01246034,290660,CFS,연결재무제표,BS,재무상태표,자본금,제 13 기,2022.12.31 현재,"9,620,308,500",제 12 기,2021.12.31 현재,"9,453,140,000",제 11 기,2020.12.31 현재,"9,453,140,000",13,KRW
20230322001024,11011,2022,01246034,290660,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 13 기,2022.12.31 현재,"-74,794,618,126",제 12 기,2021.12.31 현재,"-65,624,485,708",제 11 기,2020.12.31 현재,"-60,762,171,430",17,KRW
20230322001024,11011,2022,01246034,290660,CFS,연결재무제표,BS,재무상태표,자본총계,제 13 기,2022.12.31 현재,"9,573,827,098",제 12 기,2021.12.31 현재,"15,345,904,169",제 11 기,2020.12.31 현재,"17,864,564,848",21,KRW
20230322001024,11011,2022,01246034,290660,CFS,연결재무제표,IS,손익계산서,매출액,제 13 기,2022.01.01 ~ 2022.12.31,"26,201,602,583",제 12 기,2021.01.01 ~ 2021.12.31,"23,158,185,846",제 11 기,2020.01.01 ~ 2020.12.31,"18,624,676,609",23,KRW
