rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20240321001085,11011,2023,01325429,306620,CFS,연결재무제표,BS,재무상태표,유동자산,제 6 기,2023.12.31 현재,"96,653,765,513",제 5 기,2022.12.31 현재,"40,350,057,962",제 4 기,2021.12.31 현재,"38,347,767,302",1,KRW
20240321001085,11011,2023,01325429,306620,CFS,연결재무제표,BS,재무상태표,비유동자산,제 6 기,2023.12.31 현재,"67,913,369,041",제 5 기,2022.12.31 현재,"50,176,954,438",제 4 기,2021.12.31 현재,"35,448,635,635",3,KRW
20240321001085,11011,2023,01325429,306620,CFS,연결재무제표,BS,재무상태표,자산총계,제 6 기,2023.12.31 현재,"164,567,134,554",제 5 기,2022.12.31 현재,"90,527,012,400",제 4 기,2021.12.31 현재,"73,796,402,937",5,KRW
20240321001085,11011,2023,01325429,306620,CFS,연결재무제표,BS,재무상태표,유동부채,제 6 기,2023.12.31 현재,"99,690,494,105",제 5 기,2022.12.31 현재,"35,852,449,709",제 4 기,2021.12.31 현재,"30,229,444,096",7,KRW
20240321001085,11011,2023,01325429,306620,CFS,연결재무제표,BS,재무상태표,비유동부채,제 6 기,2023.12.31 현재,"9,708,466,902",제 5 기,2022.12.31 현재,"9,601,292,830",제 4 기,2021.12.31 현재,"8,479,706,187",9,KRW
20240321001085,11011,2023,01325429,306620,CFS,연결재무제표,BS,재무상태표,부채총계,제 6 기,2023.12.31 현재,"109,398,961,007",제 5 기,2022.12.31 현재,"45,453,742,539",제 4 기,2021.12.31 현재,"38,709,150,283",11,KRW
20240321001085,11011,2023,01325429,306620,CFS,연결재무제표,BS,재무상태표,자본금,제 6 기,2023.12.31 현재,"4,171,360,700",제 5 기,2022.12.31 현재,"4,168,860,700",제 4 기,2021.12.31 현재,"3,992,250,800",13,KRW
20240321001085,11011,2023,01325429,306620,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 6 기,2023.12.31 현재,"-1,656,639,111",제 5 기,2022.12.31 현재,"-4,521,844,854",제 4 기,2021.12.31 현재,"3,287,236,623",17,KRW
20240321001085,11011,2023,01325429,306620,CFS,연결재무제표,BS,재무상태표,자본총계,제 6 기,2023.12.31 현재,"55,168,173,547",제 5 기,2022.12.31 현재,"45,073,269,861",제 4 기,2021.12.31 현재,"35,087,252,654",21,KRW
20240321001085,11011,2023,01325429,306620,CFS,연결재무제표,IS,손익계산서,매출액,제 6 기,2023.01.01 ~ 2023.12.31,"86,754,563,129",제 5 기,2022.01.01 ~ 2022.12.31,"52,890,474,671",제 4 기,2021.01.01 ~ 2021.12.31,"49,880,481,256",23,KRW
