rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20240312000634,11011,2023,00842585,153460,OFS,재무제표,BS,재무상태표,유동자산,제 21 기,2023.12.31 현재,"26,206,151,362",제 20 기,2022.12.31 현재,"27,889,736,155",제 19 기,2021.12.31 현재,"24,885,228,932",2,KRW
20240312000634,11011,2023,00842585,153460,OFS,재무제표,BS,재무상태표,비유동자산,제 21 기,2023.12.31 현재,"8,037,067,357",제 20 기,2022.12.31 현재,"8,737,297,609",제 19 기,2021.12.31 현재,"6,259,270,972",4,KRW
20240312000634,11011,2023,00842585,153460,OFS,재무제표,BS,재무상태표,자산총계,제 21 기,2023.12.31 현재,"34,243,218,719",제 20 기,2022.12.31 현재,"36,627,033,764",제 19 기,2021.12.31 현재,"31,144,499,904",6,KRW
20240312000634,11011,2023,00842585,153460,OFS,재무제표,BS,재무상태표,유동부채,제 21 기,2023.12.31 현재,"2,418,324,178",제 20 기,2022.12.31 현재,"3,501,297,955",제 19 기,2021.12.31 현재,"3,405,205,130",8,KRW
20240312000634,11011,2023,00842585,153460,OFS,재무제표,BS,재무상태표,비유동부채,제 21 기,2023.12.31 현재,"522,110,733",제 20 기,2022.12.31 현재,"497,560,341",제 19 기,2021.12.31 현재,"433,066,169",10,KRW
20240312000634,11011,2023,00842585,153460,OFS,재무제표,BS,재무상태표,부채총계,제 21 기,2023.12.31 현재,"2,940,434,911",제 20 기,2022.12.31 현재,"3,998,858,296",제 19 기,2021.12.31 현재,"3,838,271,299",12,KRW
20240312000634,11011,2023,00842585,153460,OFS,재무제표,BS,재무상태표,자본금,제 21 기,2023.12.31 현재,"3,265,007,000",제 20 기,2022.12.31 현재,"3,265,007,000",제 19 기,2021.12.31 현재,"3,265,007,000",15,KRW
20240312000634,11011,2023,00842585,153460,OFS,재무제표,BS,재무상태표,이익잉여금,제 21 기,2023.12.31 현재,"11,765,079,681",제 20 기,2022.12.31 현재,"13,200,277,762",제 19 기,2021.12.31 현재,"7,922,620,241",19,KRW
20240312000634,11011,2023,00842585,153460,OFS,재무제표,BS,재무상태표,자본총계,제 21 기,2023.12.31 현재,"31,302,783,808",제 20 기,2022.12.31 현재,"32,628,175,468",제 19 기,2021.12.31 현재,"27,306,228,605",22,KRW
20240312000634,11011,2023,00842585,153460,OFS,재무제표,IS,손익계산서,매출액,제 21 기,2023.01.01 ~ 2023.12.31,"13,443,862,679",제 20 기,2022.01.01 ~ 2022.12.31,"18,298,809,095",제 19 기,2021.01.01 ~ 2021.12.31,"16,263,919,570",24,KRW
20240312000634,11011,2023,00842585,153460,OFS,재무제표,IS,손익계산서,영업이익,제 21 기,2023.01.01 ~ 2023.12.31,"-2,100,774,254",제 20 기,2022.01.01 ~ 2022.12.31,"3,361,839,487",제 19 기,2021.01.01 ~ 2021.12.31,"2,474,649,691",26,KRW
20240312000634,11011,2023,00842585,153460,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 21 기,2023.01.01 ~ 2023.12.31,"-1,466,776,619",제 20 기,2022.01.01 ~ 2022.12.31,"3,899,753,134",제 19 기,2021.01.01 ~ 2021.12.31,"2,738,160,630",28,KRW
20240312000634,11011,2023,00842585,153460,OFS,재무제표,IS,손익계산서,당기순이익,제 21 기,2023.01.01 ~ 2023.12.31,"-1,435,198,081",제 20 기,2022.01.01 ~ 2022.12.31,"5,277,657,521",제 19 기,2021.01.01 ~ 2021.12.31,"2,738,160,630",30,KRW
20240312000634,11011,2023,00842585,153460,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 21 기,2023.01.01 ~ 2023.12.31,"-1,435,198,081",제 20 기,2022.01.01 ~ 2022.12.31,"5,277,657,521",제 19 기,2021.01.01 ~ 2021.12.31,"2,738,160,630",62,KRW
20240312000634,11011,2023,00842585,153460,OFS,재무제표,IS,손익계산서,총포괄손익,제 21 기,2023.01.01 ~ 2023.12.31,"-1,435,198,081",제 20 기,2022.01.01 ~ 2022.12.31,"5,277,657,521",제 19 기,2021.01.01 ~ 2021.12.31,"2,738,160,630",64,KRW
