rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250320000135,11011,2024,00977696,194510,CFS,연결재무제표,BS,재무상태표,유동자산,제 14 기,2024.12.31 현재,"102,207,361,389",제 13 기,2023.12.31 현재,"76,600,061,289",제 12 기,2022.12.31 현재,"72,069,682,158",1,KRW
20250320000135,11011,2024,00977696,194510,CFS,연결재무제표,BS,재무상태표,비유동자산,제 14 기,2024.12.31 현재,"97,139,182,907",제 13 기,2023.12.31 현재,"87,292,800,275",제 12 기,2022.12.31 현재,"86,400,949,189",3,KRW
20250320000135,11011,2024,00977696,194510,CFS,연결재무제표,BS,재무상태표,자산총계,제 14 기,2024.12.31 현재,"199,346,544,296",제 13 기,2023.12.31 현재,"163,892,861,564",제 12 기,2022.12.31 현재,"158,470,631,347",5,KRW
20250320000135,11011,2024,00977696,194510,CFS,연결재무제표,BS,재무상태표,유동부채,제 14 기,2024.12.31 현재,"102,940,354,815",제 13 기,2023.12.31 현재,"92,719,400,465",제 12 기,2022.12.31 현재,"88,327,689,390",7,KRW
20250320000135,11011,2024,00977696,194510,CFS,연결재무제표,BS,재무상태표,비유동부채,제 14 기,2024.12.31 현재,"2,028,283,132",제 13 기,2023.12.31 현재,"2,613,821,184",제 12 기,2022.12.31 현재,"3,450,788,944",9,KRW
20250320000135,11011,2024,00977696,194510,CFS,연결재무제표,BS,재무상태표,부채총계,제 14 기,2024.12.31 현재,"104,968,637,947",제 13 기,2023.12.31 현재,"95,333,221,649",제 12 기,2022.12.31 현재,"91,778,478,334",11,KRW
20250320000135,11011,2024,00977696,194510,CFS,연결재무제표,BS,재무상태표,자본금,제 14 기,2024.12.31 현재,"12,244,175,000",제 13 기,2023.12.31 현재,"12,244,175,000",제 12 기,2022.12.31 현재,"12,244,175,000",13,KRW
20250320000135,11011,2024,00977696,194510,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 14 기,2024.12.31 현재,"-23,182,547,950",제 13 기,2023.12.31 현재,"-40,721,617,178",제 12 기,2022.12.31 현재,"-42,030,778,887",17,KRW
20250320000135,11011,2024,00977696,194510,CFS,연결재무제표,BS,재무상태표,자본총계,제 14 기,2024.12.31 현재,"94,377,906,349",제 13 기,2023.12.31 현재,"68,559,639,915",제 12 기,2022.12.31 현재,"66,692,153,013",21,KRW
20250320000135,11011,2024,00977696,194510,CFS,연결재무제표,IS,손익계산서,영업이익,제 14 기,2024.01.01 ~ 2024.12.31,"14,012,730,741",제 13 기,2023.01.01 ~ 2023.12.31,"13,429,162,912",제 12 기,2022.01.01 ~ 2022.12.31,"15,457,197,818",25,KRW
20250320000135,11011,2024,00977696,194510,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 14 기,2024.01.01 ~ 2024.12.31,"22,848,392,996",제 13 기,2023.01.01 ~ 2023.12.31,"5,009,577,510",제 12 기,2022.01.01 ~ 2022.12.31,"14,829,730,443",27,KRW
20250320000135,11011,2024,00977696,194510,CFS,연결재무제표,IS,손익계산서,당기순이익,제 14 기,2024.01.01 ~ 2024.12.31,"18,679,134,139",제 13 기,2023.01.01 ~ 2023.12.31,"1,942,955,161",제 12 기,2022.01.01 ~ 2022.12.31,"9,027,604,948",29,KRW
20250320000135,11011,2024,00977696,194510,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 14 기,2024.01.01 ~ 2024.12.31,"18,679,134,139",제 13 기,2023.01.01 ~ 2023.12.31,"1,942,955,161",제 12 기,2022.01.01 ~ 2022.12.31,"9,027,604,948",61,KRW
20250320000135,11011,2024,00977696,194510,CFS,연결재무제표,IS,손익계산서,총포괄손익,제 14 기,2024.01.01 ~ 2024.12.31,"25,818,266,434",제 13 기,2023.01.01 ~ 2023.12.31,"1,670,848,394",제 12 기,2022.01.01 ~ 2022.12.31,"9,800,125,942",63,KRW
