rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20230315000715,11011,2022,01096341,225570,CFS,연결재무제표,BS,재무상태표,유동자산,제 8 기,2022.12.31 현재,"204,036,431,993",제 7 기,2021.12.31 현재,"107,683,261,833",제 6 기,2020.12.31 현재,"75,446,756,111",1,KRW
20230315000715,11011,2022,01096341,225570,CFS,연결재무제표,BS,재무상태표,비유동자산,제 8 기,2022.12.31 현재,"121,512,973,714",제 7 기,2021.12.31 현재,"19,086,496,058",제 6 기,2020.12.31 현재,"18,971,004,018",3,KRW
20230315000715,11011,2022,01096341,225570,CFS,연결재무제표,BS,재무상태표,자산총계,제 8 기,2022.12.31 현재,"325,549,405,707",제 7 기,2021.12.31 현재,"126,769,757,891",제 6 기,2020.12.31 현재,"94,417,760,129",5,KRW
20230315000715,11011,2022,01096341,225570,CFS,연결재무제표,BS,재무상태표,유동부채,제 8 기,2022.12.31 현재,"59,676,973,659",제 7 기,2021.12.31 현재,"51,322,187,409",제 6 기,2020.12.31 현재,"14,118,609,555",7,KRW
20230315000715,11011,2022,01096341,225570,CFS,연결재무제표,BS,재무상태표,비유동부채,제 8 기,2022.12.31 현재,"28,823,642,672",제 7 기,2021.12.31 현재,"13,834,200,520",제 6 기,2020.12.31 현재,"13,911,803,951",9,KRW
20230315000715,11011,2022,01096341,225570,CFS,연결재무제표,BS,재무상태표,부채총계,제 8 기,2022.12.31 현재,"88,500,616,331",제 7 기,2021.12.31 현재,"65,156,387,929",제 6 기,2020.12.31 현재,"28,030,413,506",11,KRW
20230315000715,11011,2022,01096341,225570,CFS,연결재무제표,BS,재무상태표,자본금,제 8 기,2022.12.31 현재,"32,880,547,000",제 7 기,2021.12.31 현재,"14,426,483,500",제 6 기,2020.12.31 현재,"14,419,416,000",13,KRW
20230315000715,11011,2022,01096341,225570,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 8 기,2022.12.31 현재,"-8,072,861,245",제 7 기,2021.12.31 현재,"-12,357,540,507",제 6 기,2020.12.31 현재,"-4,395,313,416",17,KRW
20230315000715,11011,2022,01096341,225570,CFS,연결재무제표,BS,재무상태표,자본총계,제 8 기,2022.12.31 현재,"237,048,789,376",제 7 기,2021.12.31 현재,"61,613,369,962",제 6 기,2020.12.31 현재,"66,387,346,623",21,KRW
20230315000715,11011,2022,01096341,225570,CFS,연결재무제표,IS,손익계산서,매출액,제 8 기,2022.01.01 ~ 2022.12.31,"132,374,925,965",제 7 기,2021.01.01 ~ 2021.12.31,"63,084,058,003",제 6 기,2020.01.01 ~ 2020.12.31,"81,404,202,243",23,KRW
