rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250320000586,11011,2024,01042429,205500,CFS,연결재무제표,BS,재무상태표,유동자산,제 11 기,2024.12.31 현재,"17,479,567,881",제 10 기,2023.12.31 현재,"18,534,589,708",제 9 기,2022.12.31 현재,"28,783,410,151",1,KRW
20250320000586,11011,2024,01042429,205500,CFS,연결재무제표,BS,재무상태표,비유동자산,제 11 기,2024.12.31 현재,"16,321,821,927",제 10 기,2023.12.31 현재,"21,048,767,065",제 9 기,2022.12.31 현재,"15,231,559,773",3,KRW
20250320000586,11011,2024,01042429,205500,CFS,연결재무제표,BS,재무상태표,자산총계,제 11 기,2024.12.31 현재,"33,801,389,808",제 10 기,2023.12.31 현재,"39,583,356,773",제 9 기,2022.12.31 현재,"44,014,969,924",5,KRW
20250320000586,11011,2024,01042429,205500,CFS,연결재무제표,BS,재무상태표,유동부채,제 11 기,2024.12.31 현재,"5,717,340,058",제 10 기,2023.12.31 현재,"3,558,746,584",제 9 기,2022.12.31 현재,"5,043,420,094",7,KRW
20250320000586,11011,2024,01042429,205500,CFS,연결재무제표,BS,재무상태표,비유동부채,제 11 기,2024.12.31 현재,"2,238,935,075",제 10 기,2023.12.31 현재,"6,679,488,870",제 9 기,2022.12.31 현재,"8,261,744,335",9,KRW
20250320000586,11011,2024,01042429,205500,CFS,연결재무제표,BS,재무상태표,부채총계,제 11 기,2024.12.31 현재,"7,956,275,133",제 10 기,2023.12.31 현재,"10,238,235,454",제 9 기,2022.12.31 현재,"13,305,164,429",11,KRW
20250320000586,11011,2024,01042429,205500,CFS,연결재무제표,BS,재무상태표,자본금,제 11 기,2024.12.31 현재,"28,732,609,500",제 10 기,2023.12.31 현재,"25,310,650,500",제 9 기,2022.12.31 현재,"23,228,029,000",13,KRW
20250320000586,11011,2024,01042429,205500,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 11 기,2024.12.31 현재,"-86,537,567,699",제 10 기,2023.12.31 현재,"-78,320,352,352",제 9 기,2022.12.31 현재,"-66,401,164,558",17,KRW
20250320000586,11011,2024,01042429,205500,CFS,연결재무제표,BS,재무상태표,자본총계,제 11 기,2024.12.31 현재,"25,845,114,675",제 10 기,2023.12.31 현재,"29,345,121,319",제 9 기,2022.12.31 현재,"30,709,805,495",21,KRW
20250320000586,11011,2024,01042429,205500,CFS,연결재무제표,IS,손익계산서,매출액,제 11 기,2024.01.01 ~ 2024.12.31,"7,551,040,419",제 10 기,2023.01.01 ~ 2023.12.31,"5,460,260,915",제 9 기,2022.01.01 ~ 2022.12.31,"5,759,731,909",23,KRW
20250320000586,11011,2024,01042429,205500,CFS,연결재무제표,IS,손익계산서,영업이익,제 11 기,2024.01.01 ~ 2024.12.31,"-8,937,199,488",제 10 기,2023.01.01 ~ 2023.12.31,"-16,159,833,315",제 9 기,2022.01.01 ~ 2022.12.31,"-15,115,249,647",25,KRW
20250320000586,11011,2024,01042429,205500,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 11 기,2024.01.01 ~ 2024.12.31,"-7,874,499,300",제 10 기,2023.01.01 ~ 2023.12.31,"-12,308,433,838",제 9 기,2022.01.01 ~ 2022.12.31,"-18,477,295,408",27,KRW
20250320000586,11011,2024,01042429,205500,CFS,연결재무제표,IS,손익계산서,당기순이익,제 11 기,2024.01.01 ~ 2024.12.31,"-8,217,215,347",제 10 기,2023.01.01 ~ 2023.12.31,"-12,037,676,999",제 9 기,2022.01.01 ~ 2022.12.31,"-18,480,801,052",29,KRW
20250320000586,11011,2024,01042429,205500,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 11 기,2024.01.01 ~ 2024.12.31,"-8,217,215,347",제 10 기,2023.01.01 ~ 2023.12.31,"-12,037,676,999",제 9 기,2022.01.01 ~ 2022.12.31,"-18,480,801,052",61,KRW
20250320000586,11011,2024,01042429,205500,CFS,연결재무제표,IS,손익계산서,총포괄손익,제 11 기,2024.01.01 ~ 2024.12.31,"-12,034,219,157",제 10 기,2023.01.01 ~ 2023.12.31,"-9,487,812,752",제 9 기,2022.01.01 ~ 2022.12.31,"-18,449,739,783",63,KRW
