rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250319001141,11011,2024,00513948,142280,CFS,연결재무제표,BS,재무상태표,유동자산,제 22 기,2024.12.31 현재,"39,428,573,941",제 21 기,2023.12.31 현재,"43,345,331,731",제 20 기,2022.12.31 현재,"50,136,885,013",1,KRW
20250319001141,11011,2024,00513948,142280,CFS,연결재무제표,BS,재무상태표,비유동자산,제 22 기,2024.12.31 현재,"48,545,952,932",제 21 기,2023.12.31 현재,"47,184,011,359",제 20 기,2022.12.31 현재,"46,333,786,134",3,KRW
20250319001141,11011,2024,00513948,142280,CFS,연결재무제표,BS,재무상태표,자산총계,제 22 기,2024.12.31 현재,"87,974,526,873",제 21 기,2023.12.31 현재,"90,529,343,090",제 20 기,2022.12.31 현재,"96,470,671,147",5,KRW
20250319001141,11011,2024,00513948,142280,CFS,연결재무제표,BS,재무상태표,유동부채,제 22 기,2024.12.31 현재,"37,122,888,853",제 21 기,2023.12.31 현재,"46,527,717,119",제 20 기,2022.12.31 현재,"39,487,675,277",7,KRW
20250319001141,11011,2024,00513948,142280,CFS,연결재무제표,BS,재무상태표,비유동부채,제 22 기,2024.12.31 현재,"7,422,887,500",제 21 기,2023.12.31 현재,"7,078,148,594",제 20 기,2022.12.31 현재,"21,332,458,272",9,KRW
20250319001141,11011,2024,00513948,142280,CFS,연결재무제표,BS,재무상태표,부채총계,제 22 기,2024.12.31 현재,"44,545,776,353",제 21 기,2023.12.31 현재,"53,605,865,713",제 20 기,2022.12.31 현재,"60,820,133,549",11,KRW
20250319001141,11011,2024,00513948,142280,CFS,연결재무제표,BS,재무상태표,자본금,제 22 기,2024.12.31 현재,"10,870,963,000",제 21 기,2023.12.31 현재,"10,558,641,500",제 20 기,2022.12.31 현재,"10,558,641,500",13,KRW
20250319001141,11011,2024,00513948,142280,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 22 기,2024.12.31 현재,"4,115,255,566",제 21 기,2023.12.31 현재,"571,516,328",제 20 기,2022.12.31 현재,"-672,872,604",17,KRW
20250319001141,11011,2024,00513948,142280,CFS,연결재무제표,BS,재무상태표,자본총계,제 22 기,2024.12.31 현재,"43,428,750,520",제 21 기,2023.12.31 현재,"36,923,477,377",제 20 기,2022.12.31 현재,"35,650,537,598",21,KRW
20250319001141,11011,2024,00513948,142280,CFS,연결재무제표,IS,손익계산서,매출액,제 22 기,2024.01.01 ~ 2024.12.31,"103,852,287,192",제 21 기,2023.01.01 ~ 2023.12.31,"94,010,675,488",제 20 기,2022.01.01 ~ 2022.12.31,"113,109,118,702",23,KRW
