rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250321000601,11011,2024,00442826,078140,CFS,연결재무제표,BS,재무상태표,유동자산,제 39 기,2024.12.31 현재,"115,173,596,687",제 38 기,2023.12.31 현재,"113,183,602,566",제 37 기,2022.12.31 현재,"130,218,025,434",1,KRW
20250321000601,11011,2024,00442826,078140,CFS,연결재무제표,BS,재무상태표,비유동자산,제 39 기,2024.12.31 현재,"123,539,255,792",제 38 기,2023.12.31 현재,"81,736,320,376",제 37 기,2022.12.31 현재,"55,918,878,760",3,KRW
20250321000601,11011,2024,00442826,078140,CFS,연결재무제표,BS,재무상태표,자산총계,제 39 기,2024.12.31 현재,"238,712,852,479",제 38 기,2023.12.31 현재,"194,919,922,942",제 37 기,2022.12.31 현재,"186,136,904,194",5,KRW
20250321000601,11011,2024,00442826,078140,CFS,연결재무제표,BS,재무상태표,유동부채,제 39 기,2024.12.31 현재,"40,048,963,342",제 38 기,2023.12.31 현재,"40,850,681,748",제 37 기,2022.12.31 현재,"34,838,634,923",7,KRW
20250321000601,11011,2024,00442826,078140,CFS,연결재무제표,BS,재무상태표,비유동부채,제 39 기,2024.12.31 현재,"34,671,375,190",제 38 기,2023.12.31 현재,"842,878,254",제 37 기,2022.12.31 현재,"2,857,789,293",9,KRW
20250321000601,11011,2024,00442826,078140,CFS,연결재무제표,BS,재무상태표,부채총계,제 39 기,2024.12.31 현재,"74,720,338,532",제 38 기,2023.12.31 현재,"41,693,560,002",제 37 기,2022.12.31 현재,"37,696,424,216",11,KRW
20250321000601,11011,2024,00442826,078140,CFS,연결재무제표,BS,재무상태표,자본금,제 39 기,2024.12.31 현재,"5,543,289,500",제 38 기,2023.12.31 현재,"5,543,289,500",제 37 기,2022.12.31 현재,"5,543,289,500",13,KRW
20250321000601,11011,2024,00442826,078140,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 39 기,2024.12.31 현재,"98,415,652,765",제 38 기,2023.12.31 현재,"91,623,602,081",제 37 기,2022.12.31 현재,"87,988,838,339",17,KRW
20250321000601,11011,2024,00442826,078140,CFS,연결재무제표,BS,재무상태표,자본총계,제 39 기,2024.12.31 현재,"163,992,513,947",제 38 기,2023.12.31 현재,"153,226,362,940",제 37 기,2022.12.31 현재,"148,440,479,978",21,KRW
20250321000601,11011,2024,00442826,078140,CFS,연결재무제표,IS,손익계산서,매출액,제 39 기,2024.01.01 ~ 2024.12.31,"93,953,561,154",제 38 기,2023.01.01 ~ 2023.12.31,"87,622,205,173",제 37 기,2022.01.01 ~ 2022.12.31,"93,504,353,114",23,KRW
20250321000601,11011,2024,00442826,078140,CFS,연결재무제표,IS,손익계산서,영업이익,제 39 기,2024.01.01 ~ 2024.12.31,"9,053,878,830",제 38 기,2023.01.01 ~ 2023.12.31,"3,800,763,406",제 37 기,2022.01.01 ~ 2022.12.31,"8,174,396,525",25,KRW
20250321000601,11011,2024,00442826,078140,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 39 기,2024.01.01 ~ 2024.12.31,"11,166,220,903",제 38 기,2023.01.01 ~ 2023.12.31,"6,304,738,936",제 37 기,2022.01.01 ~ 2022.12.31,"10,712,696,989",27,KRW
20250321000601,11011,2024,00442826,078140,CFS,연결재무제표,IS,손익계산서,당기순이익,제 39 기,2024.01.01 ~ 2024.12.31,"9,686,688,886",제 38 기,2023.01.01 ~ 2023.12.31,"6,181,779,860",제 37 기,2022.01.01 ~ 2022.12.31,"11,793,863,338",29,KRW
20250321000601,11011,2024,00442826,078140,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 39 기,2024.01.01 ~ 2024.12.31,"9,686,688,886",제 38 기,2023.01.01 ~ 2023.12.31,"6,181,779,860",제 37 기,2022.01.01 ~ 2022.12.31,"11,793,863,338",61,KRW
20250321000601,11011,2024,00442826,078140,CFS,연결재무제표,IS,손익계산서,총포괄손익,제 39 기,2024.01.01 ~ 2024.12.31,"9,686,688,886",제 38 기,2023.01.01 ~ 2023.12.31,"6,181,779,860",제 37 기,2022.01.01 ~ 2022.12.31,"11,798,643,144",63,KRW
20250321000601,11011,2024,00442826,078140,OFS,재무제표,BS,재무상태표,유동자산,제 39 기,2024.12.31 현재,"66,967,064,809",제 38 기,2023.12.31 현재,"61,988,168,121",제 37 기,2022.12.31 현재,"69,795,959,856",2,KRW
20250321000601,11011,2024,00442826,078140,OFS,재무제표,BS,재무상태표,비유동자산,제 39 기,2024.12.31 현재,"89,576,213,074",제 38 기,2023.12.31 현재,"55,566,163,759",제 37 기,2022.12.31 현재,"41,798,021,924",4,KRW
20250321000601,11011,2024,00442826,078140,OFS,재무제표,BS,재무상태표,자산총계,제 39 기,2024.12.31 현재,"156,543,277,883",제 38 기,2023.12.31 현재,"117,554,331,880",제 37 기,2022.12.31 현재,"111,593,981,780",6,KRW
20250321000601,11011,2024,00442826,078140,OFS,재무제표,BS,재무상태표,유동부채,제 39 기,2024.12.31 현재,"35,258,398,928",제 38 기,2023.12.31 현재,"38,146,110,278",제 37 기,2022.12.31 현재,"31,689,711,681",8,KRW
20250321000601,11011,2024,00442826,078140,OFS,재무제표,BS,재무상태표,비유동부채,제 39 기,2024.12.31 현재,"34,110,855,572",제 38 기,2023.12.31 현재,"237,661,730",제 37 기,2022.12.31 현재,"1,908,688,085",10,KRW
20250321000601,11011,2024,00442826,078140,OFS,재무제표,BS,재무상태표,부채총계,제 39 기,2024.12.31 현재,"69,369,254,500",제 38 기,2023.12.31 현재,"38,383,772,008",제 37 기,2022.12.31 현재,"33,598,399,766",12,KRW
20250321000601,11011,2024,00442826,078140,OFS,재무제표,BS,재무상태표,자본금,제 39 기,2024.12.31 현재,"5,543,289,500",제 38 기,2023.12.31 현재,"5,543,289,500",제 37 기,2022.12.31 현재,"5,543,289,500",15,KRW
20250321000601,11011,2024,00442826,078140,OFS,재무제표,BS,재무상태표,이익잉여금,제 39 기,2024.12.31 현재,"72,496,104,204",제 38 기,2023.12.31 현재,"68,868,428,999",제 37 기,2022.12.31 현재,"67,693,451,141",19,KRW
20250321000601,11011,2024,00442826,078140,OFS,재무제표,BS,재무상태표,자본총계,제 39 기,2024.12.31 현재,"87,174,023,383",제 38 기,2023.12.31 현재,"79,170,559,872",제 37 기,2022.12.31 현재,"77,995,582,014",22,KRW
20250321000601,11011,2024,00442826,078140,OFS,재무제표,IS,손익계산서,매출액,제 39 기,2024.01.01 ~ 2024.12.31,"75,817,303,589",제 38 기,2023.01.01 ~ 2023.12.31,"72,504,826,337",제 37 기,2022.01.01 ~ 2022.12.31,"75,236,177,365",24,KRW
20250321000601,11011,2024,00442826,078140,OFS,재무제표,IS,손익계산서,영업이익,제 39 기,2024.01.01 ~ 2024.12.31,"6,474,670,129",제 38 기,2023.01.01 ~ 2023.12.31,"2,419,623,234",제 37 기,2022.01.01 ~ 2022.12.31,"2,591,612,239",26,KRW
20250321000601,11011,2024,00442826,078140,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 39 기,2024.01.01 ~ 2024.12.31,"4,537,116,792",제 38 기,2023.01.01 ~ 2023.12.31,"1,395,829,388",제 37 기,2022.01.01 ~ 2022.12.31,"3,090,839,685",28,KRW
20250321000601,11011,2024,00442826,078140,OFS,재무제표,IS,손익계산서,당기순이익,제 39 기,2024.01.01 ~ 2024.12.31,"4,175,083,655",제 38 기,2023.01.01 ~ 2023.12.31,"1,722,386,308",제 37 기,2022.01.01 ~ 2022.12.31,"3,039,859,945",30,KRW
20250321000601,11011,2024,00442826,078140,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 39 기,2024.01.01 ~ 2024.12.31,"4,175,083,655",제 38 기,2023.01.01 ~ 2023.12.31,"1,722,386,308",제 37 기,2022.01.01 ~ 2022.12.31,"3,039,859,945",62,KRW
20250321000601,11011,2024,00442826,078140,OFS,재무제표,IS,손익계산서,총포괄손익,제 39 기,2024.01.01 ~ 2024.12.31,"4,175,083,655",제 38 기,2023.01.01 ~ 2023.12.31,"1,722,386,308",제 37 기,2022.01.01 ~ 2022.12.31,"3,044,639,751",64,KRW
