rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20240613000108,11011,2024,00110875,020180,OFS,재무제표,BS,재무상태표,유동자산,제 37 기,2024.03.31 현재,"85,740,834,463",제 36 기,2023.03.31 현재,"70,400,166,517",제 35 기,2022.03.31 현재,"58,050,718,973",2,KRW
20240613000108,11011,2024,00110875,020180,OFS,재무제표,BS,재무상태표,비유동자산,제 37 기,2024.03.31 현재,"18,712,634,993",제 36 기,2023.03.31 현재,"14,681,674,829",제 35 기,2022.03.31 현재,"26,076,668,645",4,KRW
20240613000108,11011,2024,00110875,020180,OFS,재무제표,BS,재무상태표,자산총계,제 37 기,2024.03.31 현재,"104,453,469,456",제 36 기,2023.03.31 현재,"85,081,841,346",제 35 기,2022.03.31 현재,"84,127,387,618",6,KRW
20240613000108,11011,2024,00110875,020180,OFS,재무제표,BS,재무상태표,유동부채,제 37 기,2024.03.31 현재,"42,052,414,161",제 36 기,2023.03.31 현재,"55,301,503,334",제 35 기,2022.03.31 현재,"44,438,474,973",8,KRW
20240613000108,11011,2024,00110875,020180,OFS,재무제표,BS,재무상태표,비유동부채,제 37 기,2024.03.31 현재,"28,017,249,167",제 36 기,2023.03.31 현재,"1,195,122,036",제 35 기,2022.03.31 현재,"10,671,050,356",10,KRW
20240613000108,11011,2024,00110875,020180,OFS,재무제표,BS,재무상태표,부채총계,제 37 기,2024.03.31 현재,"70,069,663,328",제 36 기,2023.03.31 현재,"56,496,625,370",제 35 기,2022.03.31 현재,"55,109,525,329",12,KRW
20240613000108,11011,2024,00110875,020180,OFS,재무제표,BS,재무상태표,자본금,제 37 기,2024.03.31 현재,"19,214,457,500",제 36 기,2023.03.31 현재,"19,214,457,500",제 35 기,2022.03.31 현재,"19,214,457,500",15,KRW
20240613000108,11011,2024,00110875,020180,OFS,재무제표,BS,재무상태표,이익잉여금,제 37 기,2024.03.31 현재,"14,719,708,356",제 36 기,2023.03.31 현재,"8,921,118,204",제 35 기,2022.03.31 현재,"9,353,764,517",19,KRW
20240613000108,11011,2024,00110875,020180,OFS,재무제표,BS,재무상태표,자본총계,제 37 기,2024.03.31 현재,"34,383,806,128",제 36 기,2023.03.31 현재,"28,585,215,976",제 35 기,2022.03.31 현재,"29,017,862,289",22,KRW
20240613000108,11011,2024,00110875,020180,OFS,재무제표,IS,손익계산서,매출액,제 37 기,2023.04.01 ~ 2024.03.31,"256,790,690,611",제 36 기,2022.04.01 ~ 2023.03.31,"228,487,621,631",제 35 기,2021.04.01 ~ 2022.03.31,"180,570,933,137",24,KRW
20240613000108,11011,2024,00110875,020180,OFS,재무제표,IS,손익계산서,영업이익,제 37 기,2023.04.01 ~ 2024.03.31,"8,839,861,270",제 36 기,2022.04.01 ~ 2023.03.31,"4,175,255,751",제 35 기,2021.04.01 ~ 2022.03.31,"2,283,442,332",26,KRW
20240613000108,11011,2024,00110875,020180,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 37 기,2023.04.01 ~ 2024.03.31,"8,344,517,766",제 36 기,2022.04.01 ~ 2023.03.31,"114,526,930",제 35 기,2021.04.01 ~ 2022.03.31,"2,679,509,309",28,KRW
20240613000108,11011,2024,00110875,020180,OFS,재무제표,IS,손익계산서,당기순이익,제 37 기,2023.04.01 ~ 2024.03.31,"6,567,168,452",제 36 기,2022.04.01 ~ 2023.03.31,"-48,357,163",제 35 기,2021.04.01 ~ 2022.03.31,"2,049,848,590",30,KRW
20240613000108,11011,2024,00110875,020180,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 37 기,2023.04.01 ~ 2024.03.31,"6,567,168,452",제 36 기,2022.04.01 ~ 2023.03.31,"-48,357,163",제 35 기,2021.04.01 ~ 2022.03.31,"2,049,848,590",62,KRW
20240613000108,11011,2024,00110875,020180,OFS,재무제표,IS,손익계산서,총포괄손익,제 37 기,2023.04.01 ~ 2024.03.31,"6,567,168,452",제 36 기,2022.04.01 ~ 2023.03.31,"-48,357,163",제 35 기,2021.04.01 ~ 2022.03.31,"2,049,848,590",64,KRW
