rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250331002969,11011,2024,00111227,006580,CFS,연결재무제표,BS,재무상태표,유동자산,제 55 기,2024.12.31 현재,"54,203,184,926",제 54 기,2023.12.31 현재,"64,054,073,087",제 53 기,2022.12.31 현재,"64,280,036,684",1,KRW
20250331002969,11011,2024,00111227,006580,CFS,연결재무제표,BS,재무상태표,비유동자산,제 55 기,2024.12.31 현재,"145,960,707,776",제 54 기,2023.12.31 현재,"155,226,700,406",제 53 기,2022.12.31 현재,"158,613,730,466",3,KRW
20250331002969,11011,2024,00111227,006580,CFS,연결재무제표,BS,재무상태표,자산총계,제 55 기,2024.12.31 현재,"200,163,892,702",제 54 기,2023.12.31 현재,"219,280,773,493",제 53 기,2022.12.31 현재,"222,893,767,150",5,KRW
20250331002969,11011,2024,00111227,006580,CFS,연결재무제표,BS,재무상태표,유동부채,제 55 기,2024.12.31 현재,"59,778,408,245",제 54 기,2023.12.31 현재,"58,685,619,193",제 53 기,2022.12.31 현재,"56,084,406,003",7,KRW
20250331002969,11011,2024,00111227,006580,CFS,연결재무제표,BS,재무상태표,비유동부채,제 55 기,2024.12.31 현재,"9,258,896,527",제 54 기,2023.12.31 현재,"18,326,007,528",제 53 기,2022.12.31 현재,"22,160,558,649",9,KRW
20250331002969,11011,2024,00111227,006580,CFS,연결재무제표,BS,재무상태표,부채총계,제 55 기,2024.12.31 현재,"69,037,304,772",제 54 기,2023.12.31 현재,"77,011,626,721",제 53 기,2022.12.31 현재,"78,244,964,652",11,KRW
20250331002969,11011,2024,00111227,006580,CFS,연결재무제표,BS,재무상태표,자본금,제 55 기,2024.12.31 현재,"13,425,000,000",제 54 기,2023.12.31 현재,"13,425,000,000",제 53 기,2022.12.31 현재,"13,425,000,000",13,KRW
20250331002969,11011,2024,00111227,006580,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 55 기,2024.12.31 현재,"122,896,485,943",제 54 기,2023.12.31 현재,"130,300,436,104",제 53 기,2022.12.31 현재,"130,926,765,447",17,KRW
20250331002969,11011,2024,00111227,006580,CFS,연결재무제표,BS,재무상태표,자본총계,제 55 기,2024.12.31 현재,"131,126,587,930",제 54 기,2023.12.31 현재,"142,269,146,772",제 53 기,2022.12.31 현재,"144,648,802,498",21,KRW
20250331002969,11011,2024,00111227,006580,CFS,연결재무제표,IS,손익계산서,매출액,제 55 기,2024.01.01 ~ 2024.12.31,"151,231,188,273",제 54 기,2023.01.01 ~ 2023.12.31,"150,194,757,687",제 53 기,2022.01.01 ~ 2022.12.31,"123,341,096,051",23,KRW
20250331002969,11011,2024,00111227,006580,CFS,연결재무제표,IS,손익계산서,영업이익,제 55 기,2024.01.01 ~ 2024.12.31,"-6,769,954,282",제 54 기,2023.01.01 ~ 2023.12.31,"-2,030,592,190",제 53 기,2022.01.01 ~ 2022.12.31,"-6,819,166,436",25,KRW
20250331002969,11011,2024,00111227,006580,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 55 기,2024.01.01 ~ 2024.12.31,"-7,786,252,792",제 54 기,2023.01.01 ~ 2023.12.31,"-1,518,435,274",제 53 기,2022.01.01 ~ 2022.12.31,"-4,164,340,556",27,KRW
20250331002969,11011,2024,00111227,006580,CFS,연결재무제표,IS,손익계산서,당기순이익,제 55 기,2024.01.01 ~ 2024.12.31,"-10,087,007,541",제 54 기,2023.01.01 ~ 2023.12.31,"-1,349,190,619",제 53 기,2022.01.01 ~ 2022.12.31,"-3,126,714,334",29,KRW
20250331002969,11011,2024,00111227,006580,CFS,연결재무제표,BS,재무상태표,당기손익-공정가치측정금융자산,제 55 기,2024.12.31 현재,"32,127,400",제 54 기,2023.12.31 현재,"32,127,400",제 53 기,2022.12.31 현재,0,35,KRW
20250331002969,11011,2024,00111227,006580,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 55 기,2024.01.01 ~ 2024.12.31,"-10,087,007,541",제 54 기,2023.01.01 ~ 2023.12.31,"-1,349,190,619",제 53 기,2022.01.01 ~ 2022.12.31,"-3,126,714,334",61,KRW
20250331002969,11011,2024,00111227,006580,CFS,연결재무제표,IS,손익계산서,총포괄손익,제 55 기,2024.01.01 ~ 2024.12.31,"-11,142,558,842",제 54 기,2023.01.01 ~ 2023.12.31,"-2,331,066,646",제 53 기,2022.01.01 ~ 2022.12.31,"-2,765,786,769",63,KRW
20250331002969,11011,2024,00111227,006580,OFS,재무제표,BS,재무상태표,유동자산,제 55 기,2024.12.31 현재,"31,637,664,155",제 54 기,2023.12.31 현재,"40,190,991,053",제 53 기,2022.12.31 현재,"39,171,671,356",2,KRW
20250331002969,11011,2024,00111227,006580,OFS,재무제표,BS,재무상태표,비유동자산,제 55 기,2024.12.31 현재,"103,684,266,005",제 54 기,2023.12.31 현재,"111,757,850,149",제 53 기,2022.12.31 현재,"118,396,073,342",4,KRW
20250331002969,11011,2024,00111227,006580,OFS,재무제표,BS,재무상태표,자산총계,제 55 기,2024.12.31 현재,"135,321,930,160",제 54 기,2023.12.31 현재,"151,948,841,202",제 53 기,2022.12.31 현재,"157,567,744,698",6,KRW
20250331002969,11011,2024,00111227,006580,OFS,재무제표,BS,재무상태표,유동부채,제 55 기,2024.12.31 현재,"4,396,616,475",제 54 기,2023.12.31 현재,"7,089,816,133",제 53 기,2022.12.31 현재,"7,425,657,956",8,KRW
20250331002969,11011,2024,00111227,006580,OFS,재무제표,BS,재무상태표,비유동부채,제 55 기,2024.12.31 현재,"8,394,024,265",제 54 기,2023.12.31 현재,"19,155,351,985",제 53 기,2022.12.31 현재,"22,065,378,330",10,KRW
