rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250320000948,11011,2024,00111874,005710,CFS,연결재무제표,BS,재무상태표,유동자산,제 57 기,2024.12.31 현재,"543,956,820,532",제 56 기,2023.12.31 현재,"400,286,890,999",제 55 기,2022.12.31 현재,"396,902,640,643",1,KRW
20250320000948,11011,2024,00111874,005710,CFS,연결재무제표,BS,재무상태표,비유동자산,제 57 기,2024.12.31 현재,"167,769,683,162",제 56 기,2023.12.31 현재,"164,403,888,068",제 55 기,2022.12.31 현재,"162,411,817,172",3,KRW
20250320000948,11011,2024,00111874,005710,CFS,연결재무제표,BS,재무상태표,자산총계,제 57 기,2024.12.31 현재,"711,726,503,694",제 56 기,2023.12.31 현재,"564,690,779,067",제 55 기,2022.12.31 현재,"559,314,457,815",5,KRW
20250320000948,11011,2024,00111874,005710,CFS,연결재무제표,BS,재무상태표,유동부채,제 57 기,2024.12.31 현재,"188,873,443,976",제 56 기,2023.12.31 현재,"104,619,450,370",제 55 기,2022.12.31 현재,"126,737,297,050",7,KRW
20250320000948,11011,2024,00111874,005710,CFS,연결재무제표,BS,재무상태표,비유동부채,제 57 기,2024.12.31 현재,"10,458,472,349",제 56 기,2023.12.31 현재,"14,315,569,751",제 55 기,2022.12.31 현재,"14,914,798,958",9,KRW
20250320000948,11011,2024,00111874,005710,CFS,연결재무제표,BS,재무상태표,부채총계,제 57 기,2024.12.31 현재,"199,331,916,325",제 56 기,2023.12.31 현재,"118,935,020,121",제 55 기,2022.12.31 현재,"141,652,096,008",11,KRW
20250320000948,11011,2024,00111874,005710,CFS,연결재무제표,BS,재무상태표,자본금,제 57 기,2024.12.31 현재,"10,018,800,000",제 56 기,2023.12.31 현재,"10,018,800,000",제 55 기,2022.12.31 현재,"10,018,800,000",13,KRW
20250320000948,11011,2024,00111874,005710,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 57 기,2024.12.31 현재,"487,738,775,463",제 56 기,2023.12.31 현재,"424,080,306,437",제 55 기,2022.12.31 현재,"394,824,732,837",17,KRW
20250320000948,11011,2024,00111874,005710,CFS,연결재무제표,BS,재무상태표,자본총계,제 57 기,2024.12.31 현재,"512,394,587,369",제 56 기,2023.12.31 현재,"445,755,758,946",제 55 기,2022.12.31 현재,"417,662,361,807",21,KRW
20250320000948,11011,2024,00111874,005710,CFS,연결재무제표,IS,손익계산서,매출액,제 57 기,2024.01.01 ~ 2024.12.31,"931,473,122,460",제 56 기,2023.01.01 ~ 2023.12.31,"777,688,827,197",제 55 기,2022.01.01 ~ 2022.12.31,"736,229,920,189",23,KRW
20250320000948,11011,2024,00111874,005710,CFS,연결재무제표,IS,손익계산서,영업이익,제 57 기,2024.01.01 ~ 2024.12.31,"74,982,105,084",제 56 기,2023.01.01 ~ 2023.12.31,"47,240,755,346",제 55 기,2022.01.01 ~ 2022.12.31,"31,537,093,511",25,KRW
20250320000948,11011,2024,00111874,005710,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 57 기,2024.01.01 ~ 2024.12.31,"94,050,682,567",제 56 기,2023.01.01 ~ 2023.12.31,"51,154,120,052",제 55 기,2022.01.01 ~ 2022.12.31,"50,932,030,616",27,KRW
20250320000948,11011,2024,00111874,005710,CFS,연결재무제표,IS,손익계산서,당기순이익,제 57 기,2024.01.01 ~ 2024.12.31,"72,618,867,841",제 56 기,2023.01.01 ~ 2023.12.31,"35,740,066,596",제 55 기,2022.01.01 ~ 2022.12.31,"37,657,871,675",29,KRW
20250320000948,11011,2024,00111874,005710,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 57 기,2024.01.01 ~ 2024.12.31,"72,618,867,841",제 56 기,2023.01.01 ~ 2023.12.31,"35,740,066,596",제 55 기,2022.01.01 ~ 2022.12.31,"37,657,871,675",61,KRW
20250320000948,11011,2024,00111874,005710,CFS,연결재무제표,IS,손익계산서,총포괄손익,제 57 기,2024.01.01 ~ 2024.12.31,"70,389,621,591",제 56 기,2023.01.01 ~ 2023.12.31,"31,599,977,139",제 55 기,2022.01.01 ~ 2022.12.31,"48,358,645,919",63,KRW
20250320000948,11011,2024,00111874,005710,OFS,재무제표,BS,재무상태표,유동자산,제 57 기,2024.12.31 현재,"489,238,146,801",제 56 기,2023.12.31 현재,"349,162,451,624",제 55 기,2022.12.31 현재,"326,988,336,937",2,KRW
20250320000948,11011,2024,00111874,005710,OFS,재무제표,BS,재무상태표,비유동자산,제 57 기,2024.12.31 현재,"132,832,823,842",제 56 기,2023.12.31 현재,"139,114,984,704",제 55 기,2022.12.31 현재,"152,338,819,488",4,KRW
20250320000948,11011,2024,00111874,005710,OFS,재무제표,BS,재무상태표,자산총계,제 57 기,2024.12.31 현재,"622,070,970,643",제 56 기,2023.12.31 현재,"488,277,436,328",제 55 기,2022.12.31 현재,"479,327,156,425",6,KRW
20250320000948,11011,2024,00111874,005710,OFS,재무제표,BS,재무상태표,유동부채,제 57 기,2024.12.31 현재,"166,195,625,303",제 56 기,2023.12.31 현재,"71,922,433,935",제 55 기,2022.12.31 현재,"90,766,969,135",8,KRW
20250320000948,11011,2024,00111874,005710,OFS,재무제표,BS,재무상태표,비유동부채,제 57 기,2024.12.31 현재,"8,994,738,871",제 56 기,2023.12.31 현재,"11,410,999,756",제 55 기,2022.12.31 현재,"14,254,102,403",10,KRW
20250320000948,11011,2024,00111874,005710,OFS,재무제표,BS,재무상태표,부채총계,제 57 기,2024.12.31 현재,"175,190,364,174",제 56 기,2023.12.31 현재,"83,333,433,691",제 55 기,2022.12.31 현재,"105,021,071,538",12,KRW
20250320000948,11011,2024,00111874,005710,OFS,재무제표,BS,재무상태표,자본금,제 57 기,2024.12.31 현재,"10,018,800,000",제 56 기,2023.12.31 현재,"10,018,800,000",제 55 기,2022.12.31 현재,"10,018,800,000",15,KRW
20250320000948,11011,2024,00111874,005710,OFS,재무제표,BS,재무상태표,이익잉여금,제 57 기,2024.12.31 현재,"439,174,183,087",제 56 기,2023.12.31 현재,"394,887,928,385",제 55 기,2022.12.31 현재,"366,704,854,688",19,KRW
