rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20230315000243,11011,2022,00250997,120240,OFS,재무제표,BS,재무상태표,유동자산,제 37 기,2022.12.31 현재,"74,362,558,735",제 36 기,2021.12.31 현재,"71,304,992,566",제 35 기,2020.12.31 현재,"71,223,991,645",2,KRW
20230315000243,11011,2022,00250997,120240,OFS,재무제표,BS,재무상태표,비유동자산,제 37 기,2022.12.31 현재,"99,436,855,051",제 36 기,2021.12.31 현재,"91,665,786,624",제 35 기,2020.12.31 현재,"89,780,387,719",4,KRW
20230315000243,11011,2022,00250997,120240,OFS,재무제표,BS,재무상태표,자산총계,제 37 기,2022.12.31 현재,"173,799,413,786",제 36 기,2021.12.31 현재,"162,970,779,190",제 35 기,2020.12.31 현재,"161,004,379,364",6,KRW
20230315000243,11011,2022,00250997,120240,OFS,재무제표,BS,재무상태표,유동부채,제 37 기,2022.12.31 현재,"23,139,515,774",제 36 기,2021.12.31 현재,"23,914,030,489",제 35 기,2020.12.31 현재,"27,163,119,817",8,KRW
20230315000243,11011,2022,00250997,120240,OFS,재무제표,BS,재무상태표,비유동부채,제 37 기,2022.12.31 현재,"4,025,807,809",제 36 기,2021.12.31 현재,"3,993,684,449",제 35 기,2020.12.31 현재,"5,871,922,220",10,KRW
20230315000243,11011,2022,00250997,120240,OFS,재무제표,BS,재무상태표,부채총계,제 37 기,2022.12.31 현재,"27,165,323,583",제 36 기,2021.12.31 현재,"27,907,714,938",제 35 기,2020.12.31 현재,"33,035,042,037",12,KRW
20230315000243,11011,2022,00250997,120240,OFS,재무제표,BS,재무상태표,자본금,제 37 기,2022.12.31 현재,"3,595,195,500",제 36 기,2021.12.31 현재,"3,595,195,500",제 35 기,2020.12.31 현재,"3,567,695,500",15,KRW
20230315000243,11011,2022,00250997,120240,OFS,재무제표,BS,재무상태표,이익잉여금,제 37 기,2022.12.31 현재,"95,586,270,394",제 36 기,2021.12.31 현재,"83,995,958,557",제 35 기,2020.12.31 현재,"78,213,357,280",19,KRW
20230315000243,11011,2022,00250997,120240,OFS,재무제표,BS,재무상태표,자본총계,제 37 기,2022.12.31 현재,"146,634,090,203",제 36 기,2021.12.31 현재,"135,063,064,252",제 35 기,2020.12.31 현재,"127,969,337,327",22,KRW
20230315000243,11011,2022,00250997,120240,OFS,재무제표,IS,손익계산서,매출액,제 37 기,2022.01.01 ~ 2022.12.31,"96,607,882,674",제 36 기,2021.01.01 ~ 2021.12.31,"88,928,805,830",제 35 기,2020.01.01 ~ 2020.12.31,"80,191,667,650",24,KRW
20230315000243,11011,2022,00250997,120240,OFS,재무제표,IS,손익계산서,영업이익,제 37 기,2022.01.01 ~ 2022.12.31,"11,592,433,055",제 36 기,2021.01.01 ~ 2021.12.31,"7,898,935,273",제 35 기,2020.01.01 ~ 2020.12.31,"10,126,813,632",26,KRW
20230315000243,11011,2022,00250997,120240,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 37 기,2022.01.01 ~ 2022.12.31,"16,787,619,640",제 36 기,2021.01.01 ~ 2021.12.31,"10,348,286,775",제 35 기,2020.01.01 ~ 2020.12.31,"10,887,952,623",28,KRW
20230315000243,11011,2022,00250997,120240,OFS,재무제표,IS,손익계산서,당기순이익,제 37 기,2022.01.01 ~ 2022.12.31,"13,742,269,137",제 36 기,2021.01.01 ~ 2021.12.31,"8,445,026,040",제 35 기,2020.01.01 ~ 2020.12.31,"8,913,116,804",30,KRW
20230315000243,11011,2022,00250997,120240,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 37 기,2022.01.01 ~ 2022.12.31,"13,742,269,137",제 36 기,2021.01.01 ~ 2021.12.31,"8,445,026,040",제 35 기,2020.01.01 ~ 2020.12.31,"8,913,116,804",62,KRW
