rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20240321000893,11011,2023,00112679,015230,CFS,연결재무제표,BS,재무상태표,유동자산,제 43 기,2023.12.31 현재,"221,515,052,129",제 42 기,2022.12.31 현재,"230,719,006,603",제 41 기,2021.12.31 현재,"197,022,439,194",1,KRW
20240321000893,11011,2023,00112679,015230,CFS,연결재무제표,BS,재무상태표,비유동자산,제 43 기,2023.12.31 현재,"113,236,796,985",제 42 기,2022.12.31 현재,"107,509,483,605",제 41 기,2021.12.31 현재,"101,455,979,646",3,KRW
20240321000893,11011,2023,00112679,015230,CFS,연결재무제표,BS,재무상태표,자산총계,제 43 기,2023.12.31 현재,"334,751,849,114",제 42 기,2022.12.31 현재,"338,228,490,208",제 41 기,2021.12.31 현재,"298,478,418,840",5,KRW
20240321000893,11011,2023,00112679,015230,CFS,연결재무제표,BS,재무상태표,유동부채,제 43 기,2023.12.31 현재,"37,308,575,376",제 42 기,2022.12.31 현재,"61,283,024,353",제 41 기,2021.12.31 현재,"52,198,079,668",7,KRW
20240321000893,11011,2023,00112679,015230,CFS,연결재무제표,BS,재무상태표,비유동부채,제 43 기,2023.12.31 현재,"24,904,616,309",제 42 기,2022.12.31 현재,"34,548,145,372",제 41 기,2021.12.31 현재,"19,113,901,110",9,KRW
20240321000893,11011,2023,00112679,015230,CFS,연결재무제표,BS,재무상태표,부채총계,제 43 기,2023.12.31 현재,"62,213,191,685",제 42 기,2022.12.31 현재,"95,831,169,725",제 41 기,2021.12.31 현재,"71,311,980,778",11,KRW
20240321000893,11011,2023,00112679,015230,CFS,연결재무제표,BS,재무상태표,자본금,제 43 기,2023.12.31 현재,"14,286,115,000",제 42 기,2022.12.31 현재,"14,286,115,000",제 41 기,2021.12.31 현재,"14,286,115,000",13,KRW
20240321000893,11011,2023,00112679,015230,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 43 기,2023.12.31 현재,"269,623,238,848",제 42 기,2022.12.31 현재,"240,694,629,481",제 41 기,2021.12.31 현재,"207,190,154,594",17,KRW
20240321000893,11011,2023,00112679,015230,CFS,연결재무제표,BS,재무상태표,자본총계,제 43 기,2023.12.31 현재,"272,538,657,429",제 42 기,2022.12.31 현재,"242,397,320,483",제 41 기,2021.12.31 현재,"227,166,438,062",21,KRW
20240321000893,11011,2023,00112679,015230,CFS,연결재무제표,IS,손익계산서,매출액,제 43 기,2023.01.01 ~ 2023.12.31,"372,122,590,244",제 42 기,2022.01.01 ~ 2022.12.31,"421,497,657,834",제 41 기,2021.01.01 ~ 2021.12.31,"354,439,661,796",23,KRW
20240321000893,11011,2023,00112679,015230,CFS,연결재무제표,IS,손익계산서,영업이익,제 43 기,2023.01.01 ~ 2023.12.31,"46,442,960,961",제 42 기,2022.01.01 ~ 2022.12.31,"49,857,119,260",제 41 기,2021.01.01 ~ 2021.12.31,"29,506,417,898",25,KRW
20240321000893,11011,2023,00112679,015230,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 43 기,2023.01.01 ~ 2023.12.31,"48,846,444,852",제 42 기,2022.01.01 ~ 2022.12.31,"56,997,948,957",제 41 기,2021.01.01 ~ 2021.12.31,"36,863,983,404",27,KRW
20240321000893,11011,2023,00112679,015230,CFS,연결재무제표,IS,손익계산서,당기순이익,제 43 기,2023.01.01 ~ 2023.12.31,"33,910,342,318",제 42 기,2022.01.01 ~ 2022.12.31,"40,053,758,985",제 41 기,2021.01.01 ~ 2021.12.31,"28,223,118,436",29,KRW
20240321000893,11011,2023,00112679,015230,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 43 기,2023.01.01 ~ 2023.12.31,"33,910,342,318",제 42 기,2022.01.01 ~ 2022.12.31,"40,053,758,985",제 41 기,2021.01.01 ~ 2021.12.31,"28,223,118,436",61,KRW
20240321000893,11011,2023,00112679,015230,CFS,연결재무제표,IS,손익계산서,총포괄손익,제 43 기,2023.01.01 ~ 2023.12.31,"34,440,057,956",제 42 기,2022.01.01 ~ 2022.12.31,"42,893,435,864",제 41 기,2021.01.01 ~ 2021.12.31,"31,090,912,956",63,KRW
20240321000893,11011,2023,00112679,015230,OFS,재무제표,BS,재무상태표,유동자산,제 43 기,2023.12.31 현재,"154,386,405,771",제 42 기,2022.12.31 현재,"152,034,344,461",제 41 기,2021.12.31 현재,"133,533,774,980",2,KRW
20240321000893,11011,2023,00112679,015230,OFS,재무제표,BS,재무상태표,비유동자산,제 43 기,2023.12.31 현재,"94,830,844,800",제 42 기,2022.12.31 현재,"98,317,739,544",제 41 기,2021.12.31 현재,"68,049,606,866",4,KRW
20240321000893,11011,2023,00112679,015230,OFS,재무제표,BS,재무상태표,자산총계,제 43 기,2023.12.31 현재,"249,217,250,571",제 42 기,2022.12.31 현재,"250,352,084,005",제 41 기,2021.12.31 현재,"201,583,381,846",6,KRW
20240321000893,11011,2023,00112679,015230,OFS,재무제표,BS,재무상태표,유동부채,제 43 기,2023.12.31 현재,"20,972,990,319",제 42 기,2022.12.31 현재,"39,593,238,101",제 41 기,2021.12.31 현재,"26,644,769,720",8,KRW
20240321000893,11011,2023,00112679,015230,OFS,재무제표,BS,재무상태표,비유동부채,제 43 기,2023.12.31 현재,"1,412,861,012",제 42 기,2022.12.31 현재,"8,853,717,161",제 41 기,2021.12.31 현재,"1,514,448,940",10,KRW
20240321000893,11011,2023,00112679,015230,OFS,재무제표,BS,재무상태표,부채총계,제 43 기,2023.12.31 현재,"22,385,851,331",제 42 기,2022.12.31 현재,"48,446,955,262",제 41 기,2021.12.31 현재,"28,159,218,660",12,KRW
20240321000893,11011,2023,00112679,015230,OFS,재무제표,BS,재무상태표,자본금,제 43 기,2023.12.31 현재,"14,286,115,000",제 42 기,2022.12.31 현재,"14,286,115,000",제 41 기,2021.12.31 현재,"14,286,115,000",15,KRW
20240321000893,11011,2023,00112679,015230,OFS,재무제표,BS,재무상태표,이익잉여금,제 43 기,2023.12.31 현재,"219,675,585,083",제 42 기,2022.12.31 현재,"194,749,314,586",제 41 기,2021.12.31 현재,"166,268,349,029",19,KRW
