rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250321001102,11011,2024,00177870,096350,CFS,연결재무제표,BS,재무상태표,유동자산,제 48 기,2024.12.31 현재,"40,739,028,923",제 47 기,2023.12.31 현재,"33,319,963,456",제 46 기,2022.12.31 현재,"32,748,227,542",1,KRW
20250321001102,11011,2024,00177870,096350,CFS,연결재무제표,BS,재무상태표,비유동자산,제 48 기,2024.12.31 현재,"94,689,517,364",제 47 기,2023.12.31 현재,"95,501,621,360",제 46 기,2022.12.31 현재,"91,430,125,900",3,KRW
20250321001102,11011,2024,00177870,096350,CFS,연결재무제표,BS,재무상태표,자산총계,제 48 기,2024.12.31 현재,"135,428,546,287",제 47 기,2023.12.31 현재,"128,821,584,816",제 46 기,2022.12.31 현재,"124,178,353,442",5,KRW
20250321001102,11011,2024,00177870,096350,CFS,연결재무제표,BS,재무상태표,유동부채,제 48 기,2024.12.31 현재,"72,788,404,334",제 47 기,2023.12.31 현재,"66,860,168,239",제 46 기,2022.12.31 현재,"80,830,488,207",7,KRW
20250321001102,11011,2024,00177870,096350,CFS,연결재무제표,BS,재무상태표,비유동부채,제 48 기,2024.12.31 현재,"29,803,902,933",제 47 기,2023.12.31 현재,"26,199,092,272",제 46 기,2022.12.31 현재,"14,406,700,630",9,KRW
20250321001102,11011,2024,00177870,096350,CFS,연결재무제표,BS,재무상태표,부채총계,제 48 기,2024.12.31 현재,"102,592,307,267",제 47 기,2023.12.31 현재,"93,059,260,511",제 46 기,2022.12.31 현재,"95,237,188,837",11,KRW
20250321001102,11011,2024,00177870,096350,CFS,연결재무제표,BS,재무상태표,자본금,제 48 기,2024.12.31 현재,"62,161,137,267",제 47 기,2023.12.31 현재,"62,161,137,267",제 46 기,2022.12.31 현재,"62,161,137,267",13,KRW
20250321001102,11011,2024,00177870,096350,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 48 기,2024.12.31 현재,"-46,469,309,584",제 47 기,2023.12.31 현재,"-43,175,281,073",제 46 기,2022.12.31 현재,"-45,013,720,753",17,KRW
20250321001102,11011,2024,00177870,096350,CFS,연결재무제표,BS,재무상태표,자본총계,제 48 기,2024.12.31 현재,"32,836,239,020",제 47 기,2023.12.31 현재,"35,762,324,305",제 46 기,2022.12.31 현재,"28,941,164,605",21,KRW
20250321001102,11011,2024,00177870,096350,CFS,연결재무제표,IS,손익계산서,매출액,제 48 기,2024.01.01 ~ 2024.12.31,"61,398,550,420",제 47 기,2023.01.01 ~ 2023.12.31,"71,715,102,822",제 46 기,2022.01.01 ~ 2022.12.31,"52,756,099,362",23,KRW
20250321001102,11011,2024,00177870,096350,CFS,연결재무제표,IS,손익계산서,영업이익,제 48 기,2024.01.01 ~ 2024.12.31,"436,761,175",제 47 기,2023.01.01 ~ 2023.12.31,"5,596,489,348",제 46 기,2022.01.01 ~ 2022.12.31,"-4,741,415,531",25,KRW
20250321001102,11011,2024,00177870,096350,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 48 기,2024.01.01 ~ 2024.12.31,"-2,710,495,317",제 47 기,2023.01.01 ~ 2023.12.31,"2,800,892,925",제 46 기,2022.01.01 ~ 2022.12.31,"-7,827,098,228",27,KRW
20250321001102,11011,2024,00177870,096350,CFS,연결재무제표,IS,손익계산서,당기순이익,제 48 기,2024.01.01 ~ 2024.12.31,"-2,710,495,317",제 47 기,2023.01.01 ~ 2023.12.31,"2,800,892,925",제 46 기,2022.01.01 ~ 2022.12.31,"-7,827,098,228",29,KRW
20250321001102,11011,2024,00177870,096350,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 48 기,2024.01.01 ~ 2024.12.31,"-2,710,495,317",제 47 기,2023.01.01 ~ 2023.12.31,"2,800,892,925",제 46 기,2022.01.01 ~ 2022.12.31,"-7,827,098,228",61,KRW
20250321001102,11011,2024,00177870,096350,CFS,연결재무제표,IS,손익계산서,총포괄손익,제 48 기,2024.01.01 ~ 2024.12.31,"-2,926,085,285",제 47 기,2023.01.01 ~ 2023.12.31,"5,971,159,700",제 46 기,2022.01.01 ~ 2022.12.31,"-7,910,257,553",63,KRW
20250321001102,11011,2024,00177870,096350,OFS,재무제표,BS,재무상태표,유동자산,제 48 기,2024.12.31 현재,"21,373,364,504",제 47 기,2023.12.31 현재,"24,290,133,013",제 46 기,2022.12.31 현재,"19,963,149,284",2,KRW
20250321001102,11011,2024,00177870,096350,OFS,재무제표,BS,재무상태표,비유동자산,제 48 기,2024.12.31 현재,"70,627,264,083",제 47 기,2023.12.31 현재,"71,397,792,831",제 46 기,2022.12.31 현재,"72,627,615,537",4,KRW
20250321001102,11011,2024,00177870,096350,OFS,재무제표,BS,재무상태표,자산총계,제 48 기,2024.12.31 현재,"92,000,628,587",제 47 기,2023.12.31 현재,"95,687,925,844",제 46 기,2022.12.31 현재,"92,590,764,821",6,KRW
