rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250306000568,11011,2024,00260383,006650,CFS,연결재무제표,BS,재무상태표,유동자산,제 56 기,2024.12.31 현재,"628,061,373,296",제 55 기,2023.12.31 현재,"502,070,943,945",제 54 기,2022.12.31 현재,"460,924,908,665",1,KRW
20250306000568,11011,2024,00260383,006650,CFS,연결재무제표,BS,재무상태표,비유동자산,제 56 기,2024.12.31 현재,"1,591,681,677,049",제 55 기,2023.12.31 현재,"1,694,421,770,392",제 54 기,2022.12.31 현재,"1,734,907,607,258",3,KRW
20250306000568,11011,2024,00260383,006650,CFS,연결재무제표,BS,재무상태표,자산총계,제 56 기,2024.12.31 현재,"2,219,743,050,345",제 55 기,2023.12.31 현재,"2,196,492,714,337",제 54 기,2022.12.31 현재,"2,195,832,515,923",5,KRW
20250306000568,11011,2024,00260383,006650,CFS,연결재무제표,BS,재무상태표,유동부채,제 56 기,2024.12.31 현재,"307,104,451,721",제 55 기,2023.12.31 현재,"288,246,676,637",제 54 기,2022.12.31 현재,"222,554,203,689",7,KRW
20250306000568,11011,2024,00260383,006650,CFS,연결재무제표,BS,재무상태표,비유동부채,제 56 기,2024.12.31 현재,"104,996,467,673",제 55 기,2023.12.31 현재,"83,455,435,565",제 54 기,2022.12.31 현재,"111,325,898,467",9,KRW
20250306000568,11011,2024,00260383,006650,CFS,연결재무제표,BS,재무상태표,부채총계,제 56 기,2024.12.31 현재,"412,100,919,394",제 55 기,2023.12.31 현재,"371,702,112,202",제 54 기,2022.12.31 현재,"333,880,102,156",11,KRW
20250306000568,11011,2024,00260383,006650,CFS,연결재무제표,BS,재무상태표,자본금,제 56 기,2024.12.31 현재,"41,000,000,000",제 55 기,2023.12.31 현재,"41,000,000,000",제 54 기,2022.12.31 현재,"41,000,000,000",13,KRW
20250306000568,11011,2024,00260383,006650,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 56 기,2024.12.31 현재,"1,504,928,279,387",제 55 기,2023.12.31 현재,"1,524,537,683,565",제 54 기,2022.12.31 현재,"1,560,826,483,243",17,KRW
20250306000568,11011,2024,00260383,006650,CFS,연결재무제표,BS,재무상태표,자본총계,제 56 기,2024.12.31 현재,"1,807,642,130,951",제 55 기,2023.12.31 현재,"1,824,790,602,135",제 54 기,2022.12.31 현재,"1,861,952,413,767",21,KRW
20250306000568,11011,2024,00260383,006650,CFS,연결재무제표,IS,손익계산서,매출액,제 56 기,2024.01.01 ~ 2024.12.31,"2,800,102,662,159",제 55 기,2023.01.01 ~ 2023.12.31,"2,499,972,627,941",제 54 기,2022.01.01 ~ 2022.12.31,"2,222,070,977,921",23,KRW
20250306000568,11011,2024,00260383,006650,CFS,연결재무제표,IS,손익계산서,영업이익,제 56 기,2024.01.01 ~ 2024.12.31,"-59,892,625,042",제 55 기,2023.01.01 ~ 2023.12.31,"-62,321,327,716",제 54 기,2022.01.01 ~ 2022.12.31,"-214,640,345,650",25,KRW
20250306000568,11011,2024,00260383,006650,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 56 기,2024.01.01 ~ 2024.12.31,"-32,971,453,979",제 55 기,2023.01.01 ~ 2023.12.31,"-49,928,708,867",제 54 기,2022.01.01 ~ 2022.12.31,"-204,385,808,134",27,KRW
20250306000568,11011,2024,00260383,006650,CFS,연결재무제표,IS,손익계산서,당기순이익,제 56 기,2024.01.01 ~ 2024.12.31,"-8,528,518,983",제 55 기,2023.01.01 ~ 2023.12.31,"-29,040,720,790",제 54 기,2022.01.01 ~ 2022.12.31,"-149,053,085,545",29,KRW
20250306000568,11011,2024,00260383,006650,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 56 기,2024.01.01 ~ 2024.12.31,"-8,528,518,983",제 55 기,2023.01.01 ~ 2023.12.31,"-29,040,720,790",제 54 기,2022.01.01 ~ 2022.12.31,"-149,053,085,545",61,KRW
20250306000568,11011,2024,00260383,006650,CFS,연결재무제표,IS,손익계산서,총포괄손익,제 56 기,2024.01.01 ~ 2024.12.31,"-10,972,371,184",제 55 기,2023.01.01 ~ 2023.12.31,"-30,985,711,632",제 54 기,2022.01.01 ~ 2022.12.31,"-145,565,518,007",63,KRW
20250306000568,11011,2024,00260383,006650,OFS,재무제표,BS,재무상태표,유동자산,제 56 기,2024.12.31 현재,"625,000,636,852",제 55 기,2023.12.31 현재,"495,752,870,951",제 54 기,2022.12.31 현재,"457,422,310,725",2,KRW
20250306000568,11011,2024,00260383,006650,OFS,재무제표,BS,재무상태표,비유동자산,제 56 기,2024.12.31 현재,"1,411,228,473,090",제 55 기,2023.12.31 현재,"1,528,868,403,310",제 54 기,2022.12.31 현재,"1,573,815,113,020",4,KRW
20250306000568,11011,2024,00260383,006650,OFS,재무제표,BS,재무상태표,자산총계,제 56 기,2024.12.31 현재,"2,036,229,109,942",제 55 기,2023.12.31 현재,"2,024,621,274,261",제 54 기,2022.12.31 현재,"2,031,237,423,745",6,KRW
20250306000568,11011,2024,00260383,006650,OFS,재무제표,BS,재무상태표,유동부채,제 56 기,2024.12.31 현재,"284,265,753,029",제 55 기,2023.12.31 현재,"264,112,687,724",제 54 기,2022.12.31 현재,"203,965,978,137",8,KRW
20250306000568,11011,2024,00260383,006650,OFS,재무제표,BS,재무상태표,비유동부채,제 56 기,2024.12.31 현재,"70,237,939,950",제 55 기,2023.12.31 현재,"28,476,616,290",제 54 기,2022.12.31 현재,"50,045,548,884",10,KRW
20250306000568,11011,2024,00260383,006650,OFS,재무제표,BS,재무상태표,부채총계,제 56 기,2024.12.31 현재,"354,503,692,979",제 55 기,2023.12.31 현재,"292,589,304,014",제 54 기,2022.12.31 현재,"254,011,527,021",12,KRW
20250306000568,11011,2024,00260383,006650,OFS,재무제표,BS,재무상태표,자본금,제 56 기,2024.12.31 현재,"41,000,000,000",제 55 기,2023.12.31 현재,"41,000,000,000",제 54 기,2022.12.31 현재,"41,000,000,000",15,KRW
20250306000568,11011,2024,00260383,006650,OFS,재무제표,BS,재무상태표,이익잉여금,제 56 기,2024.12.31 현재,"1,380,066,361,809",제 55 기,2023.12.31 현재,"1,430,372,915,093",제 54 기,2022.12.31 현재,"1,475,566,841,570",19,KRW
20250306000568,11011,2024,00260383,006650,OFS,재무제표,BS,재무상태표,자본총계,제 56 기,2024.12.31 현재,"1,681,725,416,963",제 55 기,2023.12.31 현재,"1,732,031,970,247",제 54 기,2022.12.31 현재,"1,777,225,896,724",22,KRW
20250306000568,11011,2024,00260383,006650,OFS,재무제표,IS,손익계산서,매출액,제 56 기,2024.01.01 ~ 2024.12.31,"2,779,475,446,901",제 55 기,2023.01.01 ~ 2023.12.31,"2,478,610,922,145",제 54 기,2022.01.01 ~ 2022.12.31,"2,204,625,589,103",24,KRW
20250306000568,11011,2024,00260383,006650,OFS,재무제표,IS,손익계산서,영업이익,제 56 기,2024.01.01 ~ 2024.12.31,"-65,087,652,779",제 55 기,2023.01.01 ~ 2023.12.31,"-66,610,822,110",제 54 기,2022.01.01 ~ 2022.12.31,"-212,303,028,156",26,KRW
20250306000568,11011,2024,00260383,006650,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 56 기,2024.01.01 ~ 2024.12.31,"-54,463,765,242",제 55 기,2023.01.01 ~ 2023.12.31,"-62,082,294,299",제 54 기,2022.01.01 ~ 2022.12.31,"-201,308,868,405",28,KRW
20250306000568,11011,2024,00260383,006650,OFS,재무제표,IS,손익계산서,당기순이익,제 56 기,2024.01.01 ~ 2024.12.31,"-39,798,316,615",제 55 기,2023.01.01 ~ 2023.12.31,"-38,497,209,407",제 54 기,2022.01.01 ~ 2022.12.31,"-147,599,571,256",30,KRW
20250306000568,11011,2024,00260383,006650,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 56 기,2024.01.01 ~ 2024.12.31,"-39,798,316,615",제 55 기,2023.01.01 ~ 2023.12.31,"-38,497,209,407",제 54 기,2022.01.01 ~ 2022.12.31,"-147,599,571,256",62,KRW
20250306000568,11011,2024,00260383,006650,OFS,재무제표,IS,손익계산서,총포괄손익,제 56 기,2024.01.01 ~ 2024.12.31,"-44,130,453,284",제 55 기,2023.01.01 ~ 2023.12.31,"-39,017,826,477",제 54 기,2022.01.01 ~ 2022.12.31,"-144,851,777,049",64,KRW
