rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250320000395,11011,2024,00113225,084010,CFS,연결재무제표,BS,재무상태표,유동자산,제 72 기,2024.12.31 현재,"656,234,146,561",제 71 기,2023.12.31 현재,"634,087,784,965",제 70 기,2022.12.31 현재,"745,924,997,777",1,KRW
20250320000395,11011,2024,00113225,084010,CFS,연결재무제표,BS,재무상태표,비유동자산,제 72 기,2024.12.31 현재,"493,562,932,476",제 71 기,2023.12.31 현재,"481,691,289,696",제 70 기,2022.12.31 현재,"474,571,811,889",3,KRW
20250320000395,11011,2024,00113225,084010,CFS,연결재무제표,BS,재무상태표,자산총계,제 72 기,2024.12.31 현재,"1,149,797,079,037",제 71 기,2023.12.31 현재,"1,115,779,074,661",제 70 기,2022.12.31 현재,"1,220,496,809,666",5,KRW
20250320000395,11011,2024,00113225,084010,CFS,연결재무제표,BS,재무상태표,유동부채,제 72 기,2024.12.31 현재,"211,101,455,384",제 71 기,2023.12.31 현재,"243,862,856,202",제 70 기,2022.12.31 현재,"390,488,522,073",7,KRW
20250320000395,11011,2024,00113225,084010,CFS,연결재무제표,BS,재무상태표,비유동부채,제 72 기,2024.12.31 현재,"42,677,348,583",제 71 기,2023.12.31 현재,"27,949,838,570",제 70 기,2022.12.31 현재,"31,561,410,734",9,KRW
20250320000395,11011,2024,00113225,084010,CFS,연결재무제표,BS,재무상태표,부채총계,제 72 기,2024.12.31 현재,"253,778,803,967",제 71 기,2023.12.31 현재,"271,812,694,772",제 70 기,2022.12.31 현재,"422,049,932,807",11,KRW
20250320000395,11011,2024,00113225,084010,CFS,연결재무제표,BS,재무상태표,자본금,제 72 기,2024.12.31 현재,"24,646,734,000",제 71 기,2023.12.31 현재,"24,646,734,000",제 70 기,2022.12.31 현재,"24,646,734,000",13,KRW
20250320000395,11011,2024,00113225,084010,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 72 기,2024.12.31 현재,"812,021,716,944",제 71 기,2023.12.31 현재,"776,988,932,182",제 70 기,2022.12.31 현재,"735,551,196,052",17,KRW
20250320000395,11011,2024,00113225,084010,CFS,연결재무제표,BS,재무상태표,자본총계,제 72 기,2024.12.31 현재,"896,018,275,070",제 71 기,2023.12.31 현재,"843,966,379,889",제 70 기,2022.12.31 현재,"798,446,876,859",21,KRW
20250320000395,11011,2024,00113225,084010,CFS,연결재무제표,IS,손익계산서,매출액,제 72 기,2024.01.01 ~ 2024.12.31,"1,224,534,509,948",제 71 기,2023.01.01 ~ 2023.12.31,"1,447,832,026,434",제 70 기,2022.01.01 ~ 2022.12.31,"2,141,616,301,745",23,KRW
20250320000395,11011,2024,00113225,084010,CFS,연결재무제표,IS,손익계산서,영업이익,제 72 기,2024.01.01 ~ 2024.12.31,"10,317,146,497",제 71 기,2023.01.01 ~ 2023.12.31,"109,934,599,541",제 70 기,2022.01.01 ~ 2022.12.31,"215,379,902,495",25,KRW
20250320000395,11011,2024,00113225,084010,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 72 기,2024.01.01 ~ 2024.12.31,"51,287,839,090",제 71 기,2023.01.01 ~ 2023.12.31,"95,338,074,901",제 70 기,2022.01.01 ~ 2022.12.31,"195,770,968,238",27,KRW
20250320000395,11011,2024,00113225,084010,CFS,연결재무제표,IS,손익계산서,당기순이익,제 72 기,2024.01.01 ~ 2024.12.31,"40,013,924,720",제 71 기,2023.01.01 ~ 2023.12.31,"77,048,614,856",제 70 기,2022.01.01 ~ 2022.12.31,"137,607,060,099",29,KRW
20250320000395,11011,2024,00113225,084010,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 72 기,2024.01.01 ~ 2024.12.31,"40,013,924,720",제 71 기,2023.01.01 ~ 2023.12.31,"77,048,614,856",제 70 기,2022.01.01 ~ 2022.12.31,"137,607,060,099",61,KRW
20250320000395,11011,2024,00113225,084010,CFS,연결재무제표,IS,손익계산서,총포괄손익,제 72 기,2024.01.01 ~ 2024.12.31,"46,387,204,172",제 71 기,2023.01.01 ~ 2023.12.31,"76,033,623,491",제 70 기,2022.01.01 ~ 2022.12.31,"143,848,540,797",63,KRW
20250320000395,11011,2024,00113225,084010,OFS,재무제표,BS,재무상태표,유동자산,제 72 기,2024.12.31 현재,"271,810,712,406",제 71 기,2023.12.31 현재,"321,340,582,374",제 70 기,2022.12.31 현재,"404,888,116,119",2,KRW
20250320000395,11011,2024,00113225,084010,OFS,재무제표,BS,재무상태표,비유동자산,제 72 기,2024.12.31 현재,"630,955,763,322",제 71 기,2023.12.31 현재,"596,089,196,129",제 70 기,2022.12.31 현재,"565,499,147,185",4,KRW
20250320000395,11011,2024,00113225,084010,OFS,재무제표,BS,재무상태표,자산총계,제 72 기,2024.12.31 현재,"902,766,475,728",제 71 기,2023.12.31 현재,"917,429,778,503",제 70 기,2022.12.31 현재,"970,387,263,304",6,KRW
20250320000395,11011,2024,00113225,084010,OFS,재무제표,BS,재무상태표,유동부채,제 72 기,2024.12.31 현재,"119,381,932,924",제 71 기,2023.12.31 현재,"152,787,658,376",제 70 기,2022.12.31 현재,"246,245,812,653",8,KRW
20250320000395,11011,2024,00113225,084010,OFS,재무제표,BS,재무상태표,비유동부채,제 72 기,2024.12.31 현재,"11,142,011,892",제 71 기,2023.12.31 현재,"15,113,394,184",제 70 기,2022.12.31 현재,"15,908,241,766",10,KRW
20250320000395,11011,2024,00113225,084010,OFS,재무제표,BS,재무상태표,부채총계,제 72 기,2024.12.31 현재,"130,523,944,816",제 71 기,2023.12.31 현재,"167,901,052,560",제 70 기,2022.12.31 현재,"262,154,054,419",12,KRW
20250320000395,11011,2024,00113225,084010,OFS,재무제표,BS,재무상태표,자본금,제 72 기,2024.12.31 현재,"24,646,734,000",제 71 기,2023.12.31 현재,"24,646,734,000",제 70 기,2022.12.31 현재,"24,646,734,000",15,KRW
20250320000395,11011,2024,00113225,084010,OFS,재무제표,BS,재무상태표,이익잉여금,제 72 기,2024.12.31 현재,"810,155,400,111",제 71 기,2023.12.31 현재,"787,252,186,423",제 70 기,2022.12.31 현재,"746,297,786,837",19,KRW
20250320000395,11011,2024,00113225,084010,OFS,재무제표,BS,재무상태표,자본총계,제 72 기,2024.12.31 현재,"772,242,530,912",제 71 기,2023.12.31 현재,"749,528,725,943",제 70 기,2022.12.31 현재,"708,233,208,885",22,KRW
20250320000395,11011,2024,00113225,084010,OFS,재무제표,IS,손익계산서,매출액,제 72 기,2024.01.01 ~ 2024.12.31,"796,284,829,280",제 71 기,2023.01.01 ~ 2023.12.31,"955,564,674,636",제 70 기,2022.01.01 ~ 2022.12.31,"1,283,527,751,006",24,KRW
20250320000395,11011,2024,00113225,084010,OFS,재무제표,IS,손익계산서,영업이익,제 72 기,2024.01.01 ~ 2024.12.31,"10,648,168,125",제 71 기,2023.01.01 ~ 2023.12.31,"74,431,357,117",제 70 기,2022.01.01 ~ 2022.12.31,"140,978,129,727",26,KRW
20250320000395,11011,2024,00113225,084010,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 72 기,2024.01.01 ~ 2024.12.31,"31,320,387,238",제 71 기,2023.01.01 ~ 2023.12.31,"82,567,026,611",제 70 기,2022.01.01 ~ 2022.12.31,"164,027,486,372",28,KRW
20250320000395,11011,2024,00113225,084010,OFS,재무제표,IS,손익계산서,당기순이익,제 72 기,2024.01.01 ~ 2024.12.31,"23,382,730,520",제 71 기,2023.01.01 ~ 2023.12.31,"71,512,295,223",제 70 기,2022.01.01 ~ 2022.12.31,"128,769,205,782",30,KRW
20250320000395,11011,2024,00113225,084010,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 72 기,2024.01.01 ~ 2024.12.31,"23,382,730,520",제 71 기,2023.01.01 ~ 2023.12.31,"71,512,295,223",제 70 기,2022.01.01 ~ 2022.12.31,"128,769,205,782",62,KRW
