rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20231214000211,11011,2022,01291317,393890,CFS,연결재무제표,BS,재무상태표,유동자산,제 7 기,2022.12.31 현재,"477,010,049,837",제 6 기,2021.12.31 현재,"214,546,537,795",제 5 기,2020.12.31 현재,"123,828,588,110",1,KRW
20231214000211,11011,2022,01291317,393890,CFS,연결재무제표,BS,재무상태표,비유동자산,제 7 기,2022.12.31 현재,"601,230,689,266",제 6 기,2021.12.31 현재,"415,473,843,301",제 5 기,2020.12.31 현재,"399,333,609,452",3,KRW
20231214000211,11011,2022,01291317,393890,CFS,연결재무제표,BS,재무상태표,자산총계,제 7 기,2022.12.31 현재,"1,078,240,739,103",제 6 기,2021.12.31 현재,"630,020,381,096",제 5 기,2020.12.31 현재,"523,162,197,562",5,KRW
20231214000211,11011,2022,01291317,393890,CFS,연결재무제표,BS,재무상태표,유동부채,제 7 기,2022.12.31 현재,"115,150,107,015",제 6 기,2021.12.31 현재,"128,308,387,781",제 5 기,2020.12.31 현재,"127,934,341,578",7,KRW
20231214000211,11011,2022,01291317,393890,CFS,연결재무제표,BS,재무상태표,비유동부채,제 7 기,2022.12.31 현재,"28,444,981,094",제 6 기,2021.12.31 현재,"95,954,344,694",제 5 기,2020.12.31 현재,"231,869,400,878",9,KRW
20231214000211,11011,2022,01291317,393890,CFS,연결재무제표,BS,재무상태표,부채총계,제 7 기,2022.12.31 현재,"143,595,088,109",제 6 기,2021.12.31 현재,"224,262,732,475",제 5 기,2020.12.31 현재,"359,803,742,456",11,KRW
20231214000211,11011,2022,01291317,393890,CFS,연결재무제표,BS,재무상태표,자본금,제 7 기,2022.12.31 현재,"16,848,259,000",제 6 기,2021.12.31 현재,"12,350,084,000",제 5 기,2020.12.31 현재,"3,619,900,000",13,KRW
20231214000211,11011,2022,01291317,393890,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 7 기,2022.12.31 현재,"-2,326,610,723",제 6 기,2021.12.31 현재,"-58,140,568,441",제 5 기,2020.12.31 현재,"-48,128,814,210",17,KRW
20231214000211,11011,2022,01291317,393890,CFS,연결재무제표,BS,재무상태표,자본총계,제 7 기,2022.12.31 현재,"934,645,650,994",제 6 기,2021.12.31 현재,"405,757,648,621",제 5 기,2020.12.31 현재,"163,358,455,106",21,KRW
20231214000211,11011,2022,01291317,393890,CFS,연결재무제표,IS,손익계산서,매출액,제 7 기,2022.01.01 ~ 2022.12.31,"257,451,425,430",제 6 기,2021.01.01 ~ 2021.12.31,"185,498,673,958",제 5 기,2020.01.01 ~ 2020.12.31,"111,875,226,649",23,KRW
20231214000211,11011,2022,01291317,393890,CFS,연결재무제표,IS,손익계산서,영업이익,제 7 기,2022.01.01 ~ 2022.12.31,"58,027,154,917",제 6 기,2021.01.01 ~ 2021.12.31,"40,457,980,001",제 5 기,2020.01.01 ~ 2020.12.31,"9,760,561,502",25,KRW
20231214000211,11011,2022,01291317,393890,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 7 기,2022.01.01 ~ 2022.12.31,"61,749,370,011",제 6 기,2021.01.01 ~ 2021.12.31,"-10,886,532,557",제 5 기,2020.01.01 ~ 2020.12.31,"-44,278,579,507",27,KRW
20231214000211,11011,2022,01291317,393890,CFS,연결재무제표,IS,손익계산서,당기순이익,제 7 기,2022.01.01 ~ 2022.12.31,"55,257,959,855",제 6 기,2021.01.01 ~ 2021.12.31,"-9,963,939,435",제 5 기,2020.01.01 ~ 2020.12.31,"-31,178,331,260",29,KRW
20231214000211,11011,2022,01291317,393890,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 7 기,2022.01.01 ~ 2022.12.31,"55,257,959,855",제 6 기,2021.01.01 ~ 2021.12.31,"-9,963,939,435",제 5 기,2020.01.01 ~ 2020.12.31,"-31,178,331,260",61,KRW
20231214000211,11011,2022,01291317,393890,CFS,연결재무제표,IS,손익계산서,총포괄손익,제 7 기,2022.01.01 ~ 2022.12.31,"53,389,584,469",제 6 기,2021.01.01 ~ 2021.12.31,"-10,011,754,231",제 5 기,2020.01.01 ~ 2020.12.31,"-30,579,791,788",63,KRW
20231214000211,11011,2022,01291317,393890,OFS,재무제표,BS,재무상태표,유동자산,제 7 기,2022.12.31 현재,"376,510,165,775",제 6 기,2021.12.31 현재,"214,414,990,470",제 5 기,2020.12.31 현재,"123,828,588,110",2,KRW
20231214000211,11011,2022,01291317,393890,OFS,재무제표,BS,재무상태표,비유동자산,제 7 기,2022.12.31 현재,"703,724,036,659",제 6 기,2021.12.31 현재,"415,602,343,301",제 5 기,2020.12.31 현재,"399,333,609,452",4,KRW
20231214000211,11011,2022,01291317,393890,OFS,재무제표,BS,재무상태표,자산총계,제 7 기,2022.12.31 현재,"1,080,234,202,434",제 6 기,2021.12.31 현재,"630,017,333,771",제 5 기,2020.12.31 현재,"523,162,197,562",6,KRW
20231214000211,11011,2022,01291317,393890,OFS,재무제표,BS,재무상태표,유동부채,제 7 기,2022.12.31 현재,"81,844,107,772",제 6 기,2021.12.31 현재,"128,305,387,781",제 5 기,2020.12.31 현재,"127,934,341,578",8,KRW
20231214000211,11011,2022,01291317,393890,OFS,재무제표,BS,재무상태표,비유동부채,제 7 기,2022.12.31 현재,"60,944,981,094",제 6 기,2021.12.31 현재,"95,954,344,694",제 5 기,2020.12.31 현재,"231,869,400,878",10,KRW
20231214000211,11011,2022,01291317,393890,OFS,재무제표,BS,재무상태표,부채총계,제 7 기,2022.12.31 현재,"142,789,088,866",제 6 기,2021.12.31 현재,"224,259,732,475",제 5 기,2020.12.31 현재,"359,803,742,456",12,KRW
20231214000211,11011,2022,01291317,393890,OFS,재무제표,BS,재무상태표,자본금,제 7 기,2022.12.31 현재,"16,848,259,000",제 6 기,2021.12.31 현재,"12,350,084,000",제 5 기,2020.12.31 현재,"3,619,900,000",15,KRW
20231214000211,11011,2022,01291317,393890,OFS,재무제표,BS,재무상태표,이익잉여금,제 7 기,2022.12.31 현재,"-1,951,521,398",제 6 기,2021.12.31 현재,"-58,140,615,766",제 5 기,2020.12.31 현재,"-48,128,814,210",19,KRW
20231214000211,11011,2022,01291317,393890,OFS,재무제표,BS,재무상태표,자본총계,제 7 기,2022.12.31 현재,"937,445,113,568",제 6 기,2021.12.31 현재,"405,757,601,296",제 5 기,2020.12.31 현재,"163,358,455,106",22,KRW
20231214000211,11011,2022,01291317,393890,OFS,재무제표,IS,손익계산서,매출액,제 7 기,2022.01.01 ~ 2022.12.31,"257,451,425,430",제 6 기,2021.01.01 ~ 2021.12.31,"185,498,673,958",제 5 기,2020.01.01 ~ 2020.12.31,"111,875,226,649",24,KRW
20231214000211,11011,2022,01291317,393890,OFS,재무제표,IS,손익계산서,영업이익,제 7 기,2022.01.01 ~ 2022.12.31,"59,114,859,846",제 6 기,2021.01.01 ~ 2021.12.31,"40,855,746,362",제 5 기,2020.01.01 ~ 2020.12.31,"9,760,561,502",26,KRW
20231214000211,11011,2022,01291317,393890,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 7 기,2022.01.01 ~ 2022.12.31,"62,161,296,608",제 6 기,2021.01.01 ~ 2021.12.31,"-10,886,579,882",제 5 기,2020.01.01 ~ 2020.12.31,"-44,278,579,507",28,KRW
