rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20240321001580,11011,2023,00115287,004140,CFS,연결재무제표,BS,재무상태표,유동자산,제 59 기,2023.12.31 현재,"218,284,872,352",제 58 기,2022.12.31 현재,"204,702,355,312",제 57 기,2021.12.31 현재,"142,533,243,220",1,KRW
20240321001580,11011,2023,00115287,004140,CFS,연결재무제표,BS,재무상태표,비유동자산,제 59 기,2023.12.31 현재,"381,034,448,988",제 58 기,2022.12.31 현재,"363,262,570,782",제 57 기,2021.12.31 현재,"388,722,414,791",3,KRW
20240321001580,11011,2023,00115287,004140,CFS,연결재무제표,BS,재무상태표,자산총계,제 59 기,2023.12.31 현재,"599,319,321,340",제 58 기,2022.12.31 현재,"567,964,926,094",제 57 기,2021.12.31 현재,"531,255,658,011",5,KRW
20240321001580,11011,2023,00115287,004140,CFS,연결재무제표,BS,재무상태표,유동부채,제 59 기,2023.12.31 현재,"256,405,223,535",제 58 기,2022.12.31 현재,"296,862,179,032",제 57 기,2021.12.31 현재,"174,351,148,931",7,KRW
20240321001580,11011,2023,00115287,004140,CFS,연결재무제표,BS,재무상태표,비유동부채,제 59 기,2023.12.31 현재,"198,815,836,948",제 58 기,2022.12.31 현재,"140,822,527,669",제 57 기,2021.12.31 현재,"225,447,950,843",9,KRW
20240321001580,11011,2023,00115287,004140,CFS,연결재무제표,BS,재무상태표,부채총계,제 59 기,2023.12.31 현재,"455,221,060,483",제 58 기,2022.12.31 현재,"437,684,706,701",제 57 기,2021.12.31 현재,"399,799,099,774",11,KRW
20240321001580,11011,2023,00115287,004140,CFS,연결재무제표,BS,재무상태표,자본금,제 59 기,2023.12.31 현재,"52,599,963,000",제 58 기,2022.12.31 현재,"52,599,963,000",제 57 기,2021.12.31 현재,"52,599,963,000",13,KRW
20240321001580,11011,2023,00115287,004140,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 59 기,2023.12.31 현재,"42,923,271,751",제 58 기,2022.12.31 현재,"30,827,583,048",제 57 기,2021.12.31 현재,"28,002,124,357",17,KRW
20240321001580,11011,2023,00115287,004140,CFS,연결재무제표,BS,재무상태표,자본총계,제 59 기,2023.12.31 현재,"144,098,260,857",제 58 기,2022.12.31 현재,"130,280,219,393",제 57 기,2021.12.31 현재,"131,456,558,237",21,KRW
20240321001580,11011,2023,00115287,004140,CFS,연결재무제표,IS,손익계산서,매출액,제 59 기,2023.01.01 ~ 2023.12.31,"767,794,640,132",제 58 기,2022.01.01 ~ 2022.12.31,"758,533,281,842",제 57 기,2021.01.01 ~ 2021.12.31,"595,947,334,152",23,KRW
