rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20240318000735,11011,2023,00489243,088130,CFS,연결재무제표,BS,재무상태표,유동자산,제 25 기,2023.12.31 현재,"192,139,630,278",제 24 기,2022.12.31 현재,"204,002,761,640",제 23 기,2021.12.31 현재,"165,478,004,897",1,KRW
20240318000735,11011,2023,00489243,088130,CFS,연결재무제표,BS,재무상태표,비유동자산,제 25 기,2023.12.31 현재,"100,379,596,337",제 24 기,2022.12.31 현재,"102,355,424,740",제 23 기,2021.12.31 현재,"96,483,484,902",3,KRW
20240318000735,11011,2023,00489243,088130,CFS,연결재무제표,BS,재무상태표,자산총계,제 25 기,2023.12.31 현재,"292,519,226,615",제 24 기,2022.12.31 현재,"306,358,186,380",제 23 기,2021.12.31 현재,"261,961,489,799",5,KRW
20240318000735,11011,2023,00489243,088130,CFS,연결재무제표,BS,재무상태표,유동부채,제 25 기,2023.12.31 현재,"98,552,763,548",제 24 기,2022.12.31 현재,"90,378,679,092",제 23 기,2021.12.31 현재,"47,876,508,118",7,KRW
20240318000735,11011,2023,00489243,088130,CFS,연결재무제표,BS,재무상태표,비유동부채,제 25 기,2023.12.31 현재,"5,168,204,311",제 24 기,2022.12.31 현재,"4,607,361,106",제 23 기,2021.12.31 현재,"4,429,965,302",9,KRW
20240318000735,11011,2023,00489243,088130,CFS,연결재무제표,BS,재무상태표,부채총계,제 25 기,2023.12.31 현재,"103,720,967,859",제 24 기,2022.12.31 현재,"94,986,040,198",제 23 기,2021.12.31 현재,"52,306,473,420",11,KRW
20240318000735,11011,2023,00489243,088130,CFS,연결재무제표,BS,재무상태표,자본금,제 25 기,2023.12.31 현재,"5,575,148,000",제 24 기,2022.12.31 현재,"5,575,148,000",제 23 기,2021.12.31 현재,"5,575,148,000",13,KRW
20240318000735,11011,2023,00489243,088130,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 25 기,2023.12.31 현재,"109,274,221,228",제 24 기,2022.12.31 현재,"118,586,888,434",제 23 기,2021.12.31 현재,"117,513,160,190",17,KRW
20240318000735,11011,2023,00489243,088130,CFS,연결재무제표,BS,재무상태표,자본총계,제 25 기,2023.12.31 현재,"188,798,258,756",제 24 기,2022.12.31 현재,"211,372,146,182",제 23 기,2021.12.31 현재,"209,655,016,379",21,KRW
20240318000735,11011,2023,00489243,088130,CFS,연결재무제표,IS,손익계산서,매출액,제 25 기,2023.01.01 ~ 2023.12.31,"165,117,482,966",제 24 기,2022.01.01 ~ 2022.12.31,"213,773,717,730",제 23 기,2021.01.01 ~ 2021.12.31,"173,681,310,801",23,KRW
