rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250320001051,11011,2024,00118284,109860,CFS,연결재무제표,BS,재무상태표,유동자산,제 41 기,2024.12.31 현재,"57,086,201,337",제 40 기,2023.12.31 현재,"74,932,809,190",제 39 기,2022.12.31 현재,"77,966,640,435",1,KRW
20250320001051,11011,2024,00118284,109860,CFS,연결재무제표,BS,재무상태표,비유동자산,제 41 기,2024.12.31 현재,"119,276,013,439",제 40 기,2023.12.31 현재,"86,930,137,746",제 39 기,2022.12.31 현재,"99,213,113,765",3,KRW
20250320001051,11011,2024,00118284,109860,CFS,연결재무제표,BS,재무상태표,자산총계,제 41 기,2024.12.31 현재,"176,362,214,776",제 40 기,2023.12.31 현재,"161,862,946,936",제 39 기,2022.12.31 현재,"177,179,754,200",5,KRW
20250320001051,11011,2024,00118284,109860,CFS,연결재무제표,BS,재무상태표,유동부채,제 41 기,2024.12.31 현재,"19,603,655,735",제 40 기,2023.12.31 현재,"10,503,812,642",제 39 기,2022.12.31 현재,"19,407,529,458",7,KRW
20250320001051,11011,2024,00118284,109860,CFS,연결재무제표,BS,재무상태표,비유동부채,제 41 기,2024.12.31 현재,"1,841,012,892",제 40 기,2023.12.31 현재,"774,677,449",제 39 기,2022.12.31 현재,"4,181,603,159",9,KRW
20250320001051,11011,2024,00118284,109860,CFS,연결재무제표,BS,재무상태표,부채총계,제 41 기,2024.12.31 현재,"21,444,668,627",제 40 기,2023.12.31 현재,"11,278,490,091",제 39 기,2022.12.31 현재,"23,589,132,617",11,KRW
20250320001051,11011,2024,00118284,109860,CFS,연결재무제표,BS,재무상태표,자본금,제 41 기,2024.12.31 현재,"4,550,000,000",제 40 기,2023.12.31 현재,"4,550,000,000",제 39 기,2022.12.31 현재,"4,550,000,000",13,KRW
20250320001051,11011,2024,00118284,109860,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 41 기,2024.12.31 현재,"140,473,208,630",제 40 기,2023.12.31 현재,"136,587,135,625",제 39 기,2022.12.31 현재,"139,773,144,585",17,KRW
20250320001051,11011,2024,00118284,109860,CFS,연결재무제표,BS,재무상태표,자본총계,제 41 기,2024.12.31 현재,"154,917,546,149",제 40 기,2023.12.31 현재,"150,584,456,845",제 39 기,2022.12.31 현재,"153,590,621,583",21,KRW
20250320001051,11011,2024,00118284,109860,CFS,연결재무제표,IS,손익계산서,매출액,제 41 기,2024.01.01 ~ 2024.12.31,"85,984,630,205",제 40 기,2023.01.01 ~ 2023.12.31,"110,445,489,877",제 39 기,2022.01.01 ~ 2022.12.31,"111,439,113,384",23,KRW
20250320001051,11011,2024,00118284,109860,CFS,연결재무제표,IS,손익계산서,영업이익,제 41 기,2024.01.01 ~ 2024.12.31,"617,915,159",제 40 기,2023.01.01 ~ 2023.12.31,"12,368,057,822",제 39 기,2022.01.01 ~ 2022.12.31,"13,932,278,391",25,KRW
20250320001051,11011,2024,00118284,109860,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 41 기,2024.01.01 ~ 2024.12.31,"9,672,789,660",제 40 기,2023.01.01 ~ 2023.12.31,"406,853,404",제 39 기,2022.01.01 ~ 2022.12.31,"17,829,309,655",27,KRW
20250320001051,11011,2024,00118284,109860,CFS,연결재무제표,IS,손익계산서,당기순이익,제 41 기,2024.01.01 ~ 2024.12.31,"7,247,388,664",제 40 기,2023.01.01 ~ 2023.12.31,"318,836,223",제 39 기,2022.01.01 ~ 2022.12.31,"14,029,922,792",29,KRW
20250320001051,11011,2024,00118284,109860,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 41 기,2024.01.01 ~ 2024.12.31,"7,247,388,664",제 40 기,2023.01.01 ~ 2023.12.31,"318,836,223",제 39 기,2022.01.01 ~ 2022.12.31,"14,029,922,792",61,KRW
20250320001051,11011,2024,00118284,109860,OFS,재무제표,BS,재무상태표,유동자산,제 41 기,2024.12.31 현재,"55,149,527,936",제 40 기,2023.12.31 현재,"69,140,865,504",제 39 기,2022.12.31 현재,"73,279,919,562",2,KRW
20250320001051,11011,2024,00118284,109860,OFS,재무제표,BS,재무상태표,비유동자산,제 41 기,2024.12.31 현재,"105,987,753,242",제 40 기,2023.12.31 현재,"88,341,607,119",제 39 기,2022.12.31 현재,"98,212,330,757",4,KRW
20250320001051,11011,2024,00118284,109860,OFS,재무제표,BS,재무상태표,자산총계,제 41 기,2024.12.31 현재,"161,137,281,178",제 40 기,2023.12.31 현재,"157,482,472,623",제 39 기,2022.12.31 현재,"171,492,250,319",6,KRW
20250320001051,11011,2024,00118284,109860,OFS,재무제표,BS,재무상태표,유동부채,제 41 기,2024.12.31 현재,"5,903,235,727",제 40 기,2023.12.31 현재,"10,262,037,966",제 39 기,2022.12.31 현재,"16,901,273,610",8,KRW
20250320001051,11011,2024,00118284,109860,OFS,재무제표,BS,재무상태표,비유동부채,제 41 기,2024.12.31 현재,"1,332,463,733",제 40 기,2023.12.31 현재,"604,775,649",제 39 기,2022.12.31 현재,"3,895,534,100",10,KRW
20250320001051,11011,2024,00118284,109860,OFS,재무제표,BS,재무상태표,부채총계,제 41 기,2024.12.31 현재,"7,235,699,460",제 40 기,2023.12.31 현재,"10,866,813,615",제 39 기,2022.12.31 현재,"20,796,807,710",12,KRW
20250320001051,11011,2024,00118284,109860,OFS,재무제표,BS,재무상태표,자본금,제 41 기,2024.12.31 현재,"4,550,000,000",제 40 기,2023.12.31 현재,"4,550,000,000",제 39 기,2022.12.31 현재,"4,550,000,000",15,KRW
20250320001051,11011,2024,00118284,109860,OFS,재무제표,BS,재무상태표,이익잉여금,제 41 기,2024.12.31 현재,"138,782,244,484",제 40 기,2023.12.31 현재,"132,219,121,210",제 39 기,2022.12.31 현재,"136,298,904,811",19,KRW
20250320001051,11011,2024,00118284,109860,OFS,재무제표,BS,재무상태표,자본총계,제 41 기,2024.12.31 현재,"153,901,581,718",제 40 기,2023.12.31 현재,"146,615,659,008",제 39 기,2022.12.31 현재,"150,695,442,609",22,KRW
20250320001051,11011,2024,00118284,109860,OFS,재무제표,IS,손익계산서,매출액,제 41 기,2024.01.01 ~ 2024.12.31,"71,367,442,548",제 40 기,2023.01.01 ~ 2023.12.31,"109,143,505,790",제 39 기,2022.01.01 ~ 2022.12.31,"110,166,499,171",24,KRW
20250320001051,11011,2024,00118284,109860,OFS,재무제표,IS,손익계산서,영업이익,제 41 기,2024.01.01 ~ 2024.12.31,"2,780,563,668",제 40 기,2023.01.01 ~ 2023.12.31,"10,617,555,975",제 39 기,2022.01.01 ~ 2022.12.31,"11,409,800,408",26,KRW
20250320001051,11011,2024,00118284,109860,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 41 기,2024.01.01 ~ 2024.12.31,"12,138,165,493",제 40 기,2023.01.01 ~ 2023.12.31,"-883,963,287",제 39 기,2022.01.01 ~ 2022.12.31,"15,961,951,224",28,KRW
20250320001051,11011,2024,00118284,109860,OFS,재무제표,IS,손익계산서,당기순이익,제 41 기,2024.01.01 ~ 2024.12.31,"9,847,868,850",제 40 기,2023.01.01 ~ 2023.12.31,"-590,948,705",제 39 기,2022.01.01 ~ 2022.12.31,"12,646,847,454",30,KRW
20250320001051,11011,2024,00118284,109860,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 41 기,2024.01.01 ~ 2024.12.31,"9,847,868,850",제 40 기,2023.01.01 ~ 2023.12.31,"-590,948,705",제 39 기,2022.01.01 ~ 2022.12.31,"12,646,847,454",62,KRW
20250320001051,11011,2024,00118284,109860,OFS,재무제표,IS,손익계산서,총포괄손익,제 41 기,2024.01.01 ~ 2024.12.31,"9,946,813,274",제 40 기,2023.01.01 ~ 2023.12.31,"-696,093,601",제 39 기,2022.01.01 ~ 2022.12.31,"12,774,291,913",64,KRW
