rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20240322000958,11011,2023,00172936,004890,CFS,연결재무제표,BS,재무상태표,유동자산,제 58 기,2023.12.31 현재,"334,641,471,806",제 57 기,2022.12.31 현재,"337,798,307,653",제 56 기,2021.12.31 현재,"314,195,950,875",1,KRW
20240322000958,11011,2023,00172936,004890,CFS,연결재무제표,BS,재무상태표,비유동자산,제 58 기,2023.12.31 현재,"141,494,549,957",제 57 기,2022.12.31 현재,"161,604,405,558",제 56 기,2021.12.31 현재,"159,568,651,105",3,KRW
20240322000958,11011,2023,00172936,004890,CFS,연결재무제표,BS,재무상태표,자산총계,제 58 기,2023.12.31 현재,"476,136,021,763",제 57 기,2022.12.31 현재,"499,402,713,211",제 56 기,2021.12.31 현재,"473,764,601,980",5,KRW
20240322000958,11011,2023,00172936,004890,CFS,연결재무제표,BS,재무상태표,유동부채,제 58 기,2023.12.31 현재,"48,601,077,241",제 57 기,2022.12.31 현재,"63,178,229,577",제 56 기,2021.12.31 현재,"61,940,984,079",7,KRW
20240322000958,11011,2023,00172936,004890,CFS,연결재무제표,BS,재무상태표,비유동부채,제 58 기,2023.12.31 현재,"17,457,817,660",제 57 기,2022.12.31 현재,"18,947,291,664",제 56 기,2021.12.31 현재,"9,786,795,807",9,KRW
20240322000958,11011,2023,00172936,004890,CFS,연결재무제표,BS,재무상태표,부채총계,제 58 기,2023.12.31 현재,"66,058,894,901",제 57 기,2022.12.31 현재,"82,125,521,241",제 56 기,2021.12.31 현재,"71,727,779,886",11,KRW
20240322000958,11011,2023,00172936,004890,CFS,연결재무제표,BS,재무상태표,자본금,제 58 기,2023.12.31 현재,"12,126,075,000",제 57 기,2022.12.31 현재,"12,126,075,000",제 56 기,2021.12.31 현재,"12,126,075,000",13,KRW
20240322000958,11011,2023,00172936,004890,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 58 기,2023.12.31 현재,"398,430,918,638",제 57 기,2022.12.31 현재,"405,630,983,746",제 56 기,2021.12.31 현재,"390,390,613,870",17,KRW
20240322000958,11011,2023,00172936,004890,CFS,연결재무제표,BS,재무상태표,자본총계,제 58 기,2023.12.31 현재,"410,077,126,862",제 57 기,2022.12.31 현재,"417,277,191,970",제 56 기,2021.12.31 현재,"402,036,822,094",21,KRW
20240322000958,11011,2023,00172936,004890,CFS,연결재무제표,IS,손익계산서,매출액,제 58 기,2023.01.01 ~ 2023.12.31,"441,161,261,164",제 57 기,2022.01.01 ~ 2022.12.31,"498,050,514,999",제 56 기,2021.01.01 ~ 2021.12.31,"464,419,157,825",23,KRW
20240322000958,11011,2023,00172936,004890,CFS,연결재무제표,IS,손익계산서,영업이익,제 58 기,2023.01.01 ~ 2023.12.31,"-4,238,627,709",제 57 기,2022.01.01 ~ 2022.12.31,"22,590,867,293",제 56 기,2021.01.01 ~ 2021.12.31,"42,048,806,893",25,KRW
20240322000958,11011,2023,00172936,004890,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 58 기,2023.01.01 ~ 2023.12.31,"253,793,084",제 57 기,2022.01.01 ~ 2022.12.31,"28,752,143,279",제 56 기,2021.01.01 ~ 2021.12.31,"57,274,249,982",27,KRW
20240322000958,11011,2023,00172936,004890,CFS,연결재무제표,IS,손익계산서,당기순이익,제 58 기,2023.01.01 ~ 2023.12.31,"-1,075,698,296",제 57 기,2022.01.01 ~ 2022.12.31,"21,844,965,319",제 56 기,2021.01.01 ~ 2021.12.31,"43,781,037,304",29,KRW
20240322000958,11011,2023,00172936,004890,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 58 기,2023.01.01 ~ 2023.12.31,"-1,075,698,296",제 57 기,2022.01.01 ~ 2022.12.31,"21,844,965,319",제 56 기,2021.01.01 ~ 2021.12.31,"43,781,037,304",61,KRW
20240322000958,11011,2023,00172936,004890,CFS,연결재무제표,IS,손익계산서,총포괄손익,제 58 기,2023.01.01 ~ 2023.12.31,"-701,852,108",제 57 기,2022.01.01 ~ 2022.12.31,"23,904,653,876",제 56 기,2021.01.01 ~ 2021.12.31,"45,453,377,865",63,KRW
20240322000958,11011,2023,00172936,004890,OFS,재무제표,BS,재무상태표,유동자산,제 58 기,2023.12.31 현재,"264,923,416,502",제 57 기,2022.12.31 현재,"289,175,088,384",제 56 기,2021.12.31 현재,"262,979,132,835",2,KRW
20240322000958,11011,2023,00172936,004890,OFS,재무제표,BS,재무상태표,비유동자산,제 58 기,2023.12.31 현재,"171,005,399,717",제 57 기,2022.12.31 현재,"168,702,201,046",제 56 기,2021.12.31 현재,"183,105,207,814",4,KRW
20240322000958,11011,2023,00172936,004890,OFS,재무제표,BS,재무상태표,자산총계,제 58 기,2023.12.31 현재,"435,928,816,219",제 57 기,2022.12.31 현재,"457,877,289,430",제 56 기,2021.12.31 현재,"446,084,340,649",6,KRW
20240322000958,11011,2023,00172936,004890,OFS,재무제표,BS,재무상태표,유동부채,제 58 기,2023.12.31 현재,"41,174,336,172",제 57 기,2022.12.31 현재,"50,970,355,958",제 56 기,2021.12.31 현재,"48,667,093,790",8,KRW
20240322000958,11011,2023,00172936,004890,OFS,재무제표,BS,재무상태표,비유동부채,제 58 기,2023.12.31 현재,"1,138,587,808",제 57 기,2022.12.31 현재,"1,206,113,706",제 56 기,2021.12.31 현재,"3,563,828,629",10,KRW
20240322000958,11011,2023,00172936,004890,OFS,재무제표,BS,재무상태표,부채총계,제 58 기,2023.12.31 현재,"42,312,923,980",제 57 기,2022.12.31 현재,"52,176,469,664",제 56 기,2021.12.31 현재,"52,230,922,419",12,KRW
20240322000958,11011,2023,00172936,004890,OFS,재무제표,BS,재무상태표,자본금,제 58 기,2023.12.31 현재,"12,126,075,000",제 57 기,2022.12.31 현재,"12,126,075,000",제 56 기,2021.12.31 현재,"12,126,075,000",15,KRW
20240322000958,11011,2023,00172936,004890,OFS,재무제표,BS,재무상태표,이익잉여금,제 58 기,2023.12.31 현재,"381,969,684,015",제 57 기,2022.12.31 현재,"394,054,611,542",제 56 기,2021.12.31 현재,"382,207,210,006",19,KRW
20240322000958,11011,2023,00172936,004890,OFS,재무제표,BS,재무상태표,자본총계,제 58 기,2023.12.31 현재,"393,615,892,239",제 57 기,2022.12.31 현재,"405,700,819,766",제 56 기,2021.12.31 현재,"393,853,418,230",22,KRW
20240322000958,11011,2023,00172936,004890,OFS,재무제표,IS,손익계산서,매출액,제 58 기,2023.01.01 ~ 2023.12.31,"382,162,736,789",제 57 기,2022.01.01 ~ 2022.12.31,"441,052,792,245",제 56 기,2021.01.01 ~ 2021.12.31,"405,515,546,532",24,KRW
20240322000958,11011,2023,00172936,004890,OFS,재무제표,IS,손익계산서,영업이익,제 58 기,2023.01.01 ~ 2023.12.31,"-8,891,636,506",제 57 기,2022.01.01 ~ 2022.12.31,"20,091,259,284",제 56 기,2021.01.01 ~ 2021.12.31,"39,677,250,620",26,KRW
20240322000958,11011,2023,00172936,004890,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 58 기,2023.01.01 ~ 2023.12.31,"-5,432,738,479",제 57 기,2022.01.01 ~ 2022.12.31,"24,421,805,121",제 56 기,2021.01.01 ~ 2021.12.31,"51,776,434,203",28,KRW
20240322000958,11011,2023,00172936,004890,OFS,재무제표,IS,손익계산서,당기순이익,제 58 기,2023.01.01 ~ 2023.12.31,"-6,064,135,679",제 57 기,2022.01.01 ~ 2022.12.31,"18,622,025,519",제 56 기,2021.01.01 ~ 2021.12.31,"39,416,565,302",30,KRW
20240322000958,11011,2023,00172936,004890,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 58 기,2023.01.01 ~ 2023.12.31,"-6,064,135,679",제 57 기,2022.01.01 ~ 2022.12.31,"18,622,025,519",제 56 기,2021.01.01 ~ 2021.12.31,"39,416,565,302",62,KRW
20240322000958,11011,2023,00172936,004890,OFS,재무제표,IS,손익계산서,총포괄손익,제 58 기,2023.01.01 ~ 2023.12.31,"-5,586,714,527",제 57 기,2022.01.01 ~ 2022.12.31,"20,511,685,536",제 56 기,2021.01.01 ~ 2021.12.31,"40,902,850,654",64,KRW
