rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250321000440,11011,2024,00172945,023790,OFS,재무제표,BS,재무상태표,유동자산,제 58 기,2024.12.31 현재,"14,525,838,867",제 57 기,2023.12.31 현재,"20,471,959,627",제 56 기,2022.12.31 현재,"20,514,216,954",2,KRW
20250321000440,11011,2024,00172945,023790,OFS,재무제표,BS,재무상태표,비유동자산,제 58 기,2024.12.31 현재,"57,036,804,858",제 57 기,2023.12.31 현재,"52,808,989,747",제 56 기,2022.12.31 현재,"75,511,164,366",4,KRW
20250321000440,11011,2024,00172945,023790,OFS,재무제표,BS,재무상태표,자산총계,제 58 기,2024.12.31 현재,"71,562,643,725",제 57 기,2023.12.31 현재,"73,280,949,374",제 56 기,2022.12.31 현재,"96,025,381,320",6,KRW
20250321000440,11011,2024,00172945,023790,OFS,재무제표,BS,재무상태표,유동부채,제 58 기,2024.12.31 현재,"39,288,744,501",제 57 기,2023.12.31 현재,"39,465,608,615",제 56 기,2022.12.31 현재,"40,207,087,102",8,KRW
20250321000440,11011,2024,00172945,023790,OFS,재무제표,BS,재무상태표,비유동부채,제 58 기,2024.12.31 현재,"15,282,521,138",제 57 기,2023.12.31 현재,"15,678,147,141",제 56 기,2022.12.31 현재,"19,126,670,104",10,KRW
20250321000440,11011,2024,00172945,023790,OFS,재무제표,BS,재무상태표,부채총계,제 58 기,2024.12.31 현재,"54,571,265,639",제 57 기,2023.12.31 현재,"55,143,755,756",제 56 기,2022.12.31 현재,"59,333,757,206",12,KRW
20250321000440,11011,2024,00172945,023790,OFS,재무제표,BS,재무상태표,자본금,제 58 기,2024.12.31 현재,"10,420,667,500",제 57 기,2023.12.31 현재,"9,856,333,500",제 56 기,2022.12.31 현재,"7,992,223,000",15,KRW
20250321000440,11011,2024,00172945,023790,OFS,재무제표,BS,재무상태표,이익잉여금,제 58 기,2024.12.31 현재,"-60,909,006,772",제 57 기,2023.12.31 현재,"-54,503,061,474",제 56 기,2022.12.31 현재,"-38,718,946,399",19,KRW
20250321000440,11011,2024,00172945,023790,OFS,재무제표,BS,재무상태표,자본총계,제 58 기,2024.12.31 현재,"16,991,378,086",제 57 기,2023.12.31 현재,"18,137,193,618",제 56 기,2022.12.31 현재,"36,691,624,114",22,KRW
20250321000440,11011,2024,00172945,023790,OFS,재무제표,IS,손익계산서,매출액,제 58 기,2024.01.01 ~ 2024.12.31,"16,633,409,791",제 57 기,2023.01.01 ~ 2023.12.31,"21,471,427,299",제 56 기,2022.01.01 ~ 2022.12.31,"32,221,196,756",24,KRW
20250321000440,11011,2024,00172945,023790,OFS,재무제표,IS,손익계산서,영업이익,제 58 기,2024.01.01 ~ 2024.12.31,"-1,800,645,491",제 57 기,2023.01.01 ~ 2023.12.31,"-3,313,257,599",제 56 기,2022.01.01 ~ 2022.12.31,"901,676,894",26,KRW
20250321000440,11011,2024,00172945,023790,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 58 기,2024.01.01 ~ 2024.12.31,"-4,231,364,138",제 57 기,2023.01.01 ~ 2023.12.31,"-22,357,500,170",제 56 기,2022.01.01 ~ 2022.12.31,"-16,058,851,415",28,KRW
20250321000440,11011,2024,00172945,023790,OFS,재무제표,IS,손익계산서,당기순이익,제 58 기,2024.01.01 ~ 2024.12.31,"-5,011,433,450",제 57 기,2023.01.01 ~ 2023.12.31,"-22,297,885,966",제 56 기,2022.01.01 ~ 2022.12.31,"-15,634,632,651",30,KRW
20250321000440,11011,2024,00172945,023790,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 58 기,2024.01.01 ~ 2024.12.31,"-5,011,433,450",제 57 기,2023.01.01 ~ 2023.12.31,"-22,297,885,966",제 56 기,2022.01.01 ~ 2022.12.31,"-15,634,632,651",62,KRW
20250321000440,11011,2024,00172945,023790,OFS,재무제표,IS,손익계산서,총포괄손익,제 58 기,2024.01.01 ~ 2024.12.31,"-2,075,068,190",제 57 기,2023.01.01 ~ 2023.12.31,"-25,813,787,044",제 56 기,2022.01.01 ~ 2022.12.31,"-6,774,660,784",64,KRW
