rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20230321001018,11011,2022,00563545,131970,OFS,재무제표,BS,재무상태표,유동자산,제 21 기,2022.12.31 현재,"107,927,202,623",제 20 기,2021.12.31 현재,"78,605,424,427",제 19 기,2020.12.31 현재,"60,440,720,162",2,KRW
20230321001018,11011,2022,00563545,131970,OFS,재무제표,BS,재무상태표,비유동자산,제 21 기,2022.12.31 현재,"659,089,531,513",제 20 기,2021.12.31 현재,"454,889,146,071",제 19 기,2020.12.31 현재,"395,692,730,327",4,KRW
20230321001018,11011,2022,00563545,131970,OFS,재무제표,BS,재무상태표,자산총계,제 21 기,2022.12.31 현재,"767,016,734,136",제 20 기,2021.12.31 현재,"533,494,570,498",제 19 기,2020.12.31 현재,"456,133,450,489",6,KRW
20230321001018,11011,2022,00563545,131970,OFS,재무제표,BS,재무상태표,유동부채,제 21 기,2022.12.31 현재,"275,679,314,425",제 20 기,2021.12.31 현재,"159,228,833,215",제 19 기,2020.12.31 현재,"145,530,349,364",8,KRW
20230321001018,11011,2022,00563545,131970,OFS,재무제표,BS,재무상태표,비유동부채,제 21 기,2022.12.31 현재,"181,503,397,602",제 20 기,2021.12.31 현재,"111,854,864,477",제 19 기,2020.12.31 현재,"86,771,738,688",10,KRW
20230321001018,11011,2022,00563545,131970,OFS,재무제표,BS,재무상태표,부채총계,제 21 기,2022.12.31 현재,"457,182,712,027",제 20 기,2021.12.31 현재,"271,083,697,692",제 19 기,2020.12.31 현재,"232,302,088,052",12,KRW
20230321001018,11011,2022,00563545,131970,OFS,재무제표,BS,재무상태표,자본금,제 21 기,2022.12.31 현재,"8,540,124,500",제 20 기,2021.12.31 현재,"8,540,124,500",제 19 기,2020.12.31 현재,"8,540,124,500",15,KRW
20230321001018,11011,2022,00563545,131970,OFS,재무제표,BS,재무상태표,이익잉여금,제 21 기,2022.12.31 현재,"219,881,359,537",제 20 기,2021.12.31 현재,"168,368,578,761",제 19 기,2020.12.31 현재,"124,667,857,681",19,KRW
20230321001018,11011,2022,00563545,131970,OFS,재무제표,BS,재무상태표,자본총계,제 21 기,2022.12.31 현재,"309,834,022,109",제 20 기,2021.12.31 현재,"262,410,872,806",제 19 기,2020.12.31 현재,"223,831,362,437",22,KRW
20230321001018,11011,2022,00563545,131970,OFS,재무제표,IS,손익계산서,매출액,제 21 기,2022.01.01 ~ 2022.12.31,"277,655,937,555",제 20 기,2021.01.01 ~ 2021.12.31,"207,584,466,664",제 19 기,2020.01.01 ~ 2020.12.31,"132,518,902,230",24,KRW
20230321001018,11011,2022,00563545,131970,OFS,재무제표,IS,손익계산서,영업이익,제 21 기,2022.01.01 ~ 2022.12.31,"67,169,269,292",제 20 기,2021.01.01 ~ 2021.12.31,"54,062,137,444",제 19 기,2020.01.01 ~ 2020.12.31,"30,560,315,153",26,KRW
20230321001018,11011,2022,00563545,131970,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 21 기,2022.01.01 ~ 2022.12.31,"61,082,024,859",제 20 기,2021.01.01 ~ 2021.12.31,"51,736,220,339",제 19 기,2020.01.01 ~ 2020.12.31,"25,340,237,659",28,KRW
20230321001018,11011,2022,00563545,131970,OFS,재무제표,IS,손익계산서,당기순이익,제 21 기,2022.01.01 ~ 2022.12.31,"52,333,033,783",제 20 기,2021.01.01 ~ 2021.12.31,"47,166,344,546",제 19 기,2020.01.01 ~ 2020.12.31,"37,227,267,696",30,KRW
20230321001018,11011,2022,00563545,131970,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 21 기,2022.01.01 ~ 2022.12.31,"52,333,033,783",제 20 기,2021.01.01 ~ 2021.12.31,"47,166,344,546",제 19 기,2020.01.01 ~ 2020.12.31,"37,227,267,696",62,KRW
