rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20240423000613,11011,2023,00249034,035430,CFS,연결재무제표,BS,재무상태표,유동자산,제 27 기,2023.12.31 현재,"57,792,281,067",제 26 기,2022.12.31 현재,"47,723,568,254",제 25 기,2021.12.31 현재,"46,055,568,488",1,KRW
20240423000613,11011,2023,00249034,035430,CFS,연결재무제표,BS,재무상태표,비유동자산,제 27 기,2023.12.31 현재,"248,380,865,184",제 26 기,2022.12.31 현재,"243,481,100,705",제 25 기,2021.12.31 현재,"259,934,823,198",3,KRW
20240423000613,11011,2023,00249034,035430,CFS,연결재무제표,BS,재무상태표,자산총계,제 27 기,2023.12.31 현재,"306,173,146,251",제 26 기,2022.12.31 현재,"291,204,668,959",제 25 기,2021.12.31 현재,"305,990,391,686",5,KRW
20240423000613,11011,2023,00249034,035430,CFS,연결재무제표,BS,재무상태표,유동부채,제 27 기,2023.12.31 현재,"156,174,610,646",제 26 기,2022.12.31 현재,"135,525,890,805",제 25 기,2021.12.31 현재,"144,242,602,084",7,KRW
20240423000613,11011,2023,00249034,035430,CFS,연결재무제표,BS,재무상태표,비유동부채,제 27 기,2023.12.31 현재,"33,498,319,080",제 26 기,2022.12.31 현재,"27,727,858,417",제 25 기,2021.12.31 현재,"58,605,470,988",9,KRW
20240423000613,11011,2023,00249034,035430,CFS,연결재무제표,BS,재무상태표,부채총계,제 27 기,2023.12.31 현재,"189,672,929,726",제 26 기,2022.12.31 현재,"163,253,749,222",제 25 기,2021.12.31 현재,"202,848,073,072",11,KRW
20240423000613,11011,2023,00249034,035430,CFS,연결재무제표,BS,재무상태표,자본금,제 27 기,2023.12.31 현재,"109,580,320,000",제 26 기,2022.12.31 현재,"109,580,320,000",제 25 기,2021.12.31 현재,"82,883,200,000",13,KRW
20240423000613,11011,2023,00249034,035430,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 27 기,2023.12.31 현재,"7,410,702,169",제 26 기,2022.12.31 현재,"18,159,951,319",제 25 기,2021.12.31 현재,"971,214,700",17,KRW
20240423000613,11011,2023,00249034,035430,CFS,연결재무제표,BS,재무상태표,자본총계,제 27 기,2023.12.31 현재,"116,500,216,525",제 26 기,2022.12.31 현재,"127,950,919,737",제 25 기,2021.12.31 현재,"103,142,318,614",21,KRW
20240423000613,11011,2023,00249034,035430,CFS,연결재무제표,IS,손익계산서,매출액,제 27 기,2023.01.01 ~ 2023.12.31,"171,140,347,948",제 26 기,2022.01.01 ~ 2022.12.31,"171,961,030,354",제 25 기,2021.01.01 ~ 2021.12.31,"171,277,681,784",23,KRW
20240423000613,11011,2023,00249034,035430,CFS,연결재무제표,IS,손익계산서,영업이익,제 27 기,2023.01.01 ~ 2023.12.31,"-3,458,955,776",제 26 기,2022.01.01 ~ 2022.12.31,"5,369,204,489",제 25 기,2021.01.01 ~ 2021.12.31,"-137,639,359",25,KRW
20240423000613,11011,2023,00249034,035430,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 27 기,2023.01.01 ~ 2023.12.31,"-4,969,017,310",제 26 기,2022.01.01 ~ 2022.12.31,"17,238,266,717",제 25 기,2021.01.01 ~ 2021.12.31,"-1,285,874,178",27,KRW
20240423000613,11011,2023,00249034,035430,CFS,연결재무제표,IS,손익계산서,당기순이익,제 27 기,2023.01.01 ~ 2023.12.31,"-8,232,494,205",제 26 기,2022.01.01 ~ 2022.12.31,"17,099,874,113",제 25 기,2021.01.01 ~ 2021.12.31,"-2,516,913,325",29,KRW
20240423000613,11011,2023,00249034,035430,CFS,연결재무제표,BS,재무상태표,차입부채,제 27 기,2023.12.31 현재,"37,871,250,000",제 26 기,2022.12.31 현재,"24,191,435,220",제 25 기,2021.12.31 현재,"28,666,435,220",33,KRW
