rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20231206000462,11011,2023,01475609,377190,CFS,연결재무제표,BS,재무상태표,유동자산,제 7 기,2023.09.30 현재,"33,697,517,663",제 6 기,2023.03.31 현재,"38,802,923,273",제 5 기,2022.09.30 현재,"44,741,971,660",1,KRW
20231206000462,11011,2023,01475609,377190,CFS,연결재무제표,BS,재무상태표,비유동자산,제 7 기,2023.09.30 현재,"826,621,616,700",제 6 기,2023.03.31 현재,"829,214,499,700",제 5 기,2022.09.30 현재,"824,294,448,674",3,KRW
20231206000462,11011,2023,01475609,377190,CFS,연결재무제표,BS,재무상태표,자산총계,제 7 기,2023.09.30 현재,"860,319,134,363",제 6 기,2023.03.31 현재,"868,017,422,973",제 5 기,2022.09.30 현재,"869,036,420,334",5,KRW
20231206000462,11011,2023,01475609,377190,CFS,연결재무제표,BS,재무상태표,유동부채,제 7 기,2023.09.30 현재,"125,006,252,139",제 6 기,2023.03.31 현재,"64,977,870,471",제 5 기,2022.09.30 현재,"62,915,663,080",7,KRW
20231206000462,11011,2023,01475609,377190,CFS,연결재무제표,BS,재무상태표,비유동부채,제 7 기,2023.09.30 현재,"426,260,039,687",제 6 기,2023.03.31 현재,"487,364,110,622",제 5 기,2022.09.30 현재,"488,219,313,120",9,KRW
20231206000462,11011,2023,01475609,377190,CFS,연결재무제표,BS,재무상태표,부채총계,제 7 기,2023.09.30 현재,"551,266,291,826",제 6 기,2023.03.31 현재,"552,341,981,093",제 5 기,2022.09.30 현재,"551,134,976,200",11,KRW
20231206000462,11011,2023,01475609,377190,CFS,연결재무제표,BS,재무상태표,자본금,제 7 기,2023.09.30 현재,"64,400,000,000",제 6 기,2023.03.31 현재,"64,400,000,000",제 5 기,2022.09.30 현재,"64,400,000,000",13,KRW
20231206000462,11011,2023,01475609,377190,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 7 기,2023.09.30 현재,"-16,473,299,496",제 6 기,2023.03.31 현재,"-9,952,284,357",제 5 기,2022.09.30 현재,"-8,930,570,946",17,KRW
20231206000462,11011,2023,01475609,377190,CFS,연결재무제표,BS,재무상태표,자본총계,제 7 기,2023.09.30 현재,"309,052,842,537",제 6 기,2023.03.31 현재,"315,675,441,880",제 5 기,2022.09.30 현재,"317,901,444,134",21,KRW
20231206000462,11011,2023,01475609,377190,CFS,연결재무제표,IS,손익계산서,영업이익,제 7 기,2023.04.01 ~ 2023.09.30,"10,780,572,029",제 6 기,2022.10.01 ~ 2023.03.31,"11,118,613,017",제 5 기,2022.04.01 ~ 2022.09.30,"10,324,471,269",25,KRW
