rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250321001238,11011,2024,00180865,031860,CFS,연결재무제표,BS,재무상태표,유동자산,제 46 기,2024.12.31 현재,"20,105,493,372",제 45 기,2023.12.31 현재,"21,739,350,832",제 44 기,2022.12.31 현재,"23,686,559,130",1,KRW
20250321001238,11011,2024,00180865,031860,CFS,연결재무제표,BS,재무상태표,비유동자산,제 46 기,2024.12.31 현재,"35,029,738,118",제 45 기,2023.12.31 현재,"44,343,365,547",제 44 기,2022.12.31 현재,"58,441,672,042",3,KRW
20250321001238,11011,2024,00180865,031860,CFS,연결재무제표,BS,재무상태표,자산총계,제 46 기,2024.12.31 현재,"56,156,827,002",제 45 기,2023.12.31 현재,"66,082,716,379",제 44 기,2022.12.31 현재,"82,927,763,581",5,KRW
20250321001238,11011,2024,00180865,031860,CFS,연결재무제표,BS,재무상태표,유동부채,제 46 기,2024.12.31 현재,"7,814,822,355",제 45 기,2023.12.31 현재,"5,503,431,358",제 44 기,2022.12.31 현재,"22,300,463,182",7,KRW
20250321001238,11011,2024,00180865,031860,CFS,연결재무제표,BS,재무상태표,비유동부채,제 46 기,2024.12.31 현재,"1,094,484,545",제 45 기,2023.12.31 현재,"830,231,778",제 44 기,2022.12.31 현재,"766,434,462",9,KRW
20250321001238,11011,2024,00180865,031860,CFS,연결재무제표,BS,재무상태표,부채총계,제 46 기,2024.12.31 현재,"8,910,079,354",제 45 기,2023.12.31 현재,"6,333,663,136",제 44 기,2022.12.31 현재,"23,066,897,644",11,KRW
20250321001238,11011,2024,00180865,031860,CFS,연결재무제표,BS,재무상태표,자본금,제 46 기,2024.12.31 현재,"8,586,010,500",제 45 기,2023.12.31 현재,"65,151,757,500",제 44 기,2022.12.31 현재,"43,286,059,000",13,KRW
20250321001238,11011,2024,00180865,031860,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 46 기,2024.12.31 현재,"-63,785,906,739",제 45 기,2023.12.31 현재,"-104,890,730,996",제 44 기,2022.12.31 현재,"-84,780,608,534",17,KRW
20250321001238,11011,2024,00180865,031860,CFS,연결재무제표,BS,재무상태표,자본총계,제 46 기,2024.12.31 현재,"47,246,747,648",제 45 기,2023.12.31 현재,"59,749,053,243",제 44 기,2022.12.31 현재,"59,860,865,937",21,KRW
20250321001238,11011,2024,00180865,031860,CFS,연결재무제표,IS,손익계산서,매출액,제 46 기,2024.01.01 ~ 2024.12.31,"9,544,054,643",제 45 기,2023.01.01 ~ 2023.12.31,"11,133,491,507",제 44 기,2022.01.01 ~ 2022.12.31,"8,348,605,577",23,KRW
20250321001238,11011,2024,00180865,031860,CFS,연결재무제표,IS,손익계산서,영업이익,제 46 기,2024.01.01 ~ 2024.12.31,"-6,120,112,317",제 45 기,2023.01.01 ~ 2023.12.31,"-10,174,470,401",제 44 기,2022.01.01 ~ 2022.12.31,"-6,474,345,726",25,KRW
20250321001238,11011,2024,00180865,031860,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 46 기,2024.01.01 ~ 2024.12.31,"-17,532,166,235",제 45 기,2023.01.01 ~ 2023.12.31,"-29,715,668,970",제 44 기,2022.01.01 ~ 2022.12.31,"-13,144,163,820",27,KRW
20250321001238,11011,2024,00180865,031860,CFS,연결재무제표,IS,손익계산서,당기순이익,제 46 기,2024.01.01 ~ 2024.12.31,"-18,268,232,761",제 45 기,2023.01.01 ~ 2023.12.31,"-32,501,586,699",제 44 기,2022.01.01 ~ 2022.12.31,"-15,192,557,773",29,KRW
20250321001238,11011,2024,00180865,031860,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 46 기,2024.01.01 ~ 2024.12.31,"-18,268,232,761",제 45 기,2023.01.01 ~ 2023.12.31,"-32,501,586,699",제 44 기,2022.01.01 ~ 2022.12.31,"-15,192,557,773",61,KRW
20250321001238,11011,2024,00180865,031860,CFS,연결재무제표,IS,손익계산서,총포괄손익,제 46 기,2024.01.01 ~ 2024.12.31,"-18,432,643,372",제 45 기,2023.01.01 ~ 2023.12.31,"-22,688,863,765",제 44 기,2022.01.01 ~ 2022.12.31,"-12,026,018,449",63,KRW
20250321001238,11011,2024,00180865,031860,OFS,재무제표,BS,재무상태표,유동자산,제 46 기,2024.12.31 현재,"18,770,345,709",제 45 기,2023.12.31 현재,"21,444,750,315",제 44 기,2022.12.31 현재,"23,120,938,772",2,KRW
20250321001238,11011,2024,00180865,031860,OFS,재무제표,BS,재무상태표,비유동자산,제 46 기,2024.12.31 현재,"31,896,665,119",제 45 기,2023.12.31 현재,"51,880,151,467",제 44 기,2022.12.31 현재,"65,617,583,759",4,KRW
