rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20240321001006,11011,2023,00445160,079810,CFS,연결재무제표,BS,재무상태표,유동자산,제 23 기,2023.12.31 현재,"177,961,839,469",제 22 기,2022.12.31 현재,"49,011,644,615",제 21 기,2021.12.31 현재,"30,373,714,806",1,KRW
20240321001006,11011,2023,00445160,079810,CFS,연결재무제표,BS,재무상태표,비유동자산,제 23 기,2023.12.31 현재,"56,625,063,761",제 22 기,2022.12.31 현재,"40,040,321,661",제 21 기,2021.12.31 현재,"29,493,637,389",3,KRW
20240321001006,11011,2023,00445160,079810,CFS,연결재무제표,BS,재무상태표,자산총계,제 23 기,2023.12.31 현재,"234,586,903,230",제 22 기,2022.12.31 현재,"89,051,966,276",제 21 기,2021.12.31 현재,"59,867,352,195",5,KRW
20240321001006,11011,2023,00445160,079810,CFS,연결재무제표,BS,재무상태표,유동부채,제 23 기,2023.12.31 현재,"83,164,250,391",제 22 기,2022.12.31 현재,"57,279,507,315",제 21 기,2021.12.31 현재,"23,385,029,436",7,KRW
20240321001006,11011,2023,00445160,079810,CFS,연결재무제표,BS,재무상태표,비유동부채,제 23 기,2023.12.31 현재,"6,090,854,345",제 22 기,2022.12.31 현재,"8,319,781,928",제 21 기,2021.12.31 현재,"10,254,229,019",9,KRW
20240321001006,11011,2023,00445160,079810,CFS,연결재무제표,BS,재무상태표,부채총계,제 23 기,2023.12.31 현재,"89,255,104,736",제 22 기,2022.12.31 현재,"65,599,289,243",제 21 기,2021.12.31 현재,"33,639,258,455",11,KRW
20240321001006,11011,2023,00445160,079810,CFS,연결재무제표,BS,재무상태표,자본금,제 23 기,2023.12.31 현재,"11,014,047,000",제 22 기,2022.12.31 현재,"8,000,047,000",제 21 기,2021.12.31 현재,"7,753,947,500",13,KRW
20240321001006,11011,2023,00445160,079810,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 23 기,2023.12.31 현재,"-14,291,330,457",제 22 기,2022.12.31 현재,"-14,598,516,421",제 21 기,2021.12.31 현재,"-9,407,821,136",17,KRW
20240321001006,11011,2023,00445160,079810,CFS,연결재무제표,BS,재무상태표,자본총계,제 23 기,2023.12.31 현재,"145,331,798,494",제 22 기,2022.12.31 현재,"23,452,677,033",제 21 기,2021.12.31 현재,"26,228,093,740",21,KRW
20240321001006,11011,2023,00445160,079810,CFS,연결재무제표,IS,손익계산서,매출액,제 23 기,2023.01.01 ~ 2023.12.31,"127,353,695,998",제 22 기,2022.01.01 ~ 2022.12.31,"50,156,594,629",제 21 기,2021.01.01 ~ 2021.12.31,"42,257,960,103",23,KRW
20240321001006,11011,2023,00445160,079810,CFS,연결재무제표,IS,손익계산서,영업이익,제 23 기,2023.01.01 ~ 2023.12.31,"1,747,811,023",제 22 기,2022.01.01 ~ 2022.12.31,"-4,537,959,489",제 21 기,2021.01.01 ~ 2021.12.31,"1,191,452,041",25,KRW
20240321001006,11011,2023,00445160,079810,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 23 기,2023.01.01 ~ 2023.12.31,"1,044,223,787",제 22 기,2022.01.01 ~ 2022.12.31,"-5,573,784,693",제 21 기,2021.01.01 ~ 2021.12.31,"909,175,117",27,KRW
