rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250320000624,11011,2024,01344831,315640,OFS,재무제표,BS,재무상태표,유동자산,제 17 기,2024.12.31 현재,"19,392,727,539",제 16 기,2023.12.31 현재,"31,630,547,056",제 15 기,2022.12.31 현재,"11,753,582,331",2,KRW
20250320000624,11011,2024,01344831,315640,OFS,재무제표,BS,재무상태표,비유동자산,제 17 기,2024.12.31 현재,"12,581,249,523",제 16 기,2023.12.31 현재,"2,793,510,131",제 15 기,2022.12.31 현재,"2,773,719,853",4,KRW
20250320000624,11011,2024,01344831,315640,OFS,재무제표,BS,재무상태표,자산총계,제 17 기,2024.12.31 현재,"31,973,977,062",제 16 기,2023.12.31 현재,"34,424,057,187",제 15 기,2022.12.31 현재,"14,527,302,184",6,KRW
20250320000624,11011,2024,01344831,315640,OFS,재무제표,BS,재무상태표,유동부채,제 17 기,2024.12.31 현재,"3,708,287,196",제 16 기,2023.12.31 현재,"5,379,521,690",제 15 기,2022.12.31 현재,"2,902,459,343",8,KRW
20250320000624,11011,2024,01344831,315640,OFS,재무제표,BS,재무상태표,비유동부채,제 17 기,2024.12.31 현재,"9,224,216,745",제 16 기,2023.12.31 현재,"1,866,793,156",제 15 기,2022.12.31 현재,"1,658,494,018",10,KRW
20250320000624,11011,2024,01344831,315640,OFS,재무제표,BS,재무상태표,부채총계,제 17 기,2024.12.31 현재,"12,932,503,941",제 16 기,2023.12.31 현재,"7,246,314,846",제 15 기,2022.12.31 현재,"4,560,953,361",12,KRW
20250320000624,11011,2024,01344831,315640,OFS,재무제표,BS,재무상태표,자본금,제 17 기,2024.12.31 현재,"11,210,634,000",제 16 기,2023.12.31 현재,"5,531,067,000",제 15 기,2022.12.31 현재,"4,658,567,000",15,KRW
20250320000624,11011,2024,01344831,315640,OFS,재무제표,BS,재무상태표,이익잉여금,제 17 기,2024.12.31 현재,"-63,781,242,724",제 16 기,2023.12.31 현재,"-54,703,557,336",제 15 기,2022.12.31 현재,"-47,966,491,797",19,KRW
20250320000624,11011,2024,01344831,315640,OFS,재무제표,BS,재무상태표,자본총계,제 17 기,2024.12.31 현재,"19,041,473,121",제 16 기,2023.12.31 현재,"27,177,742,341",제 15 기,2022.12.31 현재,"9,966,348,823",22,KRW
20250320000624,11011,2024,01344831,315640,OFS,재무제표,IS,손익계산서,매출액,제 17 기,2024.01.01 ~ 2024.12.31,"10,847,380,732",제 16 기,2023.01.01 ~ 2023.12.31,"1,933,065,857",제 15 기,2022.01.01 ~ 2022.12.31,"3,181,548,542",24,KRW
20250320000624,11011,2024,01344831,315640,OFS,재무제표,IS,손익계산서,영업이익,제 17 기,2024.01.01 ~ 2024.12.31,"-10,095,677,184",제 16 기,2023.01.01 ~ 2023.12.31,"-6,726,839,518",제 15 기,2022.01.01 ~ 2022.12.31,"-6,158,546,806",26,KRW
20250320000624,11011,2024,01344831,315640,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 17 기,2024.01.01 ~ 2024.12.31,"-9,077,685,388",제 16 기,2023.01.01 ~ 2023.12.31,"-6,737,065,539",제 15 기,2022.01.01 ~ 2022.12.31,"-5,333,982,810",28,KRW
20250320000624,11011,2024,01344831,315640,OFS,재무제표,IS,손익계산서,당기순이익,제 17 기,2024.01.01 ~ 2024.12.31,"-9,077,685,388",제 16 기,2023.01.01 ~ 2023.12.31,"-6,737,065,539",제 15 기,2022.01.01 ~ 2022.12.31,"-5,333,982,810",30,KRW
20250320000624,11011,2024,01344831,315640,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 17 기,2024.01.01 ~ 2024.12.31,"-9,077,685,388",제 16 기,2023.01.01 ~ 2023.12.31,"-6,737,065,539",제 15 기,2022.01.01 ~ 2022.12.31,"-5,333,982,810",62,KRW
20250320000624,11011,2024,01344831,315640,OFS,재무제표,IS,손익계산서,총포괄손익,제 17 기,2024.01.01 ~ 2024.12.31,"-9,149,334,996",제 16 기,2023.01.01 ~ 2023.12.31,"-6,795,193,037",제 15 기,2022.01.01 ~ 2022.12.31,"-5,201,537,861",64,KRW
