rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20250320001605,11011,2024,00561866,115390,CFS,연결재무제표,BS,재무상태표,유동자산,제 20 기,2024.12.31 현재,"502,645,046,802",제 19 기,2023.12.31 현재,"379,999,826,847",제 18 기,2022.12.31 현재,"442,262,498,693",1,KRW
20250320001605,11011,2024,00561866,115390,CFS,연결재무제표,BS,재무상태표,비유동자산,제 20 기,2024.12.31 현재,"142,842,235,999",제 19 기,2023.12.31 현재,"221,807,967,061",제 18 기,2022.12.31 현재,"261,165,559,011",3,KRW
20250320001605,11011,2024,00561866,115390,CFS,연결재무제표,BS,재무상태표,자산총계,제 20 기,2024.12.31 현재,"645,487,282,801",제 19 기,2023.12.31 현재,"601,807,793,908",제 18 기,2022.12.31 현재,"703,428,057,704",5,KRW
20250320001605,11011,2024,00561866,115390,CFS,연결재무제표,BS,재무상태표,유동부채,제 20 기,2024.12.31 현재,"63,314,459,159",제 19 기,2023.12.31 현재,"72,719,071,385",제 18 기,2022.12.31 현재,"68,941,250,787",7,KRW
20250320001605,11011,2024,00561866,115390,CFS,연결재무제표,BS,재무상태표,비유동부채,제 20 기,2024.12.31 현재,"24,345,475,299",제 19 기,2023.12.31 현재,"27,623,983,339",제 18 기,2022.12.31 현재,"37,486,851,965",9,KRW
20250320001605,11011,2024,00561866,115390,CFS,연결재무제표,BS,재무상태표,부채총계,제 20 기,2024.12.31 현재,"87,659,934,458",제 19 기,2023.12.31 현재,"100,343,054,724",제 18 기,2022.12.31 현재,"106,428,102,752",11,KRW
20250320001605,11011,2024,00561866,115390,CFS,연결재무제표,BS,재무상태표,자본금,제 20 기,2024.12.31 현재,"24,062,983,500",제 19 기,2023.12.31 현재,"24,062,983,500",제 18 기,2022.12.31 현재,"27,500,000,000",13,KRW
20250320001605,11011,2024,00561866,115390,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 20 기,2024.12.31 현재,"516,970,692,071",제 19 기,2023.12.31 현재,"488,162,058,149",제 18 기,2022.12.31 현재,"251,004,340,585",17,KRW
20250320001605,11011,2024,00561866,115390,CFS,연결재무제표,BS,재무상태표,자본총계,제 20 기,2024.12.31 현재,"557,827,348,343",제 19 기,2023.12.31 현재,"501,464,739,184",제 18 기,2022.12.31 현재,"596,999,954,952",21,KRW
20250320001605,11011,2024,00561866,115390,CFS,연결재무제표,IS,손익계산서,매출액,제 20 기,2024.01.01 ~ 2024.12.31,"463,916,123,246",제 19 기,2023.01.01 ~ 2023.12.31,"484,764,055,130",제 18 기,2022.01.01 ~ 2022.12.31,"521,216,116,746",23,KRW
20250320001605,11011,2024,00561866,115390,CFS,연결재무제표,IS,손익계산서,영업이익,제 20 기,2024.01.01 ~ 2024.12.31,"1,708,094,797",제 19 기,2023.01.01 ~ 2023.12.31,"-21,057,063,223",제 18 기,2022.01.01 ~ 2022.12.31,"2,304,046,491",25,KRW
20250320001605,11011,2024,00561866,115390,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 20 기,2024.01.01 ~ 2024.12.31,"32,745,547,889",제 19 기,2023.01.01 ~ 2023.12.31,"-32,836,489,151",제 18 기,2022.01.01 ~ 2022.12.31,"-8,213,595,668",27,KRW
20250320001605,11011,2024,00561866,115390,CFS,연결재무제표,IS,손익계산서,당기순이익,제 20 기,2024.01.01 ~ 2024.12.31,"28,915,595,367",제 19 기,2023.01.01 ~ 2023.12.31,"-39,853,583,734",제 18 기,2022.01.01 ~ 2022.12.31,"-20,474,762,020",29,KRW
20250320001605,11011,2024,00561866,115390,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 20 기,2024.01.01 ~ 2024.12.31,"28,915,595,367",제 19 기,2023.01.01 ~ 2023.12.31,"-39,853,583,734",제 18 기,2022.01.01 ~ 2022.12.31,"-20,474,762,020",61,KRW
20250320001605,11011,2024,00561866,115390,CFS,연결재무제표,IS,손익계산서,총포괄손익,제 20 기,2024.01.01 ~ 2024.12.31,"56,261,659,141",제 19 기,2023.01.01 ~ 2023.12.31,"-40,400,700,601",제 18 기,2022.01.01 ~ 2022.12.31,"-13,970,162,690",63,KRW
20250320001605,11011,2024,00561866,115390,OFS,재무제표,BS,재무상태표,유동자산,제 20 기,2024.12.31 현재,"240,545,454,669",제 19 기,2023.12.31 현재,"106,609,736,775",제 18 기,2022.12.31 현재,"128,618,390,927",2,KRW
20250320001605,11011,2024,00561866,115390,OFS,재무제표,BS,재무상태표,비유동자산,제 20 기,2024.12.31 현재,"291,989,049,813",제 19 기,2023.12.31 현재,"421,208,147,108",제 18 기,2022.12.31 현재,"433,475,347,970",4,KRW
20250320001605,11011,2024,00561866,115390,OFS,재무제표,BS,재무상태표,자산총계,제 20 기,2024.12.31 현재,"532,534,504,482",제 19 기,2023.12.31 현재,"527,817,883,883",제 18 기,2022.12.31 현재,"562,093,738,897",6,KRW
20250320001605,11011,2024,00561866,115390,OFS,재무제표,BS,재무상태표,유동부채,제 20 기,2024.12.31 현재,"46,670,744,108",제 19 기,2023.12.31 현재,"51,926,949,673",제 18 기,2022.12.31 현재,"37,122,391,203",8,KRW
20250320001605,11011,2024,00561866,115390,OFS,재무제표,BS,재무상태표,비유동부채,제 20 기,2024.12.31 현재,"11,575,908,573",제 19 기,2023.12.31 현재,"15,935,592,408",제 18 기,2022.12.31 현재,"25,098,109,352",10,KRW
20250320001605,11011,2024,00561866,115390,OFS,재무제표,BS,재무상태표,부채총계,제 20 기,2024.12.31 현재,"58,246,652,681",제 19 기,2023.12.31 현재,"67,862,542,081",제 18 기,2022.12.31 현재,"62,220,500,555",12,KRW
20250320001605,11011,2024,00561866,115390,OFS,재무제표,BS,재무상태표,자본금,제 20 기,2024.12.31 현재,"24,062,983,500",제 19 기,2023.12.31 현재,"24,062,983,500",제 18 기,2022.12.31 현재,"27,500,000,000",15,KRW
20250320001605,11011,2024,00561866,115390,OFS,재무제표,BS,재무상태표,이익잉여금,제 20 기,2024.12.31 현재,"465,350,690,747",제 19 기,2023.12.31 현재,"451,043,504,965",제 18 기,2022.12.31 현재,"158,259,943,085",19,KRW
20250320001605,11011,2024,00561866,115390,OFS,재무제표,BS,재무상태표,자본총계,제 20 기,2024.12.31 현재,"474,287,851,801",제 19 기,2023.12.31 현재,"459,955,341,802",제 18 기,2022.12.31 현재,"499,873,238,342",22,KRW
