rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20240321001061,11011,2023,01068348,217500,CFS,연결재무제표,BS,재무상태표,유동자산,제 9 기,2023.12.31 현재,"63,903,307,086",제 8 기,2022.12.31 현재,"67,541,143,644",제 7 기,2021.12.31 현재,"60,281,857,420",1,KRW
20240321001061,11011,2023,01068348,217500,CFS,연결재무제표,BS,재무상태표,비유동자산,제 9 기,2023.12.31 현재,"10,649,989,485",제 8 기,2022.12.31 현재,"10,889,515,861",제 7 기,2021.12.31 현재,"12,344,810,669",3,KRW
20240321001061,11011,2023,01068348,217500,CFS,연결재무제표,BS,재무상태표,자산총계,제 9 기,2023.12.31 현재,"74,553,296,571",제 8 기,2022.12.31 현재,"78,430,659,505",제 7 기,2021.12.31 현재,"72,626,668,089",5,KRW
20240321001061,11011,2023,01068348,217500,CFS,연결재무제표,BS,재무상태표,유동부채,제 9 기,2023.12.31 현재,"17,195,619,553",제 8 기,2022.12.31 현재,"14,073,578,051",제 7 기,2021.12.31 현재,"20,812,782,247",7,KRW
20240321001061,11011,2023,01068348,217500,CFS,연결재무제표,BS,재무상태표,비유동부채,제 9 기,2023.12.31 현재,"1,271,569,519",제 8 기,2022.12.31 현재,"8,856,885,121",제 7 기,2021.12.31 현재,"1,472,108,792",9,KRW
20240321001061,11011,2023,01068348,217500,CFS,연결재무제표,BS,재무상태표,부채총계,제 9 기,2023.12.31 현재,"18,467,189,072",제 8 기,2022.12.31 현재,"22,930,463,172",제 7 기,2021.12.31 현재,"22,284,891,039",11,KRW
20240321001061,11011,2023,01068348,217500,CFS,연결재무제표,BS,재무상태표,자본금,제 9 기,2023.12.31 현재,"3,181,200,000",제 8 기,2022.12.31 현재,"3,181,200,000",제 7 기,2021.12.31 현재,"3,181,200,000",13,KRW
20240321001061,11011,2023,01068348,217500,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 9 기,2023.12.31 현재,"33,175,916,205",제 8 기,2022.12.31 현재,"31,458,280,275",제 7 기,2021.12.31 현재,"29,048,270,457",17,KRW
20240321001061,11011,2023,01068348,217500,CFS,연결재무제표,BS,재무상태표,자본총계,제 9 기,2023.12.31 현재,"56,086,107,499",제 8 기,2022.12.31 현재,"55,500,196,333",제 7 기,2021.12.31 현재,"50,341,777,050",21,KRW
20240321001061,11011,2023,01068348,217500,CFS,연결재무제표,IS,손익계산서,매출액,제 9 기,2023.01.01 ~ 2023.12.31,"44,710,882,827",제 8 기,2022.01.01 ~ 2022.12.31,"41,926,139,186",제 7 기,2021.01.01 ~ 2021.12.31,"57,759,768,938",23,KRW
20240321001061,11011,2023,01068348,217500,CFS,연결재무제표,IS,손익계산서,영업이익,제 9 기,2023.01.01 ~ 2023.12.31,"1,871,561,870",제 8 기,2022.01.01 ~ 2022.12.31,"4,500,835,036",제 7 기,2021.01.01 ~ 2021.12.31,"5,648,227,492",25,KRW
20240321001061,11011,2023,01068348,217500,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 9 기,2023.01.01 ~ 2023.12.31,"2,109,671,983",제 8 기,2022.01.01 ~ 2022.12.31,"4,315,247,902",제 7 기,2021.01.01 ~ 2021.12.31,"7,644,629,407",27,KRW
20240321001061,11011,2023,01068348,217500,CFS,연결재무제표,IS,손익계산서,당기순이익,제 9 기,2023.01.01 ~ 2023.12.31,"1,506,707,474",제 8 기,2022.01.01 ~ 2022.12.31,"3,826,630,737",제 7 기,2021.01.01 ~ 2021.12.31,"6,115,908,856",29,KRW
20240321001061,11011,2023,01068348,217500,CFS,연결재무제표,IS,손익계산서,당기순이익(손실),제 9 기,2023.01.01 ~ 2023.12.31,"1,506,707,474",제 8 기,2022.01.01 ~ 2022.12.31,"3,826,630,737",제 7 기,2021.01.01 ~ 2021.12.31,"6,115,908,856",61,KRW
20240321001061,11011,2023,01068348,217500,CFS,연결재무제표,IS,손익계산서,총포괄손익,제 9 기,2023.01.01 ~ 2023.12.31,"1,381,359,992",제 8 기,2022.01.01 ~ 2022.12.31,"3,830,870,962",제 7 기,2021.01.01 ~ 2021.12.31,"6,251,406,774",63,KRW
20240321001061,11011,2023,01068348,217500,OFS,재무제표,BS,재무상태표,유동자산,제 9 기,2023.12.31 현재,"56,970,620,533",제 8 기,2022.12.31 현재,"58,479,565,396",제 7 기,2021.12.31 현재,"51,878,856,172",2,KRW
20240321001061,11011,2023,01068348,217500,OFS,재무제표,BS,재무상태표,비유동자산,제 9 기,2023.12.31 현재,"9,555,713,933",제 8 기,2022.12.31 현재,"9,804,064,928",제 7 기,2021.12.31 현재,"11,202,355,473",4,KRW
20240321001061,11011,2023,01068348,217500,OFS,재무제표,BS,재무상태표,자산총계,제 9 기,2023.12.31 현재,"66,526,334,466",제 8 기,2022.12.31 현재,"68,283,630,324",제 7 기,2021.12.31 현재,"63,081,211,645",6,KRW
20240321001061,11011,2023,01068348,217500,OFS,재무제표,BS,재무상태표,유동부채,제 9 기,2023.12.31 현재,"12,331,365,993",제 8 기,2022.12.31 현재,"8,616,199,389",제 7 기,2021.12.31 현재,"12,790,565,971",8,KRW
20240321001061,11011,2023,01068348,217500,OFS,재무제표,BS,재무상태표,비유동부채,제 9 기,2023.12.31 현재,"188,543,089",제 8 기,2022.12.31 현재,"8,228,504,097",제 7 기,2021.12.31 현재,"800,079,227",10,KRW
20240321001061,11011,2023,01068348,217500,OFS,재무제표,BS,재무상태표,부채총계,제 9 기,2023.12.31 현재,"12,519,909,082",제 8 기,2022.12.31 현재,"16,844,703,486",제 7 기,2021.12.31 현재,"13,590,645,198",12,KRW
20240321001061,11011,2023,01068348,217500,OFS,재무제표,BS,재무상태표,자본금,제 9 기,2023.12.31 현재,"3,181,200,000",제 8 기,2022.12.31 현재,"3,181,200,000",제 7 기,2021.12.31 현재,"3,181,200,000",15,KRW
20240321001061,11011,2023,01068348,217500,OFS,재무제표,BS,재무상태표,이익잉여금,제 9 기,2023.12.31 현재,"33,779,919,260",제 8 기,2022.12.31 현재,"31,212,420,714",제 7 기,2021.12.31 현재,"29,264,060,323",19,KRW
20240321001061,11011,2023,01068348,217500,OFS,재무제표,BS,재무상태표,자본총계,제 9 기,2023.12.31 현재,"54,006,425,384",제 8 기,2022.12.31 현재,"51,438,926,838",제 7 기,2021.12.31 현재,"49,490,566,447",22,KRW
20240321001061,11011,2023,01068348,217500,OFS,재무제표,IS,손익계산서,매출액,제 9 기,2023.01.01 ~ 2023.12.31,"37,064,255,241",제 8 기,2022.01.01 ~ 2022.12.31,"28,108,310,615",제 7 기,2021.01.01 ~ 2021.12.31,"47,599,970,148",24,KRW
20240321001061,11011,2023,01068348,217500,OFS,재무제표,IS,손익계산서,영업이익,제 9 기,2023.01.01 ~ 2023.12.31,"3,831,083,169",제 8 기,2022.01.01 ~ 2022.12.31,"3,364,594,443",제 7 기,2021.01.01 ~ 2021.12.31,"5,765,703,440",26,KRW
20240321001061,11011,2023,01068348,217500,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 9 기,2023.01.01 ~ 2023.12.31,"4,058,849,029",제 8 기,2022.01.01 ~ 2022.12.31,"3,325,363,530",제 7 기,2021.01.01 ~ 2021.12.31,"7,763,466,975",28,KRW
20240321001061,11011,2023,01068348,217500,OFS,재무제표,IS,손익계산서,당기순이익,제 9 기,2023.01.01 ~ 2023.12.31,"3,437,734,766",제 8 기,2022.01.01 ~ 2022.12.31,"2,818,596,611",제 7 기,2021.01.01 ~ 2021.12.31,"6,216,596,670",30,KRW
20240321001061,11011,2023,01068348,217500,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 9 기,2023.01.01 ~ 2023.12.31,"3,437,734,766",제 8 기,2022.01.01 ~ 2022.12.31,"2,818,596,611",제 7 기,2021.01.01 ~ 2021.12.31,"6,216,596,670",62,KRW
20240321001061,11011,2023,01068348,217500,OFS,재무제표,IS,손익계산서,총포괄손익,제 9 기,2023.01.01 ~ 2023.12.31,"3,437,734,766",제 8 기,2022.01.01 ~ 2022.12.31,"2,818,596,611",제 7 기,2021.01.01 ~ 2021.12.31,"6,216,596,670",64,KRW
