rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20230302000408,11011,2022,01363818,330590,OFS,재무제표,BS,재무상태표,유동자산,제 8 기,2022.12.31 현재,"56,708,372,270",제 7 기,2022.06.30 현재,"64,761,746,436",제 6 기,2021.12.31 현재,"55,416,551,273",2,KRW
20230302000408,11011,2022,01363818,330590,OFS,재무제표,BS,재무상태표,비유동자산,제 8 기,2022.12.31 현재,"2,307,153,694,846",제 7 기,2022.06.30 현재,"2,327,816,209,414",제 6 기,2021.12.31 현재,"2,348,478,723,982",4,KRW
20230302000408,11011,2022,01363818,330590,OFS,재무제표,BS,재무상태표,자산총계,제 8 기,2022.12.31 현재,"2,363,862,067,116",제 7 기,2022.06.30 현재,"2,392,577,955,850",제 6 기,2021.12.31 현재,"2,403,895,275,255",6,KRW
20230302000408,11011,2022,01363818,330590,OFS,재무제표,BS,재무상태표,유동부채,제 8 기,2022.12.31 현재,"1,060,346,004,230",제 7 기,2022.06.30 현재,"1,121,924,723,513",제 6 기,2021.12.31 현재,"657,615,095,237",8,KRW
20230302000408,11011,2022,01363818,330590,OFS,재무제표,BS,재무상태표,비유동부채,제 8 기,2022.12.31 현재,"195,792,680,090",제 7 기,2022.06.30 현재,"137,353,571,486",제 6 기,2021.12.31 현재,"593,202,912,223",10,KRW
20230302000408,11011,2022,01363818,330590,OFS,재무제표,BS,재무상태표,부채총계,제 8 기,2022.12.31 현재,"1,256,138,684,320",제 7 기,2022.06.30 현재,"1,259,278,294,999",제 6 기,2021.12.31 현재,"1,250,818,007,460",12,KRW
20230302000408,11011,2022,01363818,330590,OFS,재무제표,BS,재무상태표,자본금,제 8 기,2022.12.31 현재,"121,484,442,000",제 7 기,2022.06.30 현재,"121,484,442,000",제 6 기,2021.12.31 현재,"121,484,442,000",15,KRW
20230302000408,11011,2022,01363818,330590,OFS,재무제표,BS,재무상태표,이익잉여금,제 8 기,2022.12.31 현재,"-74,695,700,872",제 7 기,2022.06.30 현재,"-49,119,422,817",제 6 기,2021.12.31 현재,"-29,339,702,017",19,KRW
20230302000408,11011,2022,01363818,330590,OFS,재무제표,BS,재무상태표,자본총계,제 8 기,2022.12.31 현재,"1,107,723,382,796",제 7 기,2022.06.30 현재,"1,133,299,660,851",제 6 기,2021.12.31 현재,"1,153,077,267,795",22,KRW
20230302000408,11011,2022,01363818,330590,OFS,재무제표,IS,손익계산서,매출액,제 8 기,2022.07.01 ~ 2022.12.31,"57,920,144,213",제 7 기,2022.01.01 ~ 2022.06.30,"57,479,677,985",제 6 기,2021.07.01 ~ 2021.12.31,"56,179,895,055",24,KRW
20230302000408,11011,2022,01363818,330590,OFS,재무제표,IS,손익계산서,영업이익,제 8 기,2022.07.01 ~ 2022.12.31,"34,108,114,105",제 7 기,2022.01.01 ~ 2022.06.30,"33,748,125,799",제 6 기,2021.07.01 ~ 2021.12.31,"32,765,811,019",26,KRW
20230302000408,11011,2022,01363818,330590,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 8 기,2022.07.01 ~ 2022.12.31,"14,114,824,803",제 7 기,2022.01.01 ~ 2022.06.30,"19,028,588,290",제 6 기,2021.07.01 ~ 2021.12.31,"18,405,981,757",28,KRW
20230302000408,11011,2022,01363818,330590,OFS,재무제표,IS,손익계산서,당기순이익,제 8 기,2022.07.01 ~ 2022.12.31,"14,114,824,803",제 7 기,2022.01.01 ~ 2022.06.30,"19,028,588,290",제 6 기,2021.07.01 ~ 2021.12.31,"18,405,981,757",30,KRW
20230302000408,11011,2022,01363818,330590,OFS,재무제표,IS,손익계산서,당기순이익(손실),제 8 기,2022.07.01 ~ 2022.12.31,"14,114,824,803",제 7 기,2022.01.01 ~ 2022.06.30,"19,028,588,290",제 6 기,2021.07.01 ~ 2021.12.31,"18,405,981,757",62,KRW
