rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20240430001079,11011,2023,00113562,000400,OFS,재무제표,BS,재무상태표,자산총계,제 79 기,2023.12.31 현재,"14,842,983,216,794",제 78 기,2022.12.31 현재,"16,764,540,172,423",제 77 기,2021.12.31 현재,"18,911,189,698,355",6,KRW
20240430001079,11011,2023,00113562,000400,OFS,재무제표,BS,재무상태표,부채총계,제 79 기,2023.12.31 현재,"13,586,751,527,119",제 78 기,2022.12.31 현재,"14,961,508,820,035",제 77 기,2021.12.31 현재,"17,909,167,668,076",12,KRW
20240430001079,11011,2023,00113562,000400,OFS,재무제표,BS,재무상태표,자본금,제 79 기,2023.12.31 현재,"310,336,320,000",제 78 기,2022.12.31 현재,"310,336,320,000",제 77 기,2021.12.31 현재,"310,336,320,000",15,KRW
20240430001079,11011,2023,00113562,000400,OFS,재무제표,BS,재무상태표,이익잉여금,제 79 기,2023.12.31 현재,"380,413,442,877",제 78 기,2022.12.31 현재,"228,390,364,292",제 77 기,2021.12.31 현재,"315,728,199,574",19,KRW
20240430001079,11011,2023,00113562,000400,OFS,재무제표,BS,재무상태표,자본총계,제 79 기,2023.12.31 현재,"1,256,231,689,675",제 78 기,2022.12.31 현재,"1,803,031,352,388",제 77 기,2021.12.31 현재,"1,002,022,030,279",22,KRW
20240430001079,11011,2023,00113562,000400,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 79 기,2023.01.01 ~ 2023.12.31,"394,339,122,770",제 78 기,2022.01.01 ~ 2022.12.31,"-131,730,550,996",제 77 기,2021.01.01 ~ 2021.12.31,"156,488,144,504",28,KRW
20240430001079,11011,2023,00113562,000400,OFS,재무제표,IS,손익계산서,당기순이익,제 79 기,2023.01.01 ~ 2023.12.31,"301,635,926,214",제 78 기,2022.01.01 ~ 2022.12.31,"-99,202,435,421",제 77 기,2021.01.01 ~ 2021.12.31,"119,877,975,633",30,KRW
20240430001079,11011,2023,00113562,000400,OFS,재무제표,BS,재무상태표,차입부채,제 79 기,2023.12.31 현재,"1,007,582,920,653",제 78 기,2022.12.31 현재,"3,282,927,098,378",제 77 기,2021.12.31 현재,"319,106,391,610",34,KRW
20240430001079,11011,2023,00113562,000400,OFS,재무제표,BS,재무상태표,당기손익-공정가치측정금융자산,제 79 기,2023.12.31 현재,"4,867,629,126,651",제 78 기,2022.12.31 현재,"5,650,846,012,749",제 77 기,2021.12.31 현재,"3,673,439,619,522",36,KRW
20240430001079,11011,2023,00113562,000400,OFS,재무제표,BS,재무상태표,기타포괄손익-공정가치측정금융자산,제 79 기,2023.12.31 현재,"5,599,270,166,684",제 78 기,2022.12.31 현재,"3,928,324,576,490",제 77 기,2021.12.31 현재,"629,150,591,282",38,KRW
