rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20240320001869,11011,2023,01275665,302550,CFS,연결재무제표,BS,재무상태표,유동자산,제 21 기,2023.12.31 현재,"21,869,417,786",제 20 기,2022.12.31 현재,"42,186,845,586",제 19 기,2021.12.31 현재,"49,188,996,727",1,KRW
20240320001869,11011,2023,01275665,302550,CFS,연결재무제표,BS,재무상태표,비유동자산,제 21 기,2023.12.31 현재,"33,190,911,242",제 20 기,2022.12.31 현재,"35,938,398,996",제 19 기,2021.12.31 현재,"28,009,044,646",3,KRW
20240320001869,11011,2023,01275665,302550,CFS,연결재무제표,BS,재무상태표,자산총계,제 21 기,2023.12.31 현재,"55,060,329,028",제 20 기,2022.12.31 현재,"78,125,244,582",제 19 기,2021.12.31 현재,"77,198,041,373",5,KRW
20240320001869,11011,2023,01275665,302550,CFS,연결재무제표,BS,재무상태표,유동부채,제 21 기,2023.12.31 현재,"16,678,236,518",제 20 기,2022.12.31 현재,"43,398,427,282",제 19 기,2021.12.31 현재,"5,650,350,159",7,KRW
20240320001869,11011,2023,01275665,302550,CFS,연결재무제표,BS,재무상태표,비유동부채,제 21 기,2023.12.31 현재,"7,587,663,418",제 20 기,2022.12.31 현재,"4,724,883,196",제 19 기,2021.12.31 현재,"45,449,973,128",9,KRW
20240320001869,11011,2023,01275665,302550,CFS,연결재무제표,BS,재무상태표,부채총계,제 21 기,2023.12.31 현재,"24,265,899,936",제 20 기,2022.12.31 현재,"48,123,310,478",제 19 기,2021.12.31 현재,"51,100,323,287",11,KRW
20240320001869,11011,2023,01275665,302550,CFS,연결재무제표,BS,재무상태표,자본금,제 21 기,2023.12.31 현재,"3,063,808,000",제 20 기,2022.12.31 현재,"3,063,808,000",제 19 기,2021.12.31 현재,"3,063,808,000",13,KRW
20240320001869,11011,2023,01275665,302550,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 21 기,2023.12.31 현재,"2,425,521,223",제 20 기,2022.12.31 현재,"1,819,949,926",제 19 기,2021.12.31 현재,"-2,436,206,296",17,KRW
20240320001869,11011,2023,01275665,302550,CFS,연결재무제표,BS,재무상태표,자본총계,제 21 기,2023.12.31 현재,"30,794,429,092",제 20 기,2022.12.31 현재,"30,001,934,104",제 19 기,2021.12.31 현재,"26,097,718,086",21,KRW
20240320001869,11011,2023,01275665,302550,CFS,연결재무제표,IS,손익계산서,매출액,제 21 기,2023.01.01 ~ 2023.12.31,"18,536,134,645",제 20 기,2022.01.01 ~ 2022.12.31,"21,363,454,119",제 19 기,2021.01.01 ~ 2021.12.31,"20,195,049,000",23,KRW
