rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20230320000241,11011,2022,00616962,277070,CFS,연결재무제표,BS,재무상태표,유동자산,제 17 기,2022.12.31 현재,"25,339,549,932",제 16 기,2021.12.31 현재,"31,660,209,057",제 15 기,2020.12.31 현재,"15,344,124,039",1,KRW
20230320000241,11011,2022,00616962,277070,CFS,연결재무제표,BS,재무상태표,비유동자산,제 17 기,2022.12.31 현재,"2,295,628,973",제 16 기,2021.12.31 현재,"2,379,492,985",제 15 기,2020.12.31 현재,"2,103,708,329",3,KRW
20230320000241,11011,2022,00616962,277070,CFS,연결재무제표,BS,재무상태표,자산총계,제 17 기,2022.12.31 현재,"66,147,713,319",제 16 기,2021.12.31 현재,"64,205,186,284",제 15 기,2020.12.31 현재,"65,557,429,198",5,KRW
20230320000241,11011,2022,00616962,277070,CFS,연결재무제표,BS,재무상태표,유동부채,제 17 기,2022.12.31 현재,"158,646,299",제 16 기,2021.12.31 현재,"2,508,169,699",제 15 기,2020.12.31 현재,"713,223,210",7,KRW
20230320000241,11011,2022,00616962,277070,CFS,연결재무제표,BS,재무상태표,비유동부채,제 17 기,2022.12.31 현재,"11,373,553,944",제 16 기,2021.12.31 현재,"8,557,688,952",제 15 기,2020.12.31 현재,"15,999,286,172",9,KRW
20230320000241,11011,2022,00616962,277070,CFS,연결재무제표,BS,재무상태표,부채총계,제 17 기,2022.12.31 현재,"11,532,200,243",제 16 기,2021.12.31 현재,"11,065,858,651",제 15 기,2020.12.31 현재,"16,712,509,382",11,KRW
20230320000241,11011,2022,00616962,277070,CFS,연결재무제표,BS,재무상태표,자본총계,제 17 기,2022.12.31 현재,"54,615,513,076",제 16 기,2021.12.31 현재,"53,139,327,633",제 15 기,2020.12.31 현재,"48,844,919,816",21,KRW
20230320000241,11011,2022,00616962,277070,CFS,연결재무제표,IS,손익계산서,매출액,제 17 기,2022.01.01 ~ 2022.12.31,"9,778,298,115",제 16 기,2021.01.01 ~ 2021.12.31,"16,192,845,199",제 15 기,2020.01.01 ~ 2020.12.31,"11,551,344,557",23,KRW
20230320000241,11011,2022,00616962,277070,CFS,연결재무제표,IS,손익계산서,영업이익,제 17 기,2022.01.01 ~ 2022.12.31,"4,437,147,060",제 16 기,2021.01.01 ~ 2021.12.31,"7,224,482,314",제 15 기,2020.01.01 ~ 2020.12.31,"6,547,481,688",25,KRW
20230320000241,11011,2022,00616962,277070,CFS,연결재무제표,IS,손익계산서,법인세차감전 순이익,제 17 기,2022.01.01 ~ 2022.12.31,"4,364,020,216",제 16 기,2021.01.01 ~ 2021.12.31,"7,242,947,144",제 15 기,2020.01.01 ~ 2020.12.31,"6,559,620,821",27,KRW
